,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,duke,madame,marchioness,marquis
20,Subject,,,12051,1,0.035492943341731566,Category,,Feature,,,,,,,,,,,,,,,
21,Subject,,,12047,5,0.17163334129557312,Category,,Feature,,,,,,,,,,,,,,,
22,Subject,,,12042,10,0.3313508160604807,Category,,Feature,,,,,,,,,,,,,,,
23,Subject,,,12037,15,0.4816600909670126,Category,,Feature,,,,,,,,,,,,,,,
24,Subject,,,12032,20,0.6200722231150374,Category,,Feature,,,,,,,,,,,,,,,
25,Subject,,,12022,30,0.8580051931828379,Category,,Feature,,,,,,,,,,,,,,,
26,Subject,,,12012,40,0.8417110611573075,Category,,Feature,,,,,,,,,,,,,,,
27,Subject,,,12002,50,0.7921196626882895,Category,,Feature,,,,,,,,,,,,,,,
28,Subject,,,11992,60,0.7696610693724328,Category,,Feature,,,,,,,,,,,,,,,
29,Subject,,,11982,70,0.7721631798475245,Category,,Feature,,,,,,,,,,,,,,,
30,Subject,,,12051,1,0.0929256174045913,Category,,,Feature,,,,,,,,,,,,,,
31,Subject,,,12047,5,0.41624455866973215,Category,,,Feature,,,,,,,,,,,,,,
32,Subject,,,12042,10,0.7520357779530717,Category,,,Feature,,,,,,,,,,,,,,
33,Subject,,,12037,15,1.019388339727568,Category,,,Feature,,,,,,,,,,,,,,
34,Subject,,,12032,20,1.2306925089050056,Category,,,Feature,,,,,,,,,,,,,,
35,Subject,,,12022,30,1.5461388639505809,Category,,,Feature,,,,,,,,,,,,,,
36,Subject,,,12012,40,1.2599598500715472,Category,,,Feature,,,,,,,,,,,,,,
37,Subject,,,12002,50,1.181196061873738,Category,,,Feature,,,,,,,,,,,,,,
38,Subject,,,11992,60,1.1651163087717318,Category,,,Feature,,,,,,,,,,,,,,
39,Subject,,,11982,70,1.1688401538901712,Category,,,Feature,,,,,,,,,,,,,,
40,Subject,,,12051,1,0.02512041937554356,Category,,,,Feature,,,,,,,,,,,,,
41,Subject,,,12047,5,0.11356511950505992,Category,,,,Feature,,,,,,,,,,,,,
42,Subject,,,12042,10,0.2074429812066783,Category,,,,Feature,,,,,,,,,,,,,
43,Subject,,,12037,15,0.29352420778982585,Category,,,,Feature,,,,,,,,,,,,,
44,Subject,,,12032,20,0.373718531229405,Category,,,,Feature,,,,,,,,,,,,,
45,Subject,,,12022,30,0.5072128145035391,Category,,,,Feature,,,,,,,,,,,,,
46,Subject,,,12012,40,0.5312759238620571,Category,,,,Feature,,,,,,,,,,,,,
47,Subject,,,12002,50,0.5437740986658592,Category,,,,Feature,,,,,,,,,,,,,
48,Subject,,,11992,60,0.57718206061944,Category,,,,Feature,,,,,,,,,,,,,
49,Subject,,,11982,70,0.589224765773865,Category,,,,Feature,,,,,,,,,,,,,
50,Subject,,,12051,1,0.12865939277386895,Category,,,,,Feature,,,,,,,,,,,,
51,Subject,,,12047,5,0.5533060711747371,Category,,,,,Feature,,,,,,,,,,,,
52,Subject,,,12042,10,0.9797326506429705,Category,,,,,Feature,,,,,,,,,,,,
53,Subject,,,12037,15,1.2958649420305344,Category,,,,,Feature,,,,,,,,,,,,
54,Subject,,,12032,20,1.5179804292674515,Category,,,,,Feature,,,,,,,,,,,,
55,Subject,,,12022,30,1.8281853775052157,Category,,,,,Feature,,,,,,,,,,,,
56,Subject,,,12012,40,1.3551461135087959,Category,,,,,Feature,,,,,,,,,,,,
57,Subject,,,12002,50,1.286493501785831,Category,,,,,Feature,,,,,,,,,,,,
58,Subject,,,11992,60,1.2799527356712657,Category,,,,,Feature,,,,,,,,,,,,
59,Subject,,,11982,70,1.2859978159640744,Category,,,,,Feature,,,,,,,,,,,,
60,Subject,,,12051,1,0.03682526422387107,Category,,,,,,Feature,,,,,,,,,,,
61,Subject,,,12047,5,0.17558670772229198,Category,,,,,,Feature,,,,,,,,,,,
62,Subject,,,12042,10,0.33421856468190836,Category,,,,,,Feature,,,,,,,,,,,
63,Subject,,,12037,15,0.4770562207422803,Category,,,,,,Feature,,,,,,,,,,,
64,Subject,,,12032,20,0.6082634850258207,Category,,,,,,Feature,,,,,,,,,,,
65,Subject,,,12022,30,0.8252703291561025,Category,,,,,,Feature,,,,,,,,,,,
66,Subject,,,12012,40,0.7969491029604744,Category,,,,,,Feature,,,,,,,,,,,
67,Subject,,,12002,50,0.7677191711027045,Category,,,,,,Feature,,,,,,,,,,,
68,Subject,,,11992,60,0.76363536957687,Category,,,,,,Feature,,,,,,,,,,,
69,Subject,,,11982,70,0.769548941139065,Category,,,,,,Feature,,,,,,,,,,,
70,Subject,,,12051,1,0.0286603856493244,Category,,,,,,,Feature,,,,,,,,,,
71,Subject,,,12047,5,0.14156633379687758,Category,,,,,,,Feature,,,,,,,,,,
72,Subject,,,12042,10,0.27572960883927067,Category,,,,,,,Feature,,,,,,,,,,
73,Subject,,,12037,15,0.3961311367659526,Category,,,,,,,Feature,,,,,,,,,,
74,Subject,,,12032,20,0.5022551881553696,Category,,,,,,,Feature,,,,,,,,,,
75,Subject,,,12022,30,0.6911614398746152,Category,,,,,,,Feature,,,,,,,,,,
76,Subject,,,12012,40,0.705093994199764,Category,,,,,,,Feature,,,,,,,,,,
77,Subject,,,12002,50,0.7193061591436922,Category,,,,,,,Feature,,,,,,,,,,
78,Subject,,,11992,60,0.7483532161219194,Category,,,,,,,Feature,,,,,,,,,,
79,Subject,,,11982,70,0.7604195362764122,Category,,,,,,,Feature,,,,,,,,,,
80,Subject,,,12051,1,0.04334125134284055,Category,,,,,,,,Feature,,,,,,,,,
81,Subject,,,12047,5,0.20335204206819976,Category,,,,,,,,Feature,,,,,,,,,
82,Subject,,,12042,10,0.38806324753617044,Category,,,,,,,,Feature,,,,,,,,,
83,Subject,,,12037,15,0.5551237368632504,Category,,,,,,,,Feature,,,,,,,,,
84,Subject,,,12032,20,0.7092087460628977,Category,,,,,,,,Feature,,,,,,,,,
85,Subject,,,12022,30,0.9615605786809212,Category,,,,,,,,Feature,,,,,,,,,
86,Subject,,,12012,40,0.9361287648850747,Category,,,,,,,,Feature,,,,,,,,,
87,Subject,,,12002,50,0.8804202614353306,Category,,,,,,,,Feature,,,,,,,,,
88,Subject,,,11992,60,0.863718464340644,Category,,,,,,,,Feature,,,,,,,,,
89,Subject,,,11982,70,0.8569786507512085,Category,,,,,,,,Feature,,,,,,,,,
90,Subject,,,12051,1,0.023677270372369615,Category,,,,,,,,,Feature,,,,,,,,
91,Subject,,,12047,5,0.11517368113709593,Category,,,,,,,,,Feature,,,,,,,,
92,Subject,,,12042,10,0.22672439342396833,Category,,,,,,,,,Feature,,,,,,,,
93,Subject,,,12037,15,0.33722386719207725,Category,,,,,,,,,Feature,,,,,,,,
94,Subject,,,12032,20,0.4444722485635099,Category,,,,,,,,,Feature,,,,,,,,
95,Subject,,,12022,30,0.6313370341842189,Category,,,,,,,,,Feature,,,,,,,,
96,Subject,,,12012,40,0.6982143116275785,Category,,,,,,,,,Feature,,,,,,,,
97,Subject,,,12002,50,0.7109220473276732,Category,,,,,,,,,Feature,,,,,,,,
98,Subject,,,11992,60,0.7354948240276783,Category,,,,,,,,,Feature,,,,,,,,
99,Subject,,,11982,70,0.7455426939383661,Category,,,,,,,,,Feature,,,,,,,,
100,Subject,,,9680,1,0.7708481864602734,Category,,,,,,,,,,Feature,,,,,,,
101,Subject,,,9676,5,3.830722996596275,Category,,,,,,,,,,Feature,,,,,,,
102,Subject,,,9671,10,7.565572735097196,Category,,,,,,,,,,Feature,,,,,,,
103,Subject,,,9666,15,10.504677777326927,Category,,,,,,,,,,Feature,,,,,,,
104,Subject,,,9661,20,12.054965906663375,Category,,,,,,,,,,Feature,,,,,,,
105,Subject,,,9651,30,13.011880083106066,Category,,,,,,,,,,Feature,,,,,,,
106,Subject,,,9641,40,2.2916453142024564,Category,,,,,,,,,,Feature,,,,,,,
107,Subject,,,9631,50,0.5385455031486232,Category,,,,,,,,,,Feature,,,,,,,
108,Subject,,,9621,60,0.17280973255233767,Category,,,,,,,,,,Feature,,,,,,,
109,Subject,,,9611,70,0.12778235551892606,Category,,,,,,,,,,Feature,,,,,,,
110,Subject,,,12051,1,0.13815722856252644,Category,,,,,,,,,,,Feature,,,,,,
111,Subject,,,12047,5,0.5829308677580627,Category,,,,,,,,,,,Feature,,,,,,
112,Subject,,,12042,10,1.0241531609634056,Category,,,,,,,,,,,Feature,,,,,,
113,Subject,,,12037,15,1.340847156234351,Category,,,,,,,,,,,Feature,,,,,,
114,Subject,,,12032,20,1.554767424438151,Category,,,,,,,,,,,Feature,,,,,,
