,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,duke,madame,marchioness,marquis
297,,,,12002,50,0.2447956742644649,Category,,,,,,Feature,,,,,,,Subject,,,,
298,,,,11992,60,0.2717584030346144,Category,,,,,,Feature,,,,,,,Subject,,,,
299,,,,11982,70,0.28210685272053265,Category,,,,,,Feature,,,,,,,Subject,,,,
300,,,,12051,1,0.006180850674598557,Category,,,,,,,Feature,,,,,,Subject,,,,
301,,,,12047,5,0.029069681814438728,Category,,,,,,,Feature,,,,,,Subject,,,,
302,,,,12042,10,0.053420229397509705,Category,,,,,,,Feature,,,,,,Subject,,,,
303,,,,12037,15,0.07438266731991389,Category,,,,,,,Feature,,,,,,Subject,,,,
304,,,,12032,20,0.09226549117557363,Category,,,,,,,Feature,,,,,,Subject,,,,
305,,,,12022,30,0.12806445889929288,Category,,,,,,,Feature,,,,,,Subject,,,,
306,,,,12012,40,0.146669746106766,Category,,,,,,,Feature,,,,,,Subject,,,,
307,,,,12002,50,0.16472699297865087,Category,,,,,,,Feature,,,,,,Subject,,,,
308,,,,11992,60,0.1824653395131309,Category,,,,,,,Feature,,,,,,Subject,,,,
309,,,,11982,70,0.18933777240129662,Category,,,,,,,Feature,,,,,,Subject,,,,
310,,,,12051,1,0.006180850674598557,Category,,,,,,,,Feature,,,,,Subject,,,,
311,,,,12047,5,0.030909739399367094,Category,,,,,,,,Feature,,,,,Subject,,,,
312,,,,12042,10,0.061833182859571206,Category,,,,,,,,Feature,,,,,Subject,,,,
313,,,,12037,15,0.09277031187210054,Category,,,,,,,,Feature,,,,,Subject,,,,
314,,,,12032,20,0.12133321000968374,Category,,,,,,,,Feature,,,,,Subject,,,,
315,,,,12022,30,0.17730822091602466,Category,,,,,,,,Feature,,,,,Subject,,,,
316,,,,12012,40,0.21597490017244095,Category,,,,,,,,Feature,,,,,Subject,,,,
317,,,,12002,50,0.24363445300354278,Category,,,,,,,,Feature,,,,,Subject,,,,
318,,,,11992,60,0.27064140089883376,Category,,,,,,,,Feature,,,,,Subject,,,,
319,,,,11982,70,0.2810032855366057,Category,,,,,,,,Feature,,,,,Subject,,,,
320,,,,9680,1,0.7708481864602734,Category,,,,,,,,,Feature,,,,Subject,,,,
321,,,,9676,5,3.830722996596275,Category,,,,,,,,,Feature,,,,Subject,,,,
322,,,,9671,10,7.565572735097196,Category,,,,,,,,,Feature,,,,Subject,,,,
323,,,,9666,15,10.504677777326927,Category,,,,,,,,,Feature,,,,Subject,,,,
324,,,,9661,20,12.054965906663375,Category,,,,,,,,,Feature,,,,Subject,,,,
325,,,,9651,30,13.011880083106066,Category,,,,,,,,,Feature,,,,Subject,,,,
326,,,,9641,40,2.2916453142024564,Category,,,,,,,,,Feature,,,,Subject,,,,
327,,,,9631,50,0.5385455031486232,Category,,,,,,,,,Feature,,,,Subject,,,,
328,,,,9621,60,0.17280973255233767,Category,,,,,,,,,Feature,,,,Subject,,,,
329,,,,9611,70,0.12778235551892606,Category,,,,,,,,,Feature,,,,Subject,,,,
330,,,,12051,1,0.010533081930869421,Category,,,,,,,,,,Feature,,,Subject,,,,
331,,,,12047,5,0.04921779850850254,Category,,,,,,,,,,Feature,,,Subject,,,,
332,,,,12042,10,0.090650693684639,Category,,,,,,,,,,Feature,,,Subject,,,,
333,,,,12037,15,0.1286125600631006,Category,,,,,,,,,,Feature,,,Subject,,,,
334,,,,12032,20,0.16269054989543588,Category,,,,,,,,,,Feature,,,Subject,,,,
335,,,,12022,30,0.2308951825522314,Category,,,,,,,,,,Feature,,,Subject,,,,
336,,,,12012,40,0.26717878759614466,Category,,,,,,,,,,Feature,,,Subject,,,,
337,,,,12002,50,0.2999809194325739,Category,,,,,,,,,,Feature,,,Subject,,,,
338,,,,11992,60,0.3308284451876813,Category,,,,,,,,,,Feature,,,Subject,,,,
339,,,,11982,70,0.3426560030863237,Category,,,,,,,,,,Feature,,,Subject,,,,
340,,,,12051,1,0.029357664683897305,Category,,,,,,,,,,,Feature,,Subject,,,,
341,,,,12047,5,0.1206120623631451,Category,,,,,,,,,,,Feature,,Subject,,,,
342,,,,12042,10,0.21921439414006022,Category,,,,,,,,,,,Feature,,Subject,,,,
343,,,,12037,15,0.3058881323641935,Category,,,,,,,,,,,Feature,,Subject,,,,
344,,,,12032,20,0.3862829639421171,Category,,,,,,,,,,,Feature,,Subject,,,,
345,,,,12022,30,0.545831781056972,Category,,,,,,,,,,,Feature,,Subject,,,,
346,,,,12012,40,0.6054318954770989,Category,,,,,,,,,,,Feature,,Subject,,,,
347,,,,12002,50,0.65878255279418,Category,,,,,,,,,,,Feature,,Subject,,,,
348,,,,11992,60,0.7025648849150604,Category,,,,,,,,,,,Feature,,Subject,,,,
349,,,,11982,70,0.7163204750053122,Category,,,,,,,,,,,Feature,,Subject,,,,
350,,,,12051,1,0.35006492285996466,,Feature,,,,,,,,,,,Category,Subject,,,,
351,,,,12047,5,1.7473149706966022,,Feature,,,,,,,,,,,Category,Subject,,,,
352,,,,12042,10,3.466920022361778,,Feature,,,,,,,,,,,Category,Subject,,,,
353,,,,12037,15,5.117119989412792,,Feature,,,,,,,,,,,Category,Subject,,,,
354,,,,12032,20,6.643073749839852,,Feature,,,,,,,,,,,Category,Subject,,,,
355,,,,12022,30,9.116641202746402,,Feature,,,,,,,,,,,Category,Subject,,,,
356,,,,12012,40,5.9069564155449275,,Feature,,,,,,,,,,,Category,Subject,,,,
357,,,,12002,50,3.4810873448170994,,Feature,,,,,,,,,,,Category,Subject,,,,
358,,,,11992,60,2.1277420158461786,,Feature,,,,,,,,,,,Category,Subject,,,,
359,,,,11982,70,1.741798077524223,,Feature,,,,,,,,,,,Category,Subject,,,,
360,,,,12051,1,0.41660958003029336,,,Feature,,,,,,,,,,Category,Subject,,,,
361,,,,12047,5,2.081007259740202,,,Feature,,,,,,,,,,Category,Subject,,,,
362,,,,12042,10,4.129958526359283,,,Feature,,,,,,,,,,Category,Subject,,,,
363,,,,12037,15,6.0737396787383755,,,Feature,,,,,,,,,,Category,Subject,,,,
364,,,,12032,20,7.809795603308176,,,Feature,,,,,,,,,,Category,Subject,,,,
365,,,,12022,30,10.433998395207944,,,Feature,,,,,,,,,,Category,Subject,,,,
366,,,,12012,40,5.582527761374044,,,Feature,,,,,,,,,,Category,Subject,,,,
367,,,,12002,50,2.6963649305429587,,,Feature,,,,,,,,,,Category,Subject,,,,
368,,,,11992,60,1.433012080569867,,,Feature,,,,,,,,,,Category,Subject,,,,
369,,,,11982,70,1.1140598629368528,,,Feature,,,,,,,,,,Category,Subject,,,,
370,,,,12051,1,0.8592354710235834,,,,Feature,,,,,,,,,Category,Subject,,,,
371,,,,12047,5,4.289936986332678,,,,Feature,,,,,,,,,Category,Subject,,,,
372,,,,12042,10,8.517459864777017,,,,Feature,,,,,,,,,Category,Subject,,,,
373,,,,12037,15,11.836007659272124,,,,Feature,,,,,,,,,Category,Subject,,,,
374,,,,12032,20,13.150546784104982,,,,Feature,,,,,,,,,Category,Subject,,,,
375,,,,12022,30,13.531599876753265,,,,Feature,,,,,,,,,Category,Subject,,,,
376,,,,12012,40,1.13420509130993,,,,Feature,,,,,,,,,Category,Subject,,,,
377,,,,12002,50,0.14859142252234486,,,,Feature,,,,,,,,,Category,Subject,,,,
378,,,,11992,60,0.015001758811747689,,,,Feature,,,,,,,,,Category,Subject,,,,
379,,,,11982,70,0.003753403990031899,,,,Feature,,,,,,,,,Category,Subject,,,,
380,,,,12051,1,0.24151550504046004,,,,,Feature,,,,,,,,Category,Subject,,,,
381,,,,12047,5,1.202526888568182,,,,,Feature,,,,,,,,Category,Subject,,,,
382,,,,12042,10,2.388601255644195,,,,,Feature,,,,,,,,Category,Subject,,,,
383,,,,12037,15,3.542661075590685,,,,,Feature,,,,,,,,Category,Subject,,,,
384,,,,12032,20,4.6339725352017025,,,,,Feature,,,,,,,,Category,Subject,,,,
385,,,,12022,30,6.572980603247203,,,,,Feature,,,,,,,,Category,Subject,,,,
386,,,,12012,40,5.4264576074800965,,,,,Feature,,,,,,,,Category,Subject,,,,
387,,,,12002,50,4.023197255570202,,,,,Feature,,,,,,,,Category,Subject,,,,
388,,,,11992,60,3.0661122129469143,,,,,Feature,,,,,,,,Category,Subject,,,,
389,,,,11982,70,2.7381623460519067,,,,,Feature,,,,,,,,Category,Subject,,,,
390,,,,12051,1,0.9580197486531248,,,,,,Feature,,,,,,,Category,Subject,,,,
391,,,,12047,5,4.768393188661349,,,,,,Feature,,,,,,,Category,Subject,,,,
392,,,,12042,10,9.45992587914859,,,,,,Feature,,,,,,,Category,Subject,,,,
393,,,,12037,15,12.766590841796905,,,,,,Feature,,,,,,,Category,Subject,,,,
394,,,,12032,20,13.460644308801239,,,,,,Feature,,,,,,,Category,Subject,,,,
395,,,,12022,30,13.55175815844857,,,,,,Feature,,,,,,,Category,Subject,,,,
396,,,,12012,40,0.574401648087106,,,,,,Feature,,,,,,,Category,Subject,,,,
397,,,,12002,50,0.03622447913951199,,,,,,Feature,,,,,,,Category,Subject,,,,
398,,,,11992,60,0.007501060073845583,,,,,,Feature,,,,,,,Category,Subject,,,,
399,,,,11982,70,0.0025022793769253933,,,,,,Feature,,,,,,,Category,Subject,,,,
400,,,,12051,1,0.4567506900528625,,,,,,,Feature,,,,,,Category,Subject,,,,
401,,,,12047,5,2.279168526217678,,,,,,,Feature,,,,,,Category,Subject,,,,
402,,,,12042,10,4.517540862584108,,,,,,,Feature,,,,,,Category,Subject,,,,
403,,,,12037,15,6.608589855237501,,,,,,,Feature,,,,,,Category,Subject,,,,
404,,,,12032,20,8.417446570574624,,,,,,,Feature,,,,,,Category,Subject,,,,
405,,,,12022,30,10.929842590254639,,,,,,,Feature,,,,,,Category,Subject,,,,
406,,,,12012,40,5.2307166194276284,,,,,,,Feature,,,,,,Category,Subject,,,,
407,,,,12002,50,2.5078081256521516,,,,,,,Feature,,,,,,Category,Subject,,,,
408,,,,11992,60,1.2728208999141566,,,,,,,Feature,,,,,,Category,Subject,,,,
409,,,,11982,70,1.0297267749160552,,,,,,,Feature,,,,,,Category,Subject,,,,
410,,,,12051,1,0.3339784807359942,,,,,,,,Feature,,,,,Category,Subject,,,,
411,,,,12047,5,1.6670749905922329,,,,,,,,Feature,,,,,Category,Subject,,,,
412,,,,12042,10,3.3102358824408227,,,,,,,,Feature,,,,,Category,Subject,,,,
413,,,,12037,15,4.876609355119215,,,,,,,,Feature,,,,,Category,Subject,,,,
414,,,,12032,20,6.30433831038565,,,,,,,,Feature,,,,,Category,Subject,,,,
415,,,,12022,30,8.669746676553288,,,,,,,,Feature,,,,,Category,Subject,,,,
416,,,,12012,40,5.741670439535305,,,,,,,,Feature,,,,,Category,Subject,,,,
417,,,,12002,50,3.528787086531116,,,,,,,,Feature,,,,,Category,Subject,,,,
418,,,,11992,60,2.230191462983778,,,,,,,,Feature,,,,,Category,Subject,,,,
419,,,,11982,70,1.8474046214258815,,,,,,,,Feature,,,,,Category,Subject,,,,
420,,,,12051,1,0.4117321969682379,,,,,,,,,Feature,,,,Category,Subject,,,,
421,,,,12047,5,2.055365872231813,,,,,,,,,Feature,,,,Category,Subject,,,,
422,,,,12042,10,4.08293314711077,,,,,,,,,Feature,,,,Category,Subject,,,,
423,,,,12037,15,6.013939863269916,,,,,,,,,Feature,,,,Category,Subject,,,,
424,,,,12032,20,7.729056115056623,,,,,,,,,Feature,,,,Category,Subject,,,,
425,,,,12022,30,10.306145931796065,,,,,,,,,Feature,,,,Category,Subject,,,,
426,,,,12012,40,5.768480498079786,,,,,,,,,Feature,,,,Category,Subject,,,,
427,,,,12002,50,3.014817724682147,,,,,,,,,Feature,,,,Category,Subject,,,,
428,,,,11992,60,1.5125418985817884,,,,,,,,,Feature,,,,Category,Subject,,,,
429,,,,11982,70,1.0944888824881525,,,,,,,,,Feature,,,,Category,Subject,,,,
430,,,,12051,1,0.2876118254119383,,,,,,,,,,Feature,,,Category,Subject,,,,
431,,,,12047,5,1.4370289182041287,,,,,,,,,,Feature,,,Category,Subject,,,,
432,,,,12042,10,2.860653537383042,,,,,,,,,,Feature,,,Category,Subject,,,,
433,,,,12037,15,4.240285445891302,,,,,,,,,,Feature,,,Category,Subject,,,,
434,,,,12032,20,5.550078518031934,,,,,,,,,,Feature,,,Category,Subject,,,,
435,,,,12022,30,7.892715434784157,,,,,,,,,,Feature,,,Category,Subject,,,,
436,,,,12012,40,5.924835397785037,,,,,,,,,,Feature,,,Category,Subject,,,,
437,,,,12002,50,3.8623073701997073,,,,,,,,,,Feature,,,Category,Subject,,,,
438,,,,11992,60,2.4747046606234924,,,,,,,,,,Feature,,,Category,Subject,,,,
439,,,,11982,70,2.0663170000394318,,,,,,,,,,Feature,,,Category,Subject,,,,
440,,,,12051,1,0.4527144867602731,,,,,,,,,,,Feature,,Category,Subject,,,,
441,,,,12047,5,2.2621992638959654,,,,,,,,,,,Feature,,Category,Subject,,,,
442,,,,12042,10,4.496298152465065,,,,,,,,,,,Feature,,Category,Subject,,,,
443,,,,12037,15,6.613316704919794,,,,,,,,,,,Feature,,Category,Subject,,,,
444,,,,12032,20,8.493833100347876,,,,,,,,,,,Feature,,Category,Subject,,,,
445,,,,12022,30,11.234108883960431,,,,,,,,,,,Feature,,Category,Subject,,,,
446,,,,12012,40,5.284835957558464,,,,,,,,,,,Feature,,Category,Subject,,,,
447,,,,12002,50,2.138678408089286,,,,,,,,,,,Feature,,Category,Subject,,,,
448,,,,11992,60,0.9602110076626319,,,,,,,,,,,Feature,,Category,Subject,,,,
449,,,,11982,70,0.6971596019375226,,,,,,,,,,,Feature,,Category,Subject,,,,
450,,,,12051,1,0.9761106082217361,,,,,,,,,,,,Feature,Category,Subject,,,,
451,,,,12047,5,4.851068199075325,,,,,,,,,,,,Feature,Category,Subject,,,,
452,,,,12042,10,9.622521692327984,,,,,,,,,,,,Feature,Category,Subject,,,,
453,,,,12037,15,12.914044690835235,,,,,,,,,,,,Feature,Category,Subject,,,,
454,,,,12032,20,13.491512237274383,,,,,,,,,,,,Feature,Category,Subject,,,,
455,,,,12022,30,13.55175815844857,,,,,,,,,,,,Feature,Category,Subject,,,,
456,,,,12012,40,0.484833742884307,,,,,,,,,,,,Feature,Category,Subject,,,,
457,,,,12002,50,0.027481411625314638,,,,,,,,,,,,Feature,Category,Subject,,,,
458,,,,11992,60,0.007501060073845583,,,,,,,,,,,,Feature,Category,Subject,,,,
459,,,,11982,70,0.0025022793769253933,,,,,,,,,,,,Feature,Category,Subject,,,,
460,,Category,Feature,12051,1,0.8592354710235834,,,,,,,,,,,,,,,Subject,,,
461,,Category,Feature,12047,5,4.289936986332678,,,,,,,,,,,,,,,Subject,,,
462,,Category,Feature,12042,10,8.517459864777017,,,,,,,,,,,,,,,Subject,,,
463,,Category,Feature,12037,15,11.836007659272124,,,,,,,,,,,,,,,Subject,,,
464,,Category,Feature,12032,20,13.150546784104982,,,,,,,,,,,,,,,Subject,,,
465,,Category,Feature,12022,30,13.531599876753265,,,,,,,,,,,,,,,Subject,,,
466,,Category,Feature,12012,40,1.13420509130993,,,,,,,,,,,,,,,Subject,,,
467,,Category,Feature,12002,50,0.14859142252234486,,,,,,,,,,,,,,,Subject,,,
468,,Category,Feature,11992,60,0.015001758811747689,,,,,,,,,,,,,,,Subject,,,
469,,Category,Feature,11982,70,0.003753403990031899,,,,,,,,,,,,,,,Subject,,,
470,,,,12051,1,0.32577588403301094,Category,Feature,,,,,,,,,,,,,Subject,,,
471,,,,12047,5,1.6254486890614794,Category,Feature,,,,,,,,,,,,,Subject,,,
472,,,,12042,10,3.2272479097568607,Category,Feature,,,,,,,,,,,,,Subject,,,
473,,,,12037,15,4.754141031477199,Category,Feature,,,,,,,,,,,,,Subject,,,
474,,,,12032,20,6.142453202419779,Category,Feature,,,,,,,,,,,,,Subject,,,
475,,,,12022,30,8.458232718758058,Category,Feature,,,,,,,,,,,,,Subject,,,
476,,,,12012,40,5.7870559662659105,Category,Feature,,,,,,,,,,,,,Subject,,,
477,,,,12002,50,3.682194870805077,Category,Feature,,,,,,,,,,,,,Subject,,,
478,,,,11992,60,2.3564155196672254,Category,Feature,,,,,,,,,,,,,Subject,,,
479,,,,11982,70,1.949613908889029,Category,Feature,,,,,,,,,,,,,Subject,,,
480,,,,12051,1,0.24151550504046004,Category,,Feature,,,,,,,,,,,,Subject,,,
481,,,,12047,5,1.202526888568182,Category,,Feature,,,,,,,,,,,,Subject,,,
482,,,,12042,10,2.388601255644195,Category,,Feature,,,,,,,,,,,,Subject,,,
483,,,,12037,15,3.542661075590685,Category,,Feature,,,,,,,,,,,,Subject,,,
484,,,,12032,20,4.6339725352017025,Category,,Feature,,,,,,,,,,,,Subject,,,
485,,,,12022,30,6.572980603247203,Category,,Feature,,,,,,,,,,,,Subject,,,
486,,,,12012,40,5.4264576074800965,Category,,Feature,,,,,,,,,,,,Subject,,,
487,,,,12002,50,4.023197255570202,Category,,Feature,,,,,,,,,,,,Subject,,,
488,,,,11992,60,3.0661122129469143,Category,,Feature,,,,,,,,,,,,Subject,,,
489,,,,11982,70,2.7381623460519067,Category,,Feature,,,,,,,,,,,,Subject,,,
490,,,,12051,1,0.9580197486531248,Category,,,Feature,,,,,,,,,,,Subject,,,
491,,,,12047,5,4.768393188661349,Category,,,Feature,,,,,,,,,,,Subject,,,
492,,,,12042,10,9.45992587914859,Category,,,Feature,,,,,,,,,,,Subject,,,
493,,,,12037,15,12.766590841796905,Category,,,Feature,,,,,,,,,,,Subject,,,
494,,,,12032,20,13.460644308801239,Category,,,Feature,,,,,,,,,,,Subject,,,
495,,,,12022,30,13.55175815844857,Category,,,Feature,,,,,,,,,,,Subject,,,
496,,,,12012,40,0.574401648087106,Category,,,Feature,,,,,,,,,,,Subject,,,
497,,,,12002,50,0.03622447913951199,Category,,,Feature,,,,,,,,,,,Subject,,,
498,,,,11992,60,0.007501060073845583,Category,,,Feature,,,,,,,,,,,Subject,,,
499,,,,11982,70,0.0025022793769253933,Category,,,Feature,,,,,,,,,,,Subject,,,
500,,,,12051,1,0.011365575557510275,Category,,,,Feature,,,,,,,,,,Subject,,,
501,,,,12047,5,0.05555893700185585,Category,,,,Feature,,,,,,,,,,Subject,,,
502,,,,12042,10,0.1102429494742744,Category,,,,Feature,,,,,,,,,,Subject,,,
503,,,,12037,15,0.163589297721309,Category,,,,Feature,,,,,,,,,,Subject,,,
504,,,,12032,20,0.21164389660809135,Category,,,,Feature,,,,,,,,,,Subject,,,
505,,,,12022,30,0.30520109923091754,Category,,,,Feature,,,,,,,,,,Subject,,,
506,,,,12012,40,0.3554508368198087,Category,,,,Feature,,,,,,,,,,Subject,,,
507,,,,12002,50,0.38120185879957413,Category,,,,Feature,,,,,,,,,,Subject,,,
508,,,,11992,60,0.4049224785302016,Category,,,,Feature,,,,,,,,,,Subject,,,
509,,,,11982,70,0.4142342648120463,Category,,,,Feature,,,,,,,,,,Subject,,,
510,,,,12051,1,0.10692811420561271,Category,,,,,Feature,,,,,,,,,Subject,,,
511,,,,12047,5,0.41159701634031537,Category,,,,,Feature,,,,,,,,,Subject,,,
512,,,,12042,10,0.6930199666722892,Category,,,,,Feature,,,,,,,,,Subject,,,
513,,,,12037,15,0.8814145479953316,Category,,,,,Feature,,,,,,,,,Subject,,,
514,,,,12032,20,1.0221127464772917,Category,,,,,Feature,,,,,,,,,Subject,,,
515,,,,12022,30,1.231647799062639,Category,,,,,Feature,,,,,,,,,Subject,,,
516,,,,12012,40,0.9418653044887151,Category,,,,,Feature,,,,,,,,,Subject,,,
517,,,,12002,50,0.8681042129268567,Category,,,,,Feature,,,,,,,,,Subject,,,
518,,,,11992,60,0.8421952013801596,Category,,,,,Feature,,,,,,,,,Subject,,,
519,,,,11982,70,0.8346775828851921,Category,,,,,Feature,,,,,,,,,Subject,,,
520,,,,12051,1,0.022949339986373916,Category,,,,,,Feature,,,,,,,,Subject,,,
521,,,,12047,5,0.11245341772450701,Category,,,,,,Feature,,,,,,,,Subject,,,
522,,,,12042,10,0.21688164249907346,Category,,,,,,Feature,,,,,,,,Subject,,,
523,,,,12037,15,0.31465225838173616,Category,,,,,,Feature,,,,,,,,Subject,,,
524,,,,12032,20,0.4044761937646316,Category,,,,,,Feature,,,,,,,,Subject,,,
525,,,,12022,30,0.5664790648322957,Category,,,,,,Feature,,,,,,,,Subject,,,
526,,,,12012,40,0.6090364292455693,Category,,,,,,Feature,,,,,,,,Subject,,,
527,,,,12002,50,0.622741403743193,Category,,,,,,Feature,,,,,,,,Subject,,,
528,,,,11992,60,0.6218716851000929,Category,,,,,,Feature,,,,,,,,Subject,,,
529,,,,11982,70,0.6205428380253976,Category,,,,,,Feature,,,,,,,,Subject,,,
530,,,,12051,1,0.4527144867602731,Category,,,,,,,Feature,,,,,,,Subject,,,
531,,,,12047,5,2.2621992638959654,Category,,,,,,,Feature,,,,,,,Subject,,,
532,,,,12042,10,4.496298152465065,Category,,,,,,,Feature,,,,,,,Subject,,,
533,,,,12037,15,6.613316704919794,Category,,,,,,,Feature,,,,,,,Subject,,,
534,,,,12032,20,8.493833100347876,Category,,,,,,,Feature,,,,,,,Subject,,,
535,,,,12022,30,11.234108883960431,Category,,,,,,,Feature,,,,,,,Subject,,,
536,,,,12012,40,5.284835957558464,Category,,,,,,,Feature,,,,,,,Subject,,,
537,,,,12002,50,2.138678408089286,Category,,,,,,,Feature,,,,,,,Subject,,,
538,,,,11992,60,0.9602110076626319,Category,,,,,,,Feature,,,,,,,Subject,,,
539,,,,11982,70,0.6971596019375226,Category,,,,,,,Feature,,,,,,,Subject,,,
540,,,,12051,1,0.023677270372369615,Category,,,,,,,,Feature,,,,,,Subject,,,
541,,,,12047,5,0.11419501540013371,Category,,,,,,,,Feature,,,,,,Subject,,,
542,,,,12042,10,0.2212753267784228,Category,,,,,,,,Feature,,,,,,Subject,,,
543,,,,12037,15,0.32061001004646067,Category,,,,,,,,Feature,,,,,,Subject,,,
544,,,,12032,20,0.4152137052919151,Category,,,,,,,,Feature,,,,,,Subject,,,
545,,,,12022,30,0.5908642139529708,Category,,,,,,,,Feature,,,,,,Subject,,,
546,,,,12012,40,0.6545152623361976,Category,,,,,,,,Feature,,,,,,Subject,,,
547,,,,12002,50,0.6768231253241066,Category,,,,,,,,Feature,,,,,,Subject,,,
548,,,,11992,60,0.6842060418785425,Category,,,,,,,,Feature,,,,,,Subject,,,
549,,,,11982,70,0.6787909078450398,Category,,,,,,,,Feature,,,,,,Subject,,,
550,,,,12051,1,0.017718752588165174,Category,,,,,,,,,Feature,,,,,Subject,,,
551,,,,12047,5,0.08857930468961812,Category,,,,,,,,,Feature,,,,,Subject,,,
552,,,,12042,10,0.17278230350319612,Category,,,,,,,,,Feature,,,,,Subject,,,
553,,,,12037,15,0.2540987369776036,Category,,,,,,,,,Feature,,,,,Subject,,,
554,,,,12032,20,0.33499462976985994,Category,,,,,,,,,Feature,,,,,Subject,,,
555,,,,12022,30,0.49239354986948375,Category,,,,,,,,,Feature,,,,,Subject,,,
556,,,,12012,40,0.5666122892368776,Category,,,,,,,,,Feature,,,,,Subject,,,
557,,,,12002,50,0.5951127808348663,Category,,,,,,,,,Feature,,,,,Subject,,,
558,,,,11992,60,0.6105798011442244,Category,,,,,,,,,Feature,,,,,Subject,,,
559,,,,11982,70,0.6149512069580918,Category,,,,,,,,,Feature,,,,,Subject,,,
560,,,,12051,1,0.027255434297715275,Category,,,,,,,,,,Feature,,,,Subject,,,
561,,,,12047,5,0.13280697399127017,Category,,,,,,,,,,Feature,,,,Subject,,,
562,,,,12042,10,0.25663241930191205,Category,,,,,,,,,,Feature,,,,Subject,,,
563,,,,12037,15,0.36806051698750303,Category,,,,,,,,,,Feature,,,,Subject,,,
564,,,,12032,20,0.46559290948819254,Category,,,,,,,,,,Feature,,,,Subject,,,
565,,,,12022,30,0.645669531667108,Category,,,,,,,,,,Feature,,,,Subject,,,
566,,,,12012,40,0.6694993035267428,Category,,,,,,,,,,Feature,,,,Subject,,,
567,,,,12002,50,0.6758436302303782,Category,,,,,,,,,,Feature,,,,Subject,,,
568,,,,11992,60,0.6774463369679843,Category,,,,,,,,,,Feature,,,,Subject,,,
569,,,,11982,70,0.6727848509274676,Category,,,,,,,,,,Feature,,,,Subject,,,
570,,,,12051,1,0.11646366490686012,Category,,,,,,,,,,,Feature,,,Subject,,,
571,,,,12047,5,0.42952505874770835,Category,,,,,,,,,,,Feature,,,Subject,,,
572,,,,12042,10,0.7182073690061191,Category,,,,,,,,,,,Feature,,,Subject,,,
573,,,,12037,15,0.9065601382759604,Category,,,,,,,,,,,Feature,,,Subject,,,
574,,,,12032,20,1.0497283460066729,Category,,,,,,,,,,,Feature,,,Subject,,,
575,,,,12022,30,1.2672809787235846,Category,,,,,,,,,,,Feature,,,Subject,,,
576,,,,12012,40,0.9593268758914395,Category,,,,,,,,,,,Feature,,,Subject,,,
577,,,,12002,50,0.8745910323088868,Category,,,,,,,,,,,Feature,,,Subject,,,
578,,,,11992,60,0.8389937547843463,Category,,,,,,,,,,,Feature,,,Subject,,,
579,,,,11982,70,0.8292945023690155,Category,,,,,,,,,,,Feature,,,Subject,,,
580,,,,12051,1,0.3475188768254349,,Feature,,,,,,,,,,,Category,,Subject,,,
581,,,,12047,5,1.7339504195806839,,Feature,,,,,,,,,,,Category,,Subject,,,
582,,,,12042,10,3.439951578413208,,Feature,,,,,,,,,,,Category,,Subject,,,
583,,,,12037,15,5.077260032096827,,Feature,,,,,,,,,,,Category,,Subject,,,
584,,,,12032,20,6.585951432172403,,Feature,,,,,,,,,,,Category,,Subject,,,
585,,,,12022,30,9.0204406263879,,Feature,,,,,,,,,,,Category,,Subject,,,
586,,,,12012,40,5.8855638383420565,,Feature,,,,,,,,,,,Category,,Subject,,,
587,,,,12002,50,3.536452116637853,,Feature,,,,,,,,,,,Category,,Subject,,,
588,,,,11992,60,2.184420164324516,,Feature,,,,,,,,,,,Category,,Subject,,,
589,,,,11982,70,1.795929886504719,,Feature,,,,,,,,,,,Category,,Subject,,,
590,,,,12051,1,0.41230795908126194,,,Feature,,,,,,,,,,Category,,Subject,,,
591,,,,12047,5,2.05940113758748,,,Feature,,,,,,,,,,Category,,Subject,,,
592,,,,12042,10,4.086836521515727,,,Feature,,,,,,,,,,Category,,Subject,,,
593,,,,12037,15,6.012049070261001,,,Feature,,,,,,,,,,Category,,Subject,,,
594,,,,12032,20,7.728806435976938,,,Feature,,,,,,,,,,Category,,Subject,,,
595,,,,12022,30,10.348371435693942,,,Feature,,,,,,,,,,Category,,Subject,,,
596,,,,12012,40,5.626732444108295,,,Feature,,,,,,,,,,Category,,Subject,,,
597,,,,12002,50,2.7232537129428107,,,Feature,,,,,,,,,,Category,,Subject,,,
598,,,,11992,60,1.4625578001374815,,,Feature,,,,,,,,,,Category,,Subject,,,
599,,,,11982,70,1.1377673266206303,,,Feature,,,,,,,,,,Category,,Subject,,,
600,,,,12051,1,0.850856400150815,,,,Feature,,,,,,,,,Category,,Subject,,,
601,,,,12047,5,4.24642682416494,,,,Feature,,,,,,,,,Category,,Subject,,,
602,,,,12042,10,8.428472496860923,,,,Feature,,,,,,,,,Category,,Subject,,,
603,,,,12037,15,11.711872754579828,,,,Feature,,,,,,,,,Category,,Subject,,,
604,,,,12032,20,13.057940293704855,,,,Feature,,,,,,,,,Category,,Subject,,,
605,,,,12022,30,13.50503801001872,,,,Feature,,,,,,,,,Category,,Subject,,,
606,,,,12012,40,1.2701381494060986,,,,Feature,,,,,,,,,Category,,Subject,,,
607,,,,12002,50,0.20939683120572408,,,,Feature,,,,,,,,,Category,,Subject,,,
