,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,jason,sir condy
30,Subject,,,5991,1,0.19294163477855353,Category,,,Feature,,,,,,,,,,,,
31,Subject,,,5987,5,0.917916998266058,Category,,,Feature,,,,,,,,,,,,
32,Subject,,,5982,10,1.7642521700059814,Category,,,Feature,,,,,,,,,,,,
33,Subject,,,5977,15,2.528727706940084,Category,,,Feature,,,,,,,,,,,,
34,Subject,,,5972,20,3.171205057540637,Category,,,Feature,,,,,,,,,,,,
35,Subject,,,5962,30,4.223168834715692,Category,,,Feature,,,,,,,,,,,,
36,Subject,,,5952,40,3.4675795043952315,Category,,,Feature,,,,,,,,,,,,
37,Subject,,,5942,50,2.9863928756591998,Category,,,Feature,,,,,,,,,,,,
38,Subject,,,5932,60,2.6832427208103637,Category,,,Feature,,,,,,,,,,,,
39,Subject,,,5922,70,2.608173016234655,Category,,,Feature,,,,,,,,,,,,
40,Subject,,,5991,1,0.020840997156419978,Category,,,,Feature,,,,,,,,,,,
41,Subject,,,5987,5,0.10420674814303849,Category,,,,Feature,,,,,,,,,,,
42,Subject,,,5982,10,0.2084167829908615,Category,,,,Feature,,,,,,,,,,,
43,Subject,,,5977,15,0.3126282056402359,Category,,,,Feature,,,,,,,,,,,
44,Subject,,,5972,20,0.41683906800398246,Category,,,,Feature,,,,,,,,,,,
45,Subject,,,5962,30,0.6098331737862909,Category,,,,Feature,,,,,,,,,,,
46,Subject,,,5952,40,0.7364443281848684,Category,,,,Feature,,,,,,,,,,,
47,Subject,,,5942,50,0.8122241717682678,Category,,,,Feature,,,,,,,,,,,
48,Subject,,,5932,60,0.866874339997037,Category,,,,Feature,,,,,,,,,,,
49,Subject,,,5922,70,0.8888633491385194,Category,,,,Feature,,,,,,,,,,,
50,Subject,,,5991,1,0.2881316001024231,Category,,,,,Feature,,,,,,,,,,
51,Subject,,,5987,5,1.3189371113309347,Category,,,,,Feature,,,,,,,,,,
52,Subject,,,5982,10,2.4490982877497616,Category,,,,,Feature,,,,,,,,,,
53,Subject,,,5977,15,3.3342381297957497,Category,,,,,Feature,,,,,,,,,,
54,Subject,,,5972,20,4.000949017246071,Category,,,,,Feature,,,,,,,,,,
55,Subject,,,5962,30,4.993173080302173,Category,,,,,Feature,,,,,,,,,,
56,Subject,,,5952,40,3.499291959499192,Category,,,,,Feature,,,,,,,,,,
57,Subject,,,5942,50,3.033026687640523,Category,,,,,Feature,,,,,,,,,,
58,Subject,,,5932,60,2.7833889159011145,Category,,,,,Feature,,,,,,,,,,
59,Subject,,,5922,70,2.690671848688588,Category,,,,,Feature,,,,,,,,,,
60,Subject,,,5991,1,0.04800489435188267,Category,,,,,,Feature,,,,,,,,,
61,Subject,,,5987,5,0.23822328894608652,Category,,,,,,Feature,,,,,,,,,
62,Subject,,,5982,10,0.46907283807004024,Category,,,,,,Feature,,,,,,,,,
63,Subject,,,5977,15,0.696588423702422,Category,,,,,,Feature,,,,,,,,,
64,Subject,,,5972,20,0.923264474166689,Category,,,,,,Feature,,,,,,,,,
65,Subject,,,5962,30,1.3566662743568072,Category,,,,,,Feature,,,,,,,,,
66,Subject,,,5952,40,1.5372012784917362,Category,,,,,,Feature,,,,,,,,,
67,Subject,,,5942,50,1.5631202824319508,Category,,,,,,Feature,,,,,,,,,
68,Subject,,,5932,60,1.544147225848534,Category,,,,,,Feature,,,,,,,,,
69,Subject,,,5922,70,1.5448492137594512,Category,,,,,,Feature,,,,,,,,,
70,Subject,,,5991,1,0.05050746124926518,Category,,,,,,,Feature,,,,,,,,
71,Subject,,,5987,5,0.2409686381983134,Category,,,,,,,Feature,,,,,,,,
72,Subject,,,5982,10,0.46909262930438406,Category,,,,,,,Feature,,,,,,,,
73,Subject,,,5977,15,0.6955056254475034,Category,,,,,,,Feature,,,,,,,,
74,Subject,,,5972,20,0.9157312703695937,Category,,,,,,,Feature,,,,,,,,
75,Subject,,,5962,30,1.3366756256419465,Category,,,,,,,Feature,,,,,,,,
76,Subject,,,5952,40,1.564699625727006,Category,,,,,,,Feature,,,,,,,,
77,Subject,,,5942,50,1.7132419546925077,Category,,,,,,,Feature,,,,,,,,
78,Subject,,,5932,60,1.8184566272594676,Category,,,,,,,Feature,,,,,,,,
79,Subject,,,5922,70,1.8516980562200405,Category,,,,,,,Feature,,,,,,,,
80,Subject,,,5991,1,0.04547204488314725,Category,,,,,,,,Feature,,,,,,,
81,Subject,,,5987,5,0.22075862733949891,Category,,,,,,,,Feature,,,,,,,
82,Subject,,,5982,10,0.43401512291581973,Category,,,,,,,,Feature,,,,,,,
83,Subject,,,5977,15,0.6395889286503802,Category,,,,,,,,Feature,,,,,,,
84,Subject,,,5972,20,0.8378947625521855,Category,,,,,,,,Feature,,,,,,,
85,Subject,,,5962,30,1.212658430941866,Category,,,,,,,,Feature,,,,,,,
86,Subject,,,5952,40,1.3610342302816778,Category,,,,,,,,Feature,,,,,,,
87,Subject,,,5942,50,1.4333706833010096,Category,,,,,,,,Feature,,,,,,,
88,Subject,,,5932,60,1.5056322294180071,Category,,,,,,,,Feature,,,,,,,
89,Subject,,,5922,70,1.5372838756938147,Category,,,,,,,,Feature,,,,,,,
90,Subject,,,5991,1,0.05420835724549294,Category,,,,,,,,,Feature,,,,,,
91,Subject,,,5987,5,0.2648673708975761,Category,,,,,,,,,Feature,,,,,,
92,Subject,,,5982,10,0.5210293422226366,Category,,,,,,,,,Feature,,,,,,
93,Subject,,,5977,15,0.7690053409392275,Category,,,,,,,,,Feature,,,,,,
94,Subject,,,5972,20,1.008248539549907,Category,,,,,,,,,Feature,,,,,,
95,Subject,,,5962,30,1.4550379454008662,Category,,,,,,,,,Feature,,,,,,
