Subject,t,neg,L_arousal,L_valence,L_dominance,L_positive,L_negative,L_sadness,L_trust,L_joy,L_anticipation,L_fear,L_disgust,L_anger,L_surprise,R_agent_environment,R_agent_person,R_agent_subject,R_agent_nan,R_patient_environment,R_patient_person,R_patient_subject,R_patient_nan,R_unknown
NARRATOR,403,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,412,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0
NARRATOR,417,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
NARRATOR,423,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,435,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,438,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,439,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NARRATOR,442,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,443,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
NARRATOR,450,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NARRATOR,454,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0
NARRATOR,476,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,491,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,496,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,504,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NARRATOR,507,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NARRATOR,509,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,519,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NARRATOR,522,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,523,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,534,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,547,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
NARRATOR,558,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
NARRATOR,561,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0
NARRATOR,564,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
NARRATOR,572,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
NARRATOR,574,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
NARRATOR,586,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
NARRATOR,594,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
NARRATOR,596,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,604,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NARRATOR,605,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
NARRATOR,607,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
NARRATOR,629,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NARRATOR,635,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
