Coding

PEOPL:A:X 

OLDGD:X:CO, OLDGD:X:ST


MRHEN:A+:X, MSDSH:A+:X, OLDGD:X:CO

MRJOD:C:X, MRJOD:A:X




OLDGD:C-:X
MRHEN:A+:ST+
HARRY:E:X
OLDGD:C:X
MRHEN:A+:CO, MRHEN:A+:ST


MRHEN:X:ST
MRJOD:A-:ST
MRJOD:X:SE
MRJOD:A-:X, MRJOD:C:X
FANNY:A-:X
FANNY:A-:X
MRJOD:C:ST

MRJOD:X:SE
MRJOD:A-:X
MRJOD:A-:X
MRJOD:A-:X
MRJOD:A-:X
FANNY:C-:SE
FANNY:A-:SE, MSDSH:X:CO
FANNY:A-:X

MSDSH:N+:CO, ELINO:A+:ST,  ELINO:C+:ST
ELINO:C+:ST, MSDSH:N+:X
ELINO:N-:X, ELINO:A+:X, MSDSH:N+:X, MARIA:N+:X

MARIA:C+:X MARIA:O:X, MARIA:N+:X
MARIA:A+:X

ELINO:A+:X, MARIA:N+:OC+, MSDSH:X:OC+
MARIA:N+:CO-, MSDSH:N+:CO-
MARIA:N+:OC+, MSDSH:N+:OC+
MARIA:N+:OC+, MSDSH:N+:OC+
ELINO:N-:OC+
ELINO:C+:X
MARGA:A+:X
FANNY:A-:SE+ 
FANNY:A-:X, MRJOD:A-:ST-
MRJOD:A-:ST-
MSDSH:X:C
MSDSH:A+:X
MSDSH:N+:X

FANNY:A-:SE,  

FANNY:X:CO
FANNY:A-:SE
FANNY:X:CO, FANNY:X:SE+
MRJOD:C:ST 
FANNY:A-:ST-
FANNY:A-:ST-
MRJOD:C:ST


MRJOD:C:ST
MRJOD:C:ST
MRJOD:C:ST
FANNY:A-:ST-
FANNY:X:CO
FANNY:X:CO
MRJOD:A-:CO
FANNY:X:CO
MRJOD:X:CO

MRJOD:A-:ST-
MRJOD:A-:ST-
FANNY:A-:SE
FANNY:A-:ST-
MRJOD:A-:SE

MRJOD:A-:ST-
FANNY:A-:SE+, MRJOD:A-:SE
MRJOD:A-:ST-
MRJOD:A-:CO





FANNY:X:ST-

FANNY:A-:CO
FANNY:A-:CO
FANNY:A-:CO
FANNY:A-:CO
FANNY:A-:CO
FANNY:A-:CO
FANNY:A-:CO
FANNY:A-:CO
FANNY:A-:CO
FANNY:A-:CO
FANNY:A-:CO
MRJOD:X:CO
MRJOD:X:CO
MRJOD:X:CO

FANNY:A-:ST-

FANNY:A-:CO
FANNY:A-:CO
MRJOD:A-:ST-



FANNY:X:ST-
FANNY:A-:ST-
FANNY:A-:ST-
FANNY:A-:ST
FANNY:A-:ST
FANNY:A-:ST
FANNY:A-:ST
FANNY:A-:ST
FANNY:A-:ST
FANNY:A-:ST
FANNY:A-:SE

MRJOD:A-:ST-
MRJOD:C:ST-
MRJOD:C:ST-
MRJOD:A-:ST-



FANNY:A-:ST-


FANNY:A-:SE

FANNY:A-:ST-




MRJOD:X:SE

MSDSH:N+:OC
MSDSH:X:CO, ELINO:C+:CO
MRJOD:A:ST
MSDSH:A:CO
MSDSH:A:CO
MSDSH:A:CO
MSDSH:N:ST, FANNY:A-:ST-
EDWAR:A:X


MSDSH:X:ST
MSDSH:X:ST
EDWAR:E-:X
EDWAR:E-:X
EDWAR:E-:X, EDWAR:A+:X

MSFER:X:SE, FANNY:X:SE
MSFER:X:SE, FANNY:X:SE
MSFER:X:SE
FANNY:X:SE

EDWAR:X:CO

MSDSH:C-:X
EDWAR:E-:X
MSDSH:N:X, EDWAR:A:X


EDWAR:A:X, FANNY:A-:X
EDWAR:A:X
MSDSH:N:X


MSDSH:N+:X
MSDSH:N+:X
MSDSH:E:X
MSDSH:E:X, EDWAR:E-:X
EDWAR:A+:X, MSDSH:X:OC





EDWAR:A+:X
EDWAR:A+:X, MARIA:X:ST


EDWAR:A+:X, MARIA:A:X
EDWAR:E-:X, MARIA:X:SE
EDWAR:E-:X
EDWAR:X:SE-
EDWAR:O-:X

EDWAR:O-:X
MARIA:O:SE
MARIA:O:SE
MARIA:O:SE
EDWAR:O-:X
MARIA:X:ST
ELINO:A+:ST
MARIA:E+:X
MARIA:N+:X, EDWAR:E-:X


EDWAR:O-:X 
ELINO:A+:X, MARIA:E+:X
MARIA:N+:X
MARIA:N+:X

MARIA:O+:SE, EDWAR:A+:X



EDWAR:O-:X, MARIA:E+:X

EDWAR:O-:SE-, MARIA:E+:X
ELINO:A+:X
EDWAR:E-:X, ELINOR:A+:ST
MARIA:A:ST
ELINO:A+:ST

MARIA:A:X

MARIA:E:OC


EDWAR:A+:X

MARIA:A+:X
ELINO:A+:X 
EDWAR:A+:X
EDWAR:E-:X


MARIA:N+:X, MSDSH:N+:X 
ELINO:C+:X, EDWAR:O:X, EDWAR:C:X, 
EDWAR:A+:X 
ELINO:A+:ST, EDWAR:A+:X
ELINOR:C:X 


MARIA:E+:ST
ELINO:C:X 
EDWAR:A+:X 

MARIA:E+:X, MSDSH:E+
ELINO:C:CO

MARIA:N:OC

MARIA:E:OC, ELINO:N-:X 
ELINO:E-:X

MARIA:E:X
ELINO:A+:X
ELINO:A:X





ELINO:C:CO

MSFER:A-:CO, ELINO:C:CO
MARIA:N+:OC, MSDSH:N+:OC
MARIA:E+:X


MARIA:O:X 
ELINO:C:X 
EDWAR:E-:X

EDWAR:N:X
ELINO:C:CO
MSFER:A-:SE+

MARIA:E:OC, MSDSH:E:OC

FANNY:A-:SE
FANNY:A-:SE+, MSFER:X:SE, MSFER:X:CO, MSDSH:N+:X
MSDSH:N+:ST


SRMID:A:ST
SRMID:A:ST

SRMID:A:ST, MSDSH:N+:X
MSDSH:E:OC
MSDSH:X:OC

FANNY:A-:ST-
MSDSH:X:OC
ELINO:C:CO
MSDSH:X:OC
ELINO:C:OC
MSDSH:X:OC

FANNY:A-:X, MRJOD:A-:X

EDWAR:X:CO







MSDSH:A+:ST
FANNY:A-:ST-
FANNY:X:SE
MRJOD:A-:ST-
MRJOD:X:ST-


FANNY:A-:SE

MSDSH:X:OC+
ELINO:C:X
MSDSH:C-:OC
ELINO:C:CO
MSDSH:C-:X
MSDSH:X:OC, FANNY:A-:ST-


MRJOD:X:ST-
MRJOD:X:ST-


MARIA:O:OC-
MARIA:O:OC-
MARIA:N:OC-
MARIA:N:OC-
MARIA:N:OC-, PEOPL:N:X
 PEOPL:A:X









 PEOPL:A:ST






MSDSH:A:OC

MSDSH:X:OC
MSDSH:X:OC



PEOPL:X:OC

SRMID:X:ST


SRMID:A+:X
SRMID:A:ST
SRMID:A:ST
SRMID:A:ST
SRMID:A:ST
LADYM:A:X 
LADYM:A:X

LADYM:C:X
LADYM:A-:SE, LADYM:E-:X
SRMID:E:X, LADYM:E-:X, WMMID:E-:X





SRMID:X:ST 





LADYM:X:SE, SRMID:X:OC
SRMID:E:X, LADYM:X:SE
LADYM:X:SE
SRMID:E+:X
SRMID:E:X, SRMID:O:X
SRMID:O:X
MARIA:A:X, ELINO:A:X, MARGA:A:X

SRMID:A:ST
SRMID:A:SE
SRMID:A:SE



MSJEN:A:X, SRMID:X:ST

MSJEN:E:X, MSJEN:A:X
MSJEN:E:X
ELINO:N-:X, MARIA:N+:ST
COLBR:E-:X 
COLBR:E-:X

LADY:A-:X, COLBR:E-:X, SRMID:E+:X, MSJEN:E+:X
ANNAM:E+:X, JHYMD:E+:X, WMMID:E+:X
MARIA:O:X
MARIA:O:X, LADYM:O-:X

SRMID:E+:X
LADYM:O+:SE
COLBR:X:ST
COLBR:A:ST, PEOPL:X:ST-
MARIA:O+:X, MARIA:O+:X, COLBR:A:X


MSJEN:E+:SE
MSJEN:E+:SE
MSJEN:E+:SE
MSJEN:X:SE



MSJEN:X:SE
MSJEN:E+:SE

COLBR:N-:X, MARIA:N:X
MSDSH:X:ST

MARIA:E+:OC




MSDSH:A:X





MARIA:N:CO


MARIA:N:X

MARIA:N:OC-


MARIA:O+:X, MARIA:N+:X







EDWAR:E-:X, MSDSH:N:X

ELINO:N-:X
MARIA:O+, MSDSH:O+
MARIA:O+, MSDSH:O+
MARIA:O+, MSDSH:O+
MARIA:O+, MSDSH:O+, EDWAR:E-:X, ELINO:E-:X
MARIA:O+, MSDSH:O+, EDWAR:E-:X, ELINO:E-:X
MARIA:O+, MSDSH:O+, EDWAR:E-:X, ELINO:E-:X
MARIA:O+, MSDSH:O+, EDWAR:E-:X, ELINO:E-:X
MARIA:O+, MSDSH:O+, EDWAR:E-:X, ELINO:E-:X
MARIA:O+, MSDSH:O+, ELINO:E-:X
MARIA:O+, MSDSH:O+, ELINO:E-:X
MARIA:O+, MSDSH:O+, ELINO:E-:X


MARIA:C:X, MARGA:C:X, MSDSH:C:X, ELINO:C:X
MSDSH:X:OC




MARIA:O+:X, MARGA:O+:X 
MARIA:O+:X
MARIA:O+:X, MARGA:O+:X 
MARIA:O+:X 
MARGA:O+:X, MARIA:O+:X





WILLO:X:ST

WILLO:X:ST
WILLO:X:ST
WILLO:A+:ST
MSDSH:O+:X
MSDSH:A:ST
WILLO:X:ST
MSDSH:E:X


WILLO:A+:ST

MARIA:E:X, MARIA:O:X
MARIA:O+:X
MARIA:O+:O
WILLO:A+:X, MARIA:O:X
MARIA:O:O 
SRMID:X:ST 

SRMID:E+:X
SRMID:A:X, SRMID:E+:X



WILLO:A:X
WILLO:C:X

MARIA:E:X, MARIA:N:X 
MARIA:O:X 
MARIA:O:X
SRMID:O-:OC-

WILLO:A:X 

SRMID:O-:X, MARIA:O+:ST
ELINO:O:X
ELINO:O:X
ELINO:O:X
SRMID:X:SE
SRMID:X:SE
SRMID:X:SE
MSDSH:A:OC
ELINO:X:ST, MARIA:X:ST, MARG:X:ST

MSDSH:X:SE, 
WILLO:A:X
WILLO:E:X

MARIA:O+:X
MARIA:O+:X
WILLO:E+:X

SRMID:X:SE

MARIA:O:X
MARIA:O:X
SRMID:O-:X
COLBR:A:X
MARG:O:X
MSDSH:A:ST 
ELINO:A+:X, MARIA:A+:X



MARIA:X:OC, MARIA:E:X

WILLO:E:X, WILLO:C:X, WILLO:O+:X

MARIA:E+:X
MARIA:E+:X, MARIA:O+:X, WILLO:E+:X, WILLO:O+:X
MARIA:O+:X, WILLO:O+:X 

MARIA:O+:X, WILLO:O+:X 
WILLO:E+:X, MARIA:E+:X 


MARIA:O+:X, WILLO:O+:X 
MARIA:E+:X 

MARIA:O+:X 


MARIA:E+:X
MARIA:E+:X 





PEOPL:A+:X 

WILLO:A+:X, WILLO:E+:X 
WILLO:O+:X 
MARIA:N:ST
WILLO:O+:X 
WILLO:A+:OC, MARIA:X:OC
ELINO:C+:X, WILLO:C-:X, WILLO:A-:X
MARIA:N:X
MARIA:N:X, WILLO:A+:X 
MSDSH:X:OC
ELINO:O:ST
WILLO:E+:X, COLBR:E-:X 

COLBR:E-:X, WILLO:E+:X
ELINO:A:ST
ELINO:O:ST, COLBR:E-:X
COLBR:E-:X, COLBR:A:X
ELINO:A:ST
WILLO:A-:SE, MARIA:A-:SE
WILLO:A-:SE, MARIA:A-:SE
WILLO:A-:SE, MARIA:A-:SE, ELINO:A:ST
COLBR:A:X, ELINO:X:ST
WILLO:E:ST-

WILLO:A-:X
WILLO:E:X 
COLBR:C:X 

COLBR:O:OC 
COLBR:O:X
MARIA:E:ST-

WILLO:A-:X
WILLO:A-:X 


COLBR:A:X, WILLO:A-:SE
MARIA:A-:X, MARIA:E:X

MARIA:E:X, ELINO:N-:X
COLBR:C:X, COLBR:A:X, 

ELINO:C:X, WILLO:E:X

WILLO:A-:X, ELINO:O:X 







WILLO:A:X, MARIA:A:X 

ELINO:X:CO, MARIA:X:OC
MARIA:X:OC 
WILLO:X:OC



WILLO:X:ST
WILLO:X:OC-, MARIA:X:OC-
WILLO:N:CO, MARIA:N:CO
MSDSH:C-:SE
MARIA:OE:OC, WILLO:OE:OC, MSDSH:C-:SE

MARIA:E:ST

ELINO:N:CO
ELINO:X:CO
MSJEN:E:X, MSJEN:A:X
MSJEN:E:SE
LADYM:E-:X 
ELINO:O:ST, LADYM:N-:X

LADYM:N-:X
LADYM:N-:CO
COLBR:O:X, ELINO:O:OC

WILLO:A-:X
COLBR:O:OC
ELINO:A:ST, ELINO:O:X


MARIA:X:OC
MARIA:E:X



MARIA:A:OC, COLBR:O:OC
ELINO:X:CO
MARIA:E:OC

COLBR:C:X
COLBR:C:X


COLBR:O:OC

ELIBR:E:OC, COLBR:E-:CO


ELINO:E-:X, 

MARIA:E:X, MARIA:N:X
MARIA:C-:ST-
MARIA:E:X
ELINO:C:X, MARIA:C-:X



MARIA:N:OC
MARIA:C-:SE
ELINO:X:CO


MARIA:O:X, MARIA:E:X

MARIA:N:X

MARIA:O:X, WILLO:A:X, MRJOD:E-:X
ELINO:A:ST
MARIA:N+:X
MARIA:X:SE
ELINO:C+:CO, MARIA:C-:OC


WILLO:A:ST


WILLO:C:ST 


MARG:E:SE
MARG:E:SE

MARG:E:SE, ELINO:N-:X





WILLO:N:SE, MARIA:N:SE, WILLO:E:X, MARIA:E:X

MARG:O:SE 
MARG:A:ST, MARG:O:X, MSJEN:E+:SE
ELINO:X:CO
ELINO:X:CO

MARIA:N:CO, MARIA:A-:X
MARG:O:ST
PEOPL:E:SE
MSJEN:E:SE





MARIA:N:CO
MARG:A:OC, LADYM:C:ST
COLBR:A:ST

ELINO:N:X

SRMID:A:CO

ELINO:C:CO

ELINO:C:X


PEOPL:A:ST


SRMID:A:ST

LADYM:A:ST


MSJEN:X:ST
MSJEN:E:X
MSJEN:E:X


MSJEN:E:X
MSJEN:E:SE
LADYM:C:CO
MSJEN:E:SE


MSJEN:E:SE



MSJEN:N:X

MARIA:X:SE




MSJEN:E:SE
WILLO:X:SE
COLBR:N:X
WILLO:A-:SE

WILLO:A-:SE
WILLO:A-:SE
MARIA:A-:X
COLBR:C:CO


COLBR:A:ST

LADYM:X:ST
LADYM:X:ST

SRMID:X:ST
MSJEN:E:SE
SRMID:X:SE-
MSJEN:X:SE+






SRMID:A:X
SRMID:X:SE
COLBR:X:ST


COLBR:A:X, ELINO:A:X

MSJEN:E:X

PEOPL:X:SE
MSJEN:E:X
PEOPL:X:SE







MSJEN:E:X



SRMID:A+:OC



PEOPL:A+:X
SRMID:A:X
WILLO:X:CO
MSJEN:E:X
MRSJEN:E:X
MARIA:N:X
MRJEN:E:X




ELINO:C:X

MARIA:N:SE


ELINO:C:CO

MARIA:X:OC

ELINO:X:CO
MARIA:X:CO-
ELINO:C:CO, MARIA:X:OC, MSJEN:E:X
MARIA:X:OC
MARIA:X:OC
ELINO:X:CO
MARIA:A:OC



MARIA:A:X
MSJEN:X:SE+
MSJEN:X:SE+
MSJEN:X:SE+
MSJEN:X:SE+
MSJEN:X:SE+
MSJEN:X:SE+
MSJEN:X:SE+
MSJEN:X:SE+
MSJEN:X:SE+



COLBR:C:X
MSJEN:X:SE+
MSJEN:X:SE+
MSJEN:X:SE+
MSJEN:X:SE+
MSJEN:E:SE+

ELINO:A:SE-, MSJEN:E:SE

MARIA:E:X, WILLO:E:X




WILLO:E:X
WILLO:A+:X

WILLO:A:SE
WILLO:X:SE
WILLO:X:SE
EILLO:X:SE

WILLO:E:X


WILLO:X:ST
WILLO:X:ST

WILLO:X:ST


WILLO:E:ST

WILLO:X:ST
MARIA:N:X


WILLO:O:OC


WILLO:E:CO
WILLO:E:CO
WILLO:E:CO

MSDSH:A:CO


WILLO:E:CO
WILLO:E:CO






MARIA:N:X

