,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,character,friend,husband
86,Subject,,,11964,40,3.093693632946515,Category,,,,,,,,Feature,,,,,,,,
87,Subject,,,11954,50,2.8703447787160554,Category,,,,,,,,Feature,,,,,,,,
88,Subject,,,11944,60,2.667031373431664,Category,,,,,,,,Feature,,,,,,,,
89,Subject,,,11934,70,2.591331989475637,Category,,,,,,,,Feature,,,,,,,,
90,Subject,,,12003,1,0.0846186129179131,Category,,,,,,,,,Feature,,,,,,,
91,Subject,,,11999,5,0.4198513590954707,Category,,,,,,,,,Feature,,,,,,,
92,Subject,,,11994,10,0.8356829528784091,Category,,,,,,,,,Feature,,,,,,,
93,Subject,,,11989,15,1.2475499129751852,Category,,,,,,,,,Feature,,,,,,,
94,Subject,,,11984,20,1.651137441531636,Category,,,,,,,,,Feature,,,,,,,
95,Subject,,,11974,30,2.4304122241294994,Category,,,,,,,,,Feature,,,,,,,
96,Subject,,,11964,40,2.5847671991490087,Category,,,,,,,,,Feature,,,,,,,
97,Subject,,,11954,50,2.4938168175569135,Category,,,,,,,,,Feature,,,,,,,
98,Subject,,,11944,60,2.423528371927475,Category,,,,,,,,,Feature,,,,,,,
99,Subject,,,11934,70,2.3934592268763804,Category,,,,,,,,,Feature,,,,,,,
100,Subject,,,12003,1,0.17082465049802245,Category,,,,,,,,,,Feature,,,,,,
101,Subject,,,11999,5,0.8443536841861352,Category,,,,,,,,,,Feature,,,,,,
102,Subject,,,11994,10,1.6758518052146174,Category,,,,,,,,,,Feature,,,,,,
103,Subject,,,11989,15,2.483890231660445,Category,,,,,,,,,,Feature,,,,,,
104,Subject,,,11984,20,3.255257188422151,Category,,,,,,,,,,Feature,,,,,,
105,Subject,,,11974,30,4.655664047678608,Category,,,,,,,,,,Feature,,,,,,
106,Subject,,,11964,40,4.148486600732469,Category,,,,,,,,,,Feature,,,,,,
107,Subject,,,11954,50,3.435413771360593,Category,,,,,,,,,,Feature,,,,,,
108,Subject,,,11944,60,2.8996231986802123,Category,,,,,,,,,,Feature,,,,,,
109,Subject,,,11934,70,2.715005612992826,Category,,,,,,,,,,Feature,,,,,,
