,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,captain,squire
105,Subject,,,23398,30,3.755001619264852,Category,,,,,,,,,,Feature,,,,,
106,Subject,,,23388,40,3.4486163063724997,Category,,,,,,,,,,Feature,,,,,
107,Subject,,,23378,50,3.1043982549434355,Category,,,,,,,,,,Feature,,,,,
108,Subject,,,23368,60,2.8255711579837652,Category,,,,,,,,,,Feature,,,,,
109,Subject,,,23358,70,2.731755426159272,Category,,,,,,,,,,Feature,,,,,
110,Subject,,,23427,1,0.42938755984416904,Category,,,,,,,,,,,Feature,,,,
111,Subject,,,23423,5,1.9571238752688331,Category,,,,,,,,,,,Feature,,,,
112,Subject,,,23418,10,3.731797868325144,Category,,,,,,,,,,,Feature,,,,
113,Subject,,,23413,15,5.18922124394718,Category,,,,,,,,,,,Feature,,,,
114,Subject,,,23408,20,6.254986430883551,Category,,,,,,,,,,,Feature,,,,
115,Subject,,,23398,30,7.727241783419768,Category,,,,,,,,,,,Feature,,,,
116,Subject,,,23388,40,4.400105283643936,Category,,,,,,,,,,,Feature,,,,
117,Subject,,,23378,50,3.397229219363862,Category,,,,,,,,,,,Feature,,,,
118,Subject,,,23368,60,2.92485759164023,Category,,,,,,,,,,,Feature,,,,
119,Subject,,,23358,70,2.792768860665403,Category,,,,,,,,,,,Feature,,,,
120,Subject,,,23427,1,0.25005122297749427,,Feature,,,,,,,,,,,Category,,,
121,Subject,,,23423,5,1.2465679756318317,,Feature,,,,,,,,,,,Category,,,
122,Subject,,,23418,10,2.479723946786234,,Feature,,,,,,,,,,,Category,,,
123,Subject,,,23413,15,3.6840038117855842,,Feature,,,,,,,,,,,Category,,,
124,Subject,,,23408,20,4.842615604085669,,Feature,,,,,,,,,,,Category,,,
125,Subject,,,23398,30,6.952213214399176,,Feature,,,,,,,,,,,Category,,,
126,Subject,,,23388,40,5.66491088915032,,Feature,,,,,,,,,,,Category,,,
127,Subject,,,23378,50,4.130305900373849,,Feature,,,,,,,,,,,Category,,,
128,Subject,,,23368,60,3.047267259760834,,Feature,,,,,,,,,,,Category,,,
129,Subject,,,23358,70,2.7143658375233852,,Feature,,,,,,,,,,,Category,,,
130,Subject,,,23427,1,0.34702151309749485,,,Feature,,,,,,,,,,Category,,,
131,Subject,,,23423,5,1.733950905426635,,,Feature,,,,,,,,,,Category,,,
132,Subject,,,23418,10,3.452061820948338,,,Feature,,,,,,,,,,Category,,,
133,Subject,,,23413,15,5.119316814556143,,,Feature,,,,,,,,,,Category,,,
134,Subject,,,23408,20,6.684615412527389,,,Feature,,,,,,,,,,Category,,,
135,Subject,,,23398,30,9.359409011713984,,,Feature,,,,,,,,,,Category,,,
136,Subject,,,23388,40,6.110604511024998,,,Feature,,,,,,,,,,Category,,,
137,Subject,,,23378,50,3.5701139453353665,,,Feature,,,,,,,,,,Category,,,
138,Subject,,,23368,60,2.0873523947171755,,,Feature,,,,,,,,,,Category,,,
139,Subject,,,23358,70,1.6898587555052975,,,Feature,,,,,,,,,,Category,,,
140,Subject,,,23427,1,0.7383978936868631,,,,Feature,,,,,,,,,Category,,,
141,Subject,,,23423,5,3.662447560996274,,,,Feature,,,,,,,,,Category,,,
142,Subject,,,23418,10,7.273101733685484,,,,Feature,,,,,,,,,Category,,,
143,Subject,,,23413,15,10.437350675380294,,,,Feature,,,,,,,,,Category,,,
144,Subject,,,23408,20,12.483820349725097,,,,Feature,,,,,,,,,Category,,,
145,Subject,,,23398,30,14.077553877787752,,,,Feature,,,,,,,,,Category,,,
146,Subject,,,23388,40,2.9044735044099914,,,,Feature,,,,,,,,,Category,,,
147,Subject,,,23378,50,0.688933491042664,,,,Feature,,,,,,,,,Category,,,
148,Subject,,,23368,60,0.1671987884789736,,,,Feature,,,,,,,,,Category,,,
149,Subject,,,23358,70,0.08126237298932898,,,,Feature,,,,,,,,,Category,,,
150,Subject,,,23427,1,0.1814222907046532,,,,,Feature,,,,,,,,Category,,,
151,Subject,,,23423,5,0.9036599810191847,,,,,Feature,,,,,,,,Category,,,
152,Subject,,,23418,10,1.7996804452175825,,,,,Feature,,,,,,,,Category,,,
153,Subject,,,23413,15,2.6833852523875894,,,,,Feature,,,,,,,,Category,,,
154,Subject,,,23408,20,3.5441826113450308,,,,,Feature,,,,,,,,Category,,,
155,Subject,,,23398,30,5.175045656403275,,,,,Feature,,,,,,,,Category,,,
156,Subject,,,23388,40,4.8216703004215615,,,,,Feature,,,,,,,,Category,,,
157,Subject,,,23378,50,4.0373665570317305,,,,,Feature,,,,,,,,Category,,,
158,Subject,,,23368,60,3.3284600534375524,,,,,Feature,,,,,,,,Category,,,
159,Subject,,,23358,70,3.076746766648008,,,,,Feature,,,,,,,,Category,,,
160,Subject,,,23427,1,0.8917706226150064,,,,,,Feature,,,,,,,Category,,,
161,Subject,,,23423,5,4.402365729008714,,,,,,Feature,,,,,,,Category,,,
162,Subject,,,23418,10,8.725681471354102,,,,,,Feature,,,,,,,Category,,,
163,Subject,,,23413,15,12.261870088876245,,,,,,Feature,,,,,,,Category,,,
164,Subject,,,23408,20,13.708219912566046,,,,,,Feature,,,,,,,Category,,,
165,Subject,,,23398,30,14.391422568221985,,,,,,Feature,,,,,,,Category,,,
166,Subject,,,23388,40,1.6366323911379632,,,,,,Feature,,,,,,,Category,,,
167,Subject,,,23378,50,0.36756498313909386,,,,,,Feature,,,,,,,Category,,,
168,Subject,,,23368,60,0.10238553613693127,,,,,,Feature,,,,,,,Category,,,
169,Subject,,,23358,70,0.062145193548997356,,,,,,Feature,,,,,,,Category,,,
170,Subject,,,23427,1,0.286877277212863,,,,,,,Feature,,,,,,Category,,,
171,Subject,,,23423,5,1.4306560094136613,,,,,,,Feature,,,,,,Category,,,
172,Subject,,,23418,10,2.8449361138598075,,,,,,,Feature,,,,,,Category,,,
173,Subject,,,23413,15,4.221665804167623,,,,,,,Feature,,,,,,Category,,,
174,Subject,,,23408,20,5.52484682010776,,,,,,,Feature,,,,,,Category,,,
175,Subject,,,23398,30,7.818149146925398,,,,,,,Feature,,,,,,Category,,,
176,Subject,,,23388,40,5.859774605769696,,,,,,,Feature,,,,,,Category,,,
