,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,captain,delvile,doctor,dr lyster,gentleman,lady honoria,miss beverley,miss larolles,morrice,mr arnott,mr briggs,mr delvile,mr harrel,mr hobson,mr monckton,mrs belfield,mrs charlton,mrs delvile,mrs harrel,servant,sir robert,son
41,Subject,,,62478,5,0.1043918760479394,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Subject,,,62473,10,0.20687158451223034,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Subject,,,62468,15,0.30697911520838267,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Subject,,,62463,20,0.40495018998199217,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Subject,,,62453,30,0.596892045494718,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Subject,,,62443,40,0.688116281641181,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Subject,,,62433,50,0.7367384358509799,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Subject,,,62423,60,0.7800384085129086,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Subject,,,62413,70,0.7968261876491184,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Subject,,,62482,1,0.19226365089448244,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Subject,,,62478,5,0.8569320775641774,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Subject,,,62473,10,1.5912965752618464,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Subject,,,62468,15,2.2278768837050302,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Subject,,,62463,20,2.745371336685667,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Subject,,,62453,30,3.525274293973701,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Subject,,,62443,40,2.586337132409378,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Subject,,,62433,50,2.344022887953271,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Subject,,,62423,60,2.271327199530069,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Subject,,,62413,70,2.2536693442527618,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Subject,,,62482,1,0.033896633024464454,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Subject,,,62478,5,0.1656024988595382,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Subject,,,62473,10,0.3259351856080739,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Subject,,,62468,15,0.4810922499550803,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Subject,,,62463,20,0.6323221271041944,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Subject,,,62453,30,0.9228771766455272,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Subject,,,62443,40,1.0091157272058127,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
