,NER_CARDINAL,NER_DATE,NER_GPE,NER_ORG,NER_PERSON,WN_entity,WN_female,WN_male,WN_person,entity_pos,entity_root,entity_tag,entity_text,i,mention_pos,mention_root,mention_tag,mention_text,t,mention_categ
20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,pole,NN,the pole,825,NOUN,pole,NN,the pole,817,person
21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,pole,NN,the pole,835,PRON,it,PRP,it,817,environment
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,pole,NN,the pole,838,PRON,itself,PRP,itself,817,environment
23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PROPN,margaret,NNP,Margaret,852,PROPN,margaret,NNP,Margaret,850,person
24,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PROPN,margaret,NNP,Margaret,1985,PROPN,margaret,NNP,Margaret,1979,person
25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PROPN,margaret,NNP,Margaret,2143,PROPN,margaret,NNP,Margaret,2138,person
26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,sun,NN,the sun,854,NOUN,sun,NN,the sun,850,person
27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,sun,NN,the sun,861,DET,its,PRP$,its,850,environment
28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,sun,NN,the sun,931,DET,its,PRP$,Its,931,environment
29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,voyage,NN,only this voyage,988,NOUN,voyage,NN,only this voyage,966,environment
30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,voyage,NN,only this voyage,1057,NOUN,voyage,NN,this laborious voyage,1033,environment
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,these,DT,These,1033,DET,these,DT,These,1033,environment
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,these,DT,These,1039,PRON,they,PRP,they,1033,person
33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,child,NN,a child,1063,NOUN,child,NN,a child,1033,person
34,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,child,NN,a child,1067,PRON,he,PRP,he,1033,environment
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,child,NN,a child,1075,DET,his,PRP$,his,1033,environment
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,child,NN,a child,1085,DET,his,PRP$,his,1033,environment
37,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,soul,NN,the soul,1212,NOUN,soul,NN,the soul,1168,environment
38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,soul,NN,the soul,1216,DET,its,PRP$,its,1168,environment
39,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,NOUN,uncle,NN,our good uncle Thomas's library,1280,NOUN,uncle,NN,our good uncle Thomas's library,1260,person
40,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,uncle,NN,our good uncle Thomas's library,1336,NOUN,uncle,NN,my uncle,1300,person
41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,volumes,NNS,These volumes,1300,NOUN,volumes,NNS,These volumes,1300,environment
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,volumes,NNS,These volumes,1313,PRON,them,PRP,them,1300,environment
43,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,effusions,NNS,whose effusions,1363,NOUN,effusions,NNS,whose effusions,1349,environment
44,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,effusions,NNS,whose effusions,1371,PRON,it,PRP,it,1349,environment
45,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PROPN,heaven,NNP,heaven,1373,PROPN,heaven,NNP,heaven,1349,person
46,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PROPN,heaven,NNP,heaven,1987,PROPN,heaven,NNP,Heaven,1987,person
47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,enterprise,NN,this great enterprise,1484,NOUN,enterprise,NN,this great enterprise,1469,environment
48,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,enterprise,NN,this great enterprise,2063,NOUN,enterprise,NN,my enterprise,2056,environment
49,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,enterprise,NN,this great enterprise,2627,NOUN,enterprise,NN,my enterprise,2599,environment
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PROPN,margaret,NNP,dear Margaret,1571,PRON,myself,PRP,myself,1567,environment
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PROPN,margaret,NNP,dear Margaret,1584,PRON,myself,PRP,myself,1567,environment
52,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PROPN,margaret,NNP,dear Margaret,1631,PROPN,margaret,NNP,dear Margaret,1628,person
53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NOUN,captain,NN,my captain,1598,NOUN,captain,NN,my captain,1591,person
54,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,captain,NN,my captain,1622,PRON,he,PRP,he,1591,environment
55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,spirits,NNS,my spirits,1695,NOUN,spirits,NNS,my spirits,1681,environment
56,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,spirits,NNS,my spirits,3505,NOUN,spirits,NNS,my spirits,3478,environment
