,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,abbot,ambrosio,brother,elvira,grave,lorenzo,marquis,monk,nuns,raymond,segnor,theodore
729,,,,25960,70,0.2311591232245416,Category,,,Feature,,,,,,,,,,,,Subject,,,,,,,,,,
730,,,,26029,1,0.01549432473123115,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
731,,,,26025,5,0.0760805052634841,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
732,,,,26020,10,0.15135616466432936,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
733,,,,26015,15,0.226594664373916,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
734,,,,26010,20,0.30044246675089553,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
735,,,,26000,30,0.4412811653095394,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
736,,,,25990,40,0.5213350580593219,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
737,,,,25980,50,0.5700697913918146,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
738,,,,25970,60,0.6148465004821023,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
739,,,,25960,70,0.6326954536941458,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,,
740,,,,26029,1,0.10286028962620808,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
741,,,,26025,5,0.4556752804548262,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
742,,,,26020,10,0.8297970686879076,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
743,,,,26015,15,1.143483915298035,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
744,,,,26010,20,1.4086224908885083,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
745,,,,26000,30,1.8519195433212916,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
746,,,,25990,40,1.6373023994528801,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
747,,,,25980,50,1.6174328725291094,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
748,,,,25970,60,1.6119877648797563,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
749,,,,25960,70,1.6036579651503937,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,,
750,,,,26029,1,0.45968341254742456,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,,,
751,,,,26025,5,2.297232242058669,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,,,
752,,,,26020,10,4.579015966406044,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,,,
753,,,,26015,15,6.779563701191217,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,,,
754,,,,26010,20,8.780417616238129,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,,,
755,,,,26000,30,11.858528971345654,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,,,
756,,,,25990,40,5.558032930275123,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,,,
757,,,,25980,50,2.133990121860169,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,,,
758,,,,25970,60,0.8967026372196326,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,,,
759,,,,25960,70,0.6477239993860784,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,,,
760,,,,26029,1,0.024187863823368794,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,,,
761,,,,26025,5,0.11888250955240906,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,,,
762,,,,26020,10,0.23550279945429295,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,,,
763,,,,26015,15,0.34985754809225145,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,,,
764,,,,26010,20,0.4629798171211577,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,,,
765,,,,26000,30,0.6801098599514553,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,,,
766,,,,25990,40,0.778837415320928,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,,,
767,,,,25980,50,0.8208659933741741,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,,,
768,,,,25970,60,0.8608239187707964,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,,,
769,,,,25960,70,0.8767082342737613,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,,,
770,,,,26029,1,0.02943605136304867,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,,,
771,,,,26025,5,0.14157553879351392,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,,,
772,,,,26020,10,0.2763136004658502,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,,,
773,,,,26015,15,0.4072656911872664,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,,,
774,,,,26010,20,0.5347546708455037,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,,,
775,,,,26000,30,0.7721294878724433,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,,,
776,,,,25990,40,0.85858062800429,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,,,
777,,,,25980,50,0.8935634638424044,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,,,
778,,,,25970,60,0.9285670852274035,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,,,
779,,,,25960,70,0.9417798611671411,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,,,
780,,,,26029,1,0.019755982727962987,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,,,
781,,,,26025,5,0.09753553014266537,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,,,
782,,,,26020,10,0.19393840752249047,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,,,
783,,,,26015,15,0.28661341220585795,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,,,
784,,,,26010,20,0.37609185908254883,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,,,
785,,,,26000,30,0.546116369023233,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,,,
786,,,,25990,40,0.633989119496278,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,,,
787,,,,25980,50,0.6908097358764509,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,,,
788,,,,25970,60,0.7404048674861501,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,,,
789,,,,25960,70,0.7582639201526815,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,,,
790,,,,26029,1,0.03697405565561585,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,,,
791,,,,26025,5,0.18032346627126367,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,,,
792,,,,26020,10,0.35313579519765614,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,,,
793,,,,26015,15,0.5186214941580678,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,,,
794,,,,26010,20,0.6758811934825327,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,,,
795,,,,26000,30,0.9700400620579919,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,,,
796,,,,25990,40,1.0563795638496758,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,,,
797,,,,25980,50,1.0903694172650567,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,,,
798,,,,25970,60,1.128734205992364,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,,,
799,,,,25960,70,1.142380758254617,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,,,
800,,,,26029,1,0.11063224954381118,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,,,
801,,,,26025,5,0.4723077674373678,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,,,
802,,,,26020,10,0.8555469082786216,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,,,
803,,,,26015,15,1.1730918504186152,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,,,
804,,,,26010,20,1.438024905178035,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,,,
805,,,,26000,30,1.8902176193187283,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,,,
806,,,,25990,40,1.6710179907842804,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,,,
807,,,,25980,50,1.6505055983648849,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,,,
808,,,,25970,60,1.640341067409542,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,,,
809,,,,25960,70,1.6295494767936556,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,,,
810,,,,26029,1,0.5340383328234042,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,,,
811,,,,26025,5,2.659844860929232,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,,,
812,,,,26020,10,5.288449490318673,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,,,
813,,,,26015,15,7.733473332014474,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,,,
814,,,,26010,20,9.779396821054204,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,,,
815,,,,26000,30,12.469039575983448,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,,,
816,,,,25990,40,4.990919034196107,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,,,
817,,,,25980,50,1.9679686469850868,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,,,
818,,,,25970,60,0.8688664871322572,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,,,
819,,,,25960,70,0.6431026170261829,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,,,
820,,,,26029,1,0.006617195459688244,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,,,
821,,,,26025,5,0.0328668075379445,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,,,
822,,,,26020,10,0.06369975657540097,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,,,
823,,,,26015,15,0.09326497303353472,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,,,
824,,,,26010,20,0.12272557280066415,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,,,
825,,,,26000,30,0.18063279996623954,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,,,
826,,,,25990,40,0.21474815783863183,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,,,
827,,,,25980,50,0.23508141577550848,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,,,
828,,,,25970,60,0.25256700188899794,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,,,
829,,,,25960,70,0.25966151790474395,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,,,
830,,,,26029,1,0.9929397734274997,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,,,
831,,,,26025,5,4.959238876670572,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,,,
832,,,,26020,10,9.886692682576319,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,,,
833,,,,26015,15,13.891549368534076,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,,,
834,,,,26010,20,14.634232476440175,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,,,
835,,,,26000,30,14.666147079724022,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,,,
836,,,,25990,40,0.030367185742200747,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,,,
837,,,,25980,50,0.0,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,,,
838,,,,25970,60,0.0,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,,,
839,,,,25960,70,0.0,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,,,
840,,,,26029,1,0.39121177908800264,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,,,
841,,,,26025,5,1.947370042569898,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,,,
842,,,,26020,10,3.866455314866478,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,,,
843,,,,26015,15,5.694436423966117,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,,,
844,,,,26010,20,7.345694556557821,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,,,
845,,,,26000,30,9.986898351771345,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,,,
846,,,,25990,40,5.944768220323258,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,,,
847,,,,25980,50,3.3411634322057804,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,,,
848,,,,25970,60,1.8915031660264296,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,,,
849,,,,25960,70,1.5247177407787267,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,,,
850,,,,26029,1,0.782029918131247,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,,,
851,,,,26025,5,3.9084498873484583,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,,,
852,,,,26020,10,7.786205612888672,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,,,
853,,,,26015,15,11.241689298374391,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,,,
854,,,,26010,20,13.438351526962563,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,,,
855,,,,26000,30,14.590750668261933,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,,,
856,,,,25990,40,0.0,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,,,
857,,,,25980,50,0.0,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,,,
858,,,,25970,60,0.0,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,,,
859,,,,25960,70,0.0024817544916069336,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,,,
860,,,,26029,1,0.6593780178291556,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,,,
861,,,,26025,5,3.288576512276914,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,,,
862,,,,26020,10,6.543232421802835,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,,,
863,,,,26015,15,9.506159525582333,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,,,
864,,,,26010,20,11.755720315881407,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,,,
865,,,,26000,30,13.933754988211692,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,,,
866,,,,25990,40,3.421108751168564,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,,,
867,,,,25980,50,0.8145494072035255,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,,,
868,,,,25970,60,0.24207898849532974,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,,,
869,,,,25960,70,0.1456545655449843,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,,,
870,,,,26029,1,0.5629157458826742,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,,,
871,,,,26025,5,2.803321141382238,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,,,
872,,,,26020,10,5.5739533883372445,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,,,
873,,,,26015,15,8.132509821034766,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,,,
874,,,,26010,20,10.243362952860354,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,,,
875,,,,26000,30,12.92251426170873,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,,,
876,,,,25990,40,4.633980045023282,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,,,
877,,,,25980,50,1.5213180897120127,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,,,
878,,,,25970,60,0.5300201474922225,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,,,
879,,,,25960,70,0.3627187494878298,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,,,
880,,,,26029,1,0.6199996521999708,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,,,
881,,,,26025,5,3.0936063918660826,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,,,
882,,,,26020,10,6.152918796873376,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,,,
883,,,,26015,15,8.977191408497855,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,,,
884,,,,26010,20,11.198707565639417,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,,,
885,,,,26000,30,13.602546942668546,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,,,
886,,,,25990,40,3.884616636680275,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,,,
887,,,,25980,50,0.9881430464395836,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,,,
888,,,,25970,60,0.3256320637717435,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,,,
889,,,,25960,70,0.2311591232245416,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,,,
890,,,,26029,1,0.45968341254742456,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,,,
891,,,,26025,5,2.297232242058669,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,,,
892,,,,26020,10,4.579015966406044,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,,,
893,,,,26015,15,6.779563701191217,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,,,
894,,,,26010,20,8.780417616238129,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,,,
895,,,,26000,30,11.858528971345654,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,,,
896,,,,25990,40,5.558032930275123,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,,,
897,,,,25980,50,2.133990121860169,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,,,
898,,,,25970,60,0.8967026372196326,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,,,
899,,,,25960,70,0.6477239993860784,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,,,
900,,,,26029,1,0.7111340001952682,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,,,
901,,,,26025,5,3.5525482412505793,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,,,
902,,,,26020,10,7.076807828982234,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,,,
903,,,,26015,15,10.294199505615461,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,,,
904,,,,26010,20,12.603496334149126,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,,,
905,,,,26000,30,14.383994910407628,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,,,
906,,,,25990,40,2.487598879631397,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,,,
907,,,,25980,50,0.37401492790475,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,,,
908,,,,25970,60,0.07131175438957503,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,,,
909,,,,25960,70,0.038463342292575364,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,,,
910,,,,26029,1,0.603229744877825,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,,,
911,,,,26025,5,3.0113539369212967,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,,,
912,,,,26020,10,5.98704894616678,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,,,
913,,,,26015,15,8.75098629372646,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,,,
914,,,,26010,20,10.973653927698216,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,,,
915,,,,26000,30,13.508852937886063,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,,,
916,,,,25990,40,0.0,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,,,
917,,,,25980,50,0.0,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,,,
918,,,,25970,60,0.0,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,,,
919,,,,25960,70,0.21918320740128192,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,,,
920,,Category,Feature,26029,1,0.782029918131247,,,,,,,,,,,,,,,,,Subject,,,,,,,,,
921,,Category,Feature,26025,5,3.9084498873484583,,,,,,,,,,,,,,,,,Subject,,,,,,,,,
922,,Category,Feature,26020,10,7.786205612888672,,,,,,,,,,,,,,,,,Subject,,,,,,,,,
923,,Category,Feature,26015,15,11.241689298374391,,,,,,,,,,,,,,,,,Subject,,,,,,,,,
924,,Category,Feature,26010,20,13.438351526962563,,,,,,,,,,,,,,,,,Subject,,,,,,,,,
925,,Category,Feature,26000,30,14.590750668261933,,,,,,,,,,,,,,,,,Subject,,,,,,,,,
926,,Category,Feature,25990,40,0.0,,,,,,,,,,,,,,,,,Subject,,,,,,,,,
927,,Category,Feature,25980,50,0.0,,,,,,,,,,,,,,,,,Subject,,,,,,,,,
928,,Category,Feature,25970,60,0.0,,,,,,,,,,,,,,,,,Subject,,,,,,,,,
929,,Category,Feature,25960,70,0.0024817544916069336,,,,,,,,,,,,,,,,,Subject,,,,,,,,,
930,,,,26029,1,0.03135479177277455,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,,,
931,,,,26025,5,0.1529634307287891,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,,,
932,,,,26020,10,0.2993469561251542,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,,,
933,,,,26015,15,0.43714849603203504,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,,,
934,,,,26010,20,0.5685028334921817,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,,,
935,,,,26000,30,0.8132156080389328,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,,,
936,,,,25990,40,0.8688573874894183,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,,,
937,,,,25980,50,0.8845032770134555,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,,,
938,,,,25970,60,0.905722517653348,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,,,
939,,,,25960,70,0.9165426061043451,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,,,
940,,,,26029,1,0.5629157458826742,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,,,
941,,,,26025,5,2.803321141382238,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,,,
942,,,,26020,10,5.5739533883372445,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,,,
943,,,,26015,15,8.132509821034766,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,,,
944,,,,26010,20,10.243362952860354,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,,,
945,,,,26000,30,12.92251426170873,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,,,
946,,,,25990,40,4.633980045023282,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,,,
947,,,,25980,50,1.5213180897120127,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,,,
948,,,,25970,60,0.5300201474922225,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,,,
949,,,,25960,70,0.3627187494878298,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,,,
950,,,,26029,1,0.018355841093509687,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,,,
951,,,,26025,5,0.07236431503195691,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,,,
952,,,,26020,10,0.12859635846769188,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,,,
953,,,,26015,15,0.16413316901296257,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,,,
954,,,,26010,20,0.18998958569008628,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,,,
955,,,,26000,30,0.22841285495728061,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,,,
956,,,,25990,40,0.18895552671679994,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,,,
957,,,,25980,50,0.18192571719700404,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,,,
958,,,,25970,60,0.18548547347733668,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,,,
959,,,,25960,70,0.18851344917432075,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,,,
960,,,,26029,1,0.006617195459688244,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,,,
961,,,,26025,5,0.0328668075379445,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,,,
962,,,,26020,10,0.06369975657540097,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,,,
963,,,,26015,15,0.09326497303353472,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,,,
964,,,,26010,20,0.12272557280066415,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,,,
965,,,,26000,30,0.18063279996623954,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,,,
966,,,,25990,40,0.21474815783863183,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,,,
967,,,,25980,50,0.23508141577550848,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,,,
968,,,,25970,60,0.25256700188899794,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,,,
969,,,,25960,70,0.25966151790474395,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,,,
970,,,,26029,1,0.025519381052001407,Category,,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,
971,,,,26025,5,0.09470452047748633,Category,,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,
972,,,,26020,10,0.15260669539713104,Category,,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,
973,,,,26015,15,0.1863979906521891,Category,,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,
974,,,,26010,20,0.21196249803972844,Category,,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,
975,,,,26000,30,0.24578704160573553,Category,,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,
976,,,,25990,40,0.1987450501949249,Category,,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,
977,,,,25980,50,0.19662247644871175,Category,,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,
978,,,,25970,60,0.2084333359640103,Category,,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,
979,,,,25960,70,0.21309900492197006,Category,,,,,Feature,,,,,,,,,,,Subject,,,,,,,,,
980,,,,26029,1,0.007444056278348837,Category,,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,
981,,,,26025,5,0.03498258454144417,Category,,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,
982,,,,26020,10,0.06606465540171068,Category,,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,
983,,,,26015,15,0.09483530493547226,Category,,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,
984,,,,26010,20,0.12036600999656287,Category,,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,
985,,,,26000,30,0.16319151950049418,Category,,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,
986,,,,25990,40,0.1747422735249573,Category,,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,
987,,,,25980,50,0.18146398937401595,Category,,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,
988,,,,25970,60,0.19307602642218083,Category,,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,
989,,,,25960,70,0.19688411265073924,Category,,,,,,Feature,,,,,,,,,,Subject,,,,,,,,,
990,,,,26029,1,0.007444056278348837,Category,,,,,,,Feature,,,,,,,,,Subject,,,,,,,,,
991,,,,26025,5,0.03329427121410968,Category,,,,,,,Feature,,,,,,,,,Subject,,,,,,,,,
992,,,,26020,10,0.06231760248380151,Category,,,,,,,Feature,,,,,,,,,Subject,,,,,,,,,
