,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,lady belfield,lucilla,mr. stanley,sir john
62,Subject,,,24823,10,0.765159219509232,Category,,,,,,Feature,,,,,,,,,,,
63,Subject,,,24818,15,1.1372440474947254,Category,,,,,,Feature,,,,,,,,,,,
64,Subject,,,24813,20,1.5032103796359115,Category,,,,,,Feature,,,,,,,,,,,
65,Subject,,,24803,30,2.205784002935365,Category,,,,,,Feature,,,,,,,,,,,
66,Subject,,,24793,40,2.3478031804144424,Category,,,,,,Feature,,,,,,,,,,,
67,Subject,,,24783,50,2.314016319575306,Category,,,,,,Feature,,,,,,,,,,,
68,Subject,,,24773,60,2.2612312679956847,Category,,,,,,Feature,,,,,,,,,,,
69,Subject,,,24763,70,2.2473296307535366,Category,,,,,,Feature,,,,,,,,,,,
70,Subject,,,24832,1,0.12161190248857265,Category,,,,,,,Feature,,,,,,,,,,
71,Subject,,,24828,5,0.5931841332262581,Category,,,,,,,Feature,,,,,,,,,,
72,Subject,,,24823,10,1.1681684183877283,Category,,,,,,,Feature,,,,,,,,,,
73,Subject,,,24818,15,1.727348290043497,Category,,,,,,,Feature,,,,,,,,,,
74,Subject,,,24813,20,2.26875795010115,Category,,,,,,,Feature,,,,,,,,,,
75,Subject,,,24803,30,3.297675491651789,Category,,,,,,,Feature,,,,,,,,,,
76,Subject,,,24793,40,3.3315106095004543,Category,,,,,,,Feature,,,,,,,,,,
77,Subject,,,24783,50,3.13496340623676,Category,,,,,,,Feature,,,,,,,,,,
78,Subject,,,24773,60,2.895756971715892,Category,,,,,,,Feature,,,,,,,,,,
79,Subject,,,24763,70,2.809488903787877,Category,,,,,,,Feature,,,,,,,,,,
80,Subject,,,24832,1,0.069270375492749,Category,,,,,,,,Feature,,,,,,,,,
81,Subject,,,24828,5,0.3401191210635943,Category,,,,,,,,Feature,,,,,,,,,
82,Subject,,,24823,10,0.6738316498918338,Category,,,,,,,,Feature,,,,,,,,,
83,Subject,,,24818,15,1.0036537617134873,Category,,,,,,,,Feature,,,,,,,,,
84,Subject,,,24813,20,1.3275293146492948,Category,,,,,,,,Feature,,,,,,,,,
85,Subject,,,24803,30,1.957440963751673,Category,,,,,,,,Feature,,,,,,,,,
86,Subject,,,24793,40,2.1506974065242535,Category,,,,,,,,Feature,,,,,,,,,
87,Subject,,,24783,50,2.1799846178100295,Category,,,,,,,,Feature,,,,,,,,,
88,Subject,,,24773,60,2.1676818747465747,Category,,,,,,,,Feature,,,,,,,,,
89,Subject,,,24763,70,2.1614723524665913,Category,,,,,,,,Feature,,,,,,,,,
90,Subject,,,24832,1,0.06815639198412325,Category,,,,,,,,,Feature,,,,,,,,
91,Subject,,,24828,5,0.3363684090958867,Category,,,,,,,,,Feature,,,,,,,,
92,Subject,,,24823,10,0.6660003777937272,Category,,,,,,,,,Feature,,,,,,,,
93,Subject,,,24818,15,0.9913100438488616,Category,,,,,,,,,Feature,,,,,,,,
94,Subject,,,24813,20,1.312873576945275,Category,,,,,,,,,Feature,,,,,,,,
95,Subject,,,24803,30,1.9481807229159196,Category,,,,,,,,,Feature,,,,,,,,
96,Subject,,,24793,40,2.1803902181775623,Category,,,,,,,,,Feature,,,,,,,,
97,Subject,,,24783,50,2.221024019473319,Category,,,,,,,,,Feature,,,,,,,,
98,Subject,,,24773,60,2.20206812422981,Category,,,,,,,,,Feature,,,,,,,,
99,Subject,,,24763,70,2.1890095444936413,Category,,,,,,,,,Feature,,,,,,,,
100,Subject,,,24832,1,0.1652858768618273,Category,,,,,,,,,,Feature,,,,,,,
101,Subject,,,24828,5,0.803648401674191,Category,,,,,,,,,,Feature,,,,,,,
102,Subject,,,24823,10,1.5823628501716334,Category,,,,,,,,,,Feature,,,,,,,
103,Subject,,,24818,15,2.3346734052459404,Category,,,,,,,,,,Feature,,,,,,,
104,Subject,,,24813,20,3.0552781992009526,Category,,,,,,,,,,Feature,,,,,,,
105,Subject,,,24803,30,4.389196840980234,Category,,,,,,,,,,Feature,,,,,,,
106,Subject,,,24793,40,4.045829874050079,Category,,,,,,,,,,Feature,,,,,,,
107,Subject,,,24783,50,3.528106097554007,Category,,,,,,,,,,Feature,,,,,,,
108,Subject,,,24773,60,3.134087257198969,Category,,,,,,,,,,Feature,,,,,,,
109,Subject,,,24763,70,3.001148815335443,Category,,,,,,,,,,Feature,,,,,,,
110,Subject,,,24832,1,0.45594216335764803,Category,,,,,,,,,,,Feature,,,,,,
111,Subject,,,24828,5,2.0959561756846714,Category,,,,,,,,,,,Feature,,,,,,
112,Subject,,,24823,10,4.031814930008973,Category,,,,,,,,,,,Feature,,,,,,
113,Subject,,,24818,15,5.680300371806909,Category,,,,,,,,,,,Feature,,,,,,
114,Subject,,,24813,20,6.930515878138353,Category,,,,,,,,,,,Feature,,,,,,
115,Subject,,,24803,30,8.682292433404296,Category,,,,,,,,,,,Feature,,,,,,
116,Subject,,,24793,40,4.982037814525839,Category,,,,,,,,,,,Feature,,,,,,
117,Subject,,,24783,50,3.573654404225932,Category,,,,,,,,,,,Feature,,,,,,
118,Subject,,,24773,60,2.8559062581705423,Category,,,,,,,,,,,Feature,,,,,,
119,Subject,,,24763,70,2.651015625072981,Category,,,,,,,,,,,Feature,,,,,,
120,Subject,,,64605,1,0.002570133596405595,,Feature,,,,,,,,,,,Category,,,,,
121,Subject,,,64601,5,0.01285088271498281,,Feature,,,,,,,,,,,Category,,,,,
122,Subject,,,64596,10,0.02512272832337897,,Feature,,,,,,,,,,,Category,,,,,
123,Subject,,,64591,15,0.037385068796683636,,Feature,,,,,,,,,,,Category,,,,,
124,Subject,,,64586,20,0.04964806824453468,,Feature,,,,,,,,,,,Category,,,,,
125,Subject,,,64576,30,0.07241494905586653,,Feature,,,,,,,,,,,Category,,,,,
126,Subject,,,64566,40,0.08661495719926685,,Feature,,,,,,,,,,,Category,,,,,
127,Subject,,,64556,50,0.09675321629627041,,Feature,,,,,,,,,,,Category,,,,,
128,Subject,,,64546,60,0.10690548175108291,,Feature,,,,,,,,,,,Category,,,,,
129,Subject,,,64536,70,0.11115376595760237,,Feature,,,,,,,,,,,Category,,,,,
130,Subject,,,24832,1,0.3092873234930421,,,Feature,,,,,,,,,,Category,,,,,
131,Subject,,,24828,5,1.5417686304730218,,,Feature,,,,,,,,,,Category,,,,,
132,Subject,,,24823,10,3.068004061830113,,,Feature,,,,,,,,,,Category,,,,,
133,Subject,,,24818,15,4.546781174713782,,,Feature,,,,,,,,,,Category,,,,,
134,Subject,,,24813,20,5.943557340623129,,,Feature,,,,,,,,,,Category,,,,,
135,Subject,,,24803,30,8.385053436597664,,,Feature,,,,,,,,,,Category,,,,,
136,Subject,,,24793,40,6.004874220579537,,,Feature,,,,,,,,,,Category,,,,,
137,Subject,,,24783,50,3.955677490868669,,,Feature,,,,,,,,,,Category,,,,,
138,Subject,,,24773,60,2.6519772567113336,,,Feature,,,,,,,,,,Category,,,,,
139,Subject,,,24763,70,2.2869119068117936,,,Feature,,,,,,,,,,Category,,,,,
140,Subject,,,24832,1,0.6803623971236696,,,,Feature,,,,,,,,,Category,,,,,
141,Subject,,,24828,5,3.365039906105984,,,,Feature,,,,,,,,,Category,,,,,
142,Subject,,,24823,10,6.667668913362997,,,,Feature,,,,,,,,,Category,,,,,
143,Subject,,,24818,15,9.591418975104109,,,,Feature,,,,,,,,,Category,,,,,
144,Subject,,,24813,20,11.63359061832389,,,,Feature,,,,,,,,,Category,,,,,
145,Subject,,,24803,30,13.616274567206714,,,,Feature,,,,,,,,,Category,,,,,
146,Subject,,,24793,40,3.80466802074803,,,,Feature,,,,,,,,,Category,,,,,
147,Subject,,,24783,50,1.3057326415991461,,,,Feature,,,,,,,,,Category,,,,,
148,Subject,,,24773,60,0.5281256781239678,,,,Feature,,,,,,,,,Category,,,,,
149,Subject,,,24763,70,0.3682211055474199,,,,Feature,,,,,,,,,Category,,,,,
150,Subject,,,24832,1,0.15378126390528704,,,,,Feature,,,,,,,,Category,,,,,
151,Subject,,,24828,5,0.7638701231284155,,,,,Feature,,,,,,,,Category,,,,,
152,Subject,,,24823,10,1.5189015426684012,,,,,Feature,,,,,,,,Category,,,,,
153,Subject,,,24818,15,2.2592429655064725,,,,,Feature,,,,,,,,Category,,,,,
154,Subject,,,24813,20,2.9815216382191796,,,,,Feature,,,,,,,,Category,,,,,
155,Subject,,,24803,30,4.3489022391834125,,,,,Feature,,,,,,,,Category,,,,,
156,Subject,,,24793,40,4.214372313046341,,,,,Feature,,,,,,,,Category,,,,,
157,Subject,,,24783,50,3.7471936131949053,,,,,Feature,,,,,,,,Category,,,,,
158,Subject,,,24773,60,3.2836098159905185,,,,,Feature,,,,,,,,Category,,,,,
159,Subject,,,24763,70,3.1028618815349307,,,,,Feature,,,,,,,,Category,,,,,
160,Subject,,,24832,1,0.8542430314329617,,,,,,Feature,,,,,,,Category,,,,,
161,Subject,,,24828,5,4.179179329346774,,,,,,Feature,,,,,,,Category,,,,,
162,Subject,,,24823,10,8.265701966318238,,,,,,Feature,,,,,,,Category,,,,,
163,Subject,,,24818,15,11.636518954806178,,,,,,Feature,,,,,,,Category,,,,,
164,Subject,,,24813,20,13.297167772310495,,,,,,Feature,,,,,,,Category,,,,,
165,Subject,,,24803,30,14.342508668558251,,,,,,Feature,,,,,,,Category,,,,,
166,Subject,,,24793,40,2.3238535991302234,,,,,,Feature,,,,,,,Category,,,,,
167,Subject,,,24783,50,0.6084744322848491,,,,,,Feature,,,,,,,Category,,,,,
168,Subject,,,24773,60,0.19323817600645665,,,,,,Feature,,,,,,,Category,,,,,
169,Subject,,,24763,70,0.1332264139700012,,,,,,Feature,,,,,,,Category,,,,,
170,Subject,,,24832,1,0.23480483789466255,,,,,,,Feature,,,,,,Category,,,,,
171,Subject,,,24828,5,1.1674536659914123,,,,,,,Feature,,,,,,Category,,,,,
172,Subject,,,24823,10,2.3198181951149928,,,,,,,Feature,,,,,,Category,,,,,
173,Subject,,,24818,15,3.44027169582432,,,,,,,Feature,,,,,,Category,,,,,
174,Subject,,,24813,20,4.5092474836654155,,,,,,,Feature,,,,,,Category,,,,,
175,Subject,,,24803,30,6.457107002226269,,,,,,,Feature,,,,,,Category,,,,,
176,Subject,,,24793,40,5.4627997026963,,,,,,,Feature,,,,,,Category,,,,,
177,Subject,,,24783,50,4.270968081593356,,,,,,,Feature,,,,,,Category,,,,,
178,Subject,,,24773,60,3.2880942349144098,,,,,,,Feature,,,,,,Category,,,,,
179,Subject,,,24763,70,2.954754095524385,,,,,,,Feature,,,,,,Category,,,,,
180,Subject,,,24832,1,0.3173033513551803,,,,,,,,Feature,,,,,Category,,,,,
181,Subject,,,24828,5,1.5789201080108604,,,,,,,,Feature,,,,,Category,,,,,
182,Subject,,,24823,10,3.1394714202123963,,,,,,,,Feature,,,,,Category,,,,,
183,Subject,,,24818,15,4.644612884359638,,,,,,,,Feature,,,,,Category,,,,,
184,Subject,,,24813,20,6.047275408826374,,,,,,,,Feature,,,,,Category,,,,,
