,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,baronet,bellamy,camilla,doctor,dr. marchmont,dr. orkborne,edgar,friend,gentleman,jacob,major cerwood,mandlebert,mary,melmond,miss margland,mr. dubster,mr. tyrold,mrs. arlbery,mrs. berlinton,mrs. mittin,mrs. tyrold,my dear,sir hugh,sir sedley
27,Subject,,,64556,50,1.0879081422252548,Category,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Subject,,,64546,60,1.1275472966177442,Category,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Subject,,,64536,70,1.142254121789776,Category,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Subject,,,64605,1,0.08948912967863754,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Subject,,,64601,5,0.41634830830191316,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Subject,,,64596,10,0.7964954037593791,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Subject,,,64591,15,1.1473040999141402,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Subject,,,64586,20,1.4726771596043577,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Subject,,,64576,30,2.0528826676943264,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Subject,,,64566,40,1.9111894758769123,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Subject,,,64556,50,1.8344408500957021,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Subject,,,64546,60,1.814368020338599,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Subject,,,64536,70,1.8138479367453864,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Subject,,,64605,1,0.014191242076911463,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Subject,,,64601,5,0.0700587328583084,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Subject,,,64596,10,0.13904238472223215,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Subject,,,64591,15,0.20670866379728942,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Subject,,,64586,20,0.273959475019169,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Subject,,,64576,30,0.40696244025635725,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Subject,,,64566,40,0.4899007860348868,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
