,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,captain,father,ladies,lord orville,ma'am,mr. branghton,mr. macartney,mr. smith,mrs. beaumont,mrs. mirvan,mrs. selwyn,orville,servant,sir clement
37,Subject,,,30246,50,2.940277342913285,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,
38,Subject,,,30236,60,2.5136615985936475,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,
39,Subject,,,30226,70,2.3989167794161417,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,
40,Subject,,,30295,1,0.038361757586270286,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,
41,Subject,,,30291,5,0.1903818078013812,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,
42,Subject,,,30286,10,0.3785542092217399,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,
43,Subject,,,30281,15,0.5632433471574139,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,
44,Subject,,,30276,20,0.7444274116495272,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,
45,Subject,,,30266,30,1.0948463872012484,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,
46,Subject,,,30256,40,1.2379240214452145,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,
47,Subject,,,30246,50,1.301594460450945,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,
48,Subject,,,30236,60,1.3542484389604383,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,
49,Subject,,,30226,70,1.369884467119707,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,
50,Subject,,,30295,1,0.45336908726481073,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,
51,Subject,,,30291,5,2.1524396884728083,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,
52,Subject,,,30286,10,4.118171484408621,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,
53,Subject,,,30281,15,5.7966714480733765,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,
54,Subject,,,30276,20,6.9638031237849125,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,
55,Subject,,,30266,30,8.247481251451905,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,
56,Subject,,,30256,40,3.781845927884842,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,
57,Subject,,,30246,50,2.7738454053058677,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,
58,Subject,,,30236,60,2.428328364914344,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,
59,Subject,,,30226,70,2.3359823922581504,Category,,,,,Feature,,,,,,,,,,,,,,,,,,,,,,
60,Subject,,,30295,1,0.08986044002099705,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,
61,Subject,,,30291,5,0.4439397206613511,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,
62,Subject,,,30286,10,0.8773504479857779,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,
63,Subject,,,30281,15,1.2974195642563568,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,
64,Subject,,,30276,20,1.7014404335054119,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,
65,Subject,,,30266,30,2.4548656067829966,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,
66,Subject,,,30256,40,2.4523693597123746,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,
67,Subject,,,30246,50,2.2886626672100574,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,
68,Subject,,,30236,60,2.1742557294091607,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,
69,Subject,,,30226,70,2.1331719356799996,Category,,,,,,Feature,,,,,,,,,,,,,,,,,,,,,
70,Subject,,,30295,1,0.09929044052694574,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,
71,Subject,,,30291,5,0.49351011657222493,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,
72,Subject,,,30286,10,0.9799235880300211,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,
73,Subject,,,30281,15,1.4559871183742554,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,
74,Subject,,,30276,20,1.9199914484189302,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,
75,Subject,,,30266,30,2.8108909198862326,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,
76,Subject,,,30256,40,2.8613829411788907,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,
77,Subject,,,30246,50,2.6814705431601187,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,
78,Subject,,,30236,60,2.4929156910798924,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,
79,Subject,,,30226,70,2.4186234056626494,Category,,,,,,,Feature,,,,,,,,,,,,,,,,,,,,
80,Subject,,,30295,1,0.09387451791478629,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,
81,Subject,,,30291,5,0.46536637759049054,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,
82,Subject,,,30286,10,0.9237273025866072,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,
83,Subject,,,30281,15,1.3717244985489687,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,
84,Subject,,,30276,20,1.807784891738339,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,
85,Subject,,,30266,30,2.625589525509349,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,
86,Subject,,,30256,40,2.637851198617373,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,
87,Subject,,,30246,50,2.4569224218622647,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,
88,Subject,,,30236,60,2.2916651474555567,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,
89,Subject,,,30226,70,2.225534710021721,Category,,,,,,,,Feature,,,,,,,,,,,,,,,,,,,
90,Subject,,,30295,1,0.07750363566419721,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,
91,Subject,,,30291,5,0.3855271923979375,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,
92,Subject,,,30286,10,0.7668196368822249,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,
93,Subject,,,30281,15,1.143245342613105,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,
94,Subject,,,30276,20,1.5123792762334687,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,
95,Subject,,,30266,30,2.228402913173047,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,
96,Subject,,,30256,40,2.38095847518871,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,
97,Subject,,,30246,50,2.3339712419872107,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,
98,Subject,,,30236,60,2.255909675200645,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,
99,Subject,,,30226,70,2.2242058343853857,Category,,,,,,,,,Feature,,,,,,,,,,,,,,,,,,
100,Subject,,,30295,1,0.13605034784533973,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,
101,Subject,,,30291,5,0.6735155797443693,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,
102,Subject,,,30286,10,1.333281961151998,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,
103,Subject,,,30281,15,1.9751214303143754,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,
104,Subject,,,30276,20,2.5884911839181743,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,
105,Subject,,,30266,30,3.717414178733456,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,
106,Subject,,,30256,40,3.3973283892854265,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,
107,Subject,,,30246,50,2.917492320232132,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,
108,Subject,,,30236,60,2.5468468703924896,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,
109,Subject,,,30226,70,2.428530057164787,Category,,,,,,,,,,Feature,,,,,,,,,,,,,,,,,
110,Subject,,,30295,1,0.49667661727319135,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,
111,Subject,,,30291,5,2.330307103938732,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,
112,Subject,,,30286,10,4.436706949741929,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,
113,Subject,,,30281,15,6.187957227730298,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,
114,Subject,,,30276,20,7.317430942939286,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,
115,Subject,,,30266,30,8.5298303269058,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,
116,Subject,,,30256,40,3.7399462455988637,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,
117,Subject,,,30246,50,2.8039501701806695,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,
118,Subject,,,30236,60,2.457287229648675,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,
119,Subject,,,30226,70,2.352098058768884,Category,,,,,,,,,,,Feature,,,,,,,,,,,,,,,,
120,Subject,,,30295,1,0.39379626567138337,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,
121,Subject,,,30291,5,1.9652643545873938,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,
122,Subject,,,30286,10,3.909468858018468,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,
123,Subject,,,30281,15,5.777107875464906,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,
124,Subject,,,30276,20,7.482463203763689,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,
125,Subject,,,30266,30,10.23781916056777,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,
126,Subject,,,30256,40,5.968573696949371,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,
127,Subject,,,30246,50,3.2372940892976776,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,
128,Subject,,,30236,60,1.835672544723271,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,
129,Subject,,,30226,70,1.4872346638843457,,Feature,,,,,,,,,,,Category,,,,,,,,,,,,,,,
130,Subject,,,30295,1,0.6103150762839779,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,
131,Subject,,,30291,5,3.0491701301261704,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,
132,Subject,,,30286,10,6.071942835553963,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,
133,Subject,,,30281,15,8.90542192774117,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,
134,Subject,,,30276,20,11.211518210589022,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,
135,Subject,,,30266,30,13.8207155358669,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,
136,Subject,,,30256,40,3.9022449066983373,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,
137,Subject,,,30246,50,0.9917044312127355,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,
138,Subject,,,30236,60,0.26888946147253723,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,
139,Subject,,,30226,70,0.17381529727813155,,,Feature,,,,,,,,,,Category,,,,,,,,,,,,,,,
140,Subject,,,30295,1,0.9985048621506885,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,
141,Subject,,,30291,5,4.989756502346184,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,
142,Subject,,,30286,10,9.953908218082969,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,
143,Subject,,,30281,15,14.077037322910352,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,
144,Subject,,,30276,20,14.850279939902192,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,
145,Subject,,,30266,30,14.88541039856979,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,
146,Subject,,,30256,40,0.06960162578969416,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,
147,Subject,,,30246,50,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,
148,Subject,,,30236,60,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,
149,Subject,,,30226,70,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,,,,,,,,
150,Subject,,,30295,1,0.3202353533000763,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,
151,Subject,,,30291,5,1.5988430592520644,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,
152,Subject,,,30286,10,3.1849821802652722,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,
153,Subject,,,30281,15,4.732330917106182,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,
154,Subject,,,30276,20,6.1976011262813815,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,
155,Subject,,,30266,30,8.768268465815263,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,
156,Subject,,,30256,40,6.135052264793067,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,
157,Subject,,,30246,50,3.8615061718616155,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,
158,Subject,,,30236,60,2.460054560920959,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,
159,Subject,,,30226,70,2.0466941949781643,,,,,Feature,,,,,,,,Category,,,,,,,,,,,,,,,
160,Subject,,,30295,1,0.7825379966488073,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,
161,Subject,,,30291,5,3.911642007533549,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,
162,Subject,,,30286,10,7.793953744130168,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,
163,Subject,,,30281,15,11.32249584609438,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,
164,Subject,,,30276,20,13.628197450948234,,,,,,Feature,,,,,,,Category,,,,,,,,,,,,,,,
