,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,colonel brandon,edward,elinor,lucy,mrs. dashwood,mrs. jennings,sir john
279,,,,21509,70,0.3537713182451391,Category,,,,Feature,,,,,,,,,Subject,,,,,,,
280,,,,21578,1,0.11523976209503445,Category,,,,,Feature,,,,,,,,Subject,,,,,,,
281,,,,21574,5,0.529041875401647,Category,,,,,Feature,,,,,,,,Subject,,,,,,,
282,,,,21569,10,1.0033720777393946,Category,,,,,Feature,,,,,,,,Subject,,,,,,,
283,,,,21564,15,1.427176321243478,Category,,,,,Feature,,,,,,,,Subject,,,,,,,
284,,,,21559,20,1.8056032718612993,Category,,,,,Feature,,,,,,,,Subject,,,,,,,
285,,,,21549,30,2.49484962820443,Category,,,,,Feature,,,,,,,,Subject,,,,,,,
286,,,,21539,40,2.384648340232043,Category,,,,,Feature,,,,,,,,Subject,,,,,,,
287,,,,21529,50,2.3521600834627994,Category,,,,,Feature,,,,,,,,Subject,,,,,,,
288,,,,21519,60,2.3218190602952657,Category,,,,,Feature,,,,,,,,Subject,,,,,,,
289,,,,21509,70,2.3071923941725583,Category,,,,,Feature,,,,,,,,Subject,,,,,,,
290,,,,21578,1,0.011602355522919843,Category,,,,,,Feature,,,,,,,Subject,,,,,,,
291,,,,21574,5,0.05800613606391032,Category,,,,,,Feature,,,,,,,Subject,,,,,,,
292,,,,21569,10,0.11599803017349361,Category,,,,,,Feature,,,,,,,Subject,,,,,,,
293,,,,21564,15,0.1734079453738134,Category,,,,,,Feature,,,,,,,Subject,,,,,,,
294,,,,21559,20,0.23042730813246762,Category,,,,,,Feature,,,,,,,Subject,,,,,,,
295,,,,21549,30,0.3444112793355703,Category,,,,,,Feature,,,,,,,Subject,,,,,,,
296,,,,21539,40,0.42535144790281004,Category,,,,,,Feature,,,,,,,Subject,,,,,,,
297,,,,21529,50,0.47245541101129346,Category,,,,,,Feature,,,,,,,Subject,,,,,,,
298,,,,21519,60,0.5023791612380173,Category,,,,,,Feature,,,,,,,Subject,,,,,,,
299,,,,21509,70,0.5124025762872613,Category,,,,,,Feature,,,,,,,Subject,,,,,,,
300,,,,21578,1,0.014314902304568056,Category,,,,,,,Feature,,,,,,Subject,,,,,,,
301,,,,21574,5,0.07059846194851666,Category,,,,,,,Feature,,,,,,Subject,,,,,,,
302,,,,21569,10,0.13917761876979637,Category,,,,,,,Feature,,,,,,Subject,,,,,,,
303,,,,21564,15,0.2056935656121188,Category,,,,,,,Feature,,,,,,Subject,,,,,,,
304,,,,21559,20,0.2714198570178491,Category,,,,,,,Feature,,,,,,Subject,,,,,,,
305,,,,21549,30,0.40272019218248356,Category,,,,,,,Feature,,,,,,Subject,,,,,,,
306,,,,21539,40,0.4877794705918613,Category,,,,,,,Feature,,,,,,Subject,,,,,,,
307,,,,21529,50,0.546272189776691,Category,,,,,,,Feature,,,,,,Subject,,,,,,,
308,,,,21519,60,0.5965865703315112,Category,,,,,,,Feature,,,,,,Subject,,,,,,,
309,,,,21509,70,0.6152721695438921,Category,,,,,,,Feature,,,,,,Subject,,,,,,,
310,,,,21578,1,0.2252202037914691,Category,,,,,,,,Feature,,,,,Subject,,,,,,,
311,,,,21574,5,1.0111338428027523,Category,,,,,,,,Feature,,,,,Subject,,,,,,,
312,,,,21569,10,1.8631176545964259,Category,,,,,,,,Feature,,,,,Subject,,,,,,,
313,,,,21564,15,2.5498712168406854,Category,,,,,,,,Feature,,,,,Subject,,,,,,,
314,,,,21559,20,3.0686377773861193,Category,,,,,,,,Feature,,,,,Subject,,,,,,,
315,,,,21549,30,3.849669977888134,Category,,,,,,,,Feature,,,,,Subject,,,,,,,
316,,,,21539,40,2.6974654761251546,Category,,,,,,,,Feature,,,,,Subject,,,,,,,
317,,,,21529,50,2.452318849988953,Category,,,,,,,,Feature,,,,,Subject,,,,,,,
318,,,,21519,60,2.377991006679384,Category,,,,,,,,Feature,,,,,Subject,,,,,,,
319,,,,21509,70,2.36592801639224,Category,,,,,,,,Feature,,,,,Subject,,,,,,,
320,,,,21578,1,0.011140324720992831,Category,,,,,,,,,Feature,,,,Subject,,,,,,,
321,,,,21574,5,0.055500767962855406,Category,,,,,,,,,Feature,,,,Subject,,,,,,,
322,,,,21569,10,0.10876067337675893,Category,,,,,,,,,Feature,,,,Subject,,,,,,,
323,,,,21564,15,0.1586041821437153,Category,,,,,,,,,Feature,,,,Subject,,,,,,,
324,,,,21559,20,0.20674983241872014,Category,,,,,,,,,Feature,,,,Subject,,,,,,,
325,,,,21549,30,0.29794069005168144,Category,,,,,,,,,Feature,,,,Subject,,,,,,,
326,,,,21539,40,0.34649031776533057,Category,,,,,,,,,Feature,,,,Subject,,,,,,,
327,,,,21529,50,0.3793204627538888,Category,,,,,,,,,Feature,,,,Subject,,,,,,,
328,,,,21519,60,0.4088328303336061,Category,,,,,,,,,Feature,,,,Subject,,,,,,,
329,,,,21509,70,0.4197734858236295,Category,,,,,,,,,Feature,,,,Subject,,,,,,,
330,,,,21578,1,0.021577414683296464,Category,,,,,,,,,,Feature,,,Subject,,,,,,,
331,,,,21574,5,0.10698211071872758,Category,,,,,,,,,,Feature,,,Subject,,,,,,,
332,,,,21569,10,0.20927307082523855,Category,,,,,,,,,,Feature,,,Subject,,,,,,,
333,,,,21564,15,0.305123205771946,Category,,,,,,,,,,Feature,,,Subject,,,,,,,
334,,,,21559,20,0.39526348901712227,Category,,,,,,,,,,Feature,,,Subject,,,,,,,
335,,,,21549,30,0.5646455255755185,Category,,,,,,,,,,Feature,,,Subject,,,,,,,
336,,,,21539,40,0.6369241391917307,Category,,,,,,,,,,Feature,,,Subject,,,,,,,
337,,,,21529,50,0.6908574234389346,Category,,,,,,,,,,Feature,,,Subject,,,,,,,
338,,,,21519,60,0.7425057316158719,Category,,,,,,,,,,Feature,,,Subject,,,,,,,
339,,,,21509,70,0.7620327218761939,Category,,,,,,,,,,Feature,,,Subject,,,,,,,
340,,,,21578,1,0.1232083571517354,Category,,,,,,,,,,,Feature,,Subject,,,,,,,
341,,,,21574,5,0.5636544163102014,Category,,,,,,,,,,,Feature,,Subject,,,,,,,
342,,,,21569,10,1.0626691433615993,Category,,,,,,,,,,,Feature,,Subject,,,,,,,
343,,,,21564,15,1.5018274069452435,Category,,,,,,,,,,,Feature,,Subject,,,,,,,
344,,,,21559,20,1.8906200799795971,Category,,,,,,,,,,,Feature,,Subject,,,,,,,
345,,,,21549,30,2.601653360793775,Category,,,,,,,,,,,Feature,,Subject,,,,,,,
346,,,,21539,40,2.453959545339662,Category,,,,,,,,,,,Feature,,Subject,,,,,,,
347,,,,21529,50,2.4029210171025377,Category,,,,,,,,,,,Feature,,Subject,,,,,,,
348,,,,21519,60,2.3582143110034446,Category,,,,,,,,,,,Feature,,Subject,,,,,,,
349,,,,21509,70,2.3366843346932655,Category,,,,,,,,,,,Feature,,Subject,,,,,,,
350,,,,21578,1,0.37255387178474153,,Feature,,,,,,,,,,,Category,Subject,,,,,,,
351,,,,21574,5,1.8571501928952248,,Feature,,,,,,,,,,,Category,Subject,,,,,,,
352,,,,21569,10,3.693469405789378,,Feature,,,,,,,,,,,Category,Subject,,,,,,,
353,,,,21564,15,5.45865476460773,,Feature,,,,,,,,,,,Category,Subject,,,,,,,
354,,,,21559,20,7.081169503208351,,Feature,,,,,,,,,,,Category,Subject,,,,,,,
355,,,,21549,30,9.753521210126046,,Feature,,,,,,,,,,,Category,Subject,,,,,,,
356,,,,21539,40,6.039568097773146,,Feature,,,,,,,,,,,Category,Subject,,,,,,,
357,,,,21529,50,3.5028332855396784,,Feature,,,,,,,,,,,Category,Subject,,,,,,,
358,,,,21519,60,2.077293181378598,,Feature,,,,,,,,,,,Category,Subject,,,,,,,
359,,,,21509,70,1.685314132872499,,Feature,,,,,,,,,,,Category,Subject,,,,,,,
360,,,,21578,1,0.649232708804356,,,Feature,,,,,,,,,,Category,Subject,,,,,,,
361,,,,21574,5,3.2455842714852325,,,Feature,,,,,,,,,,Category,Subject,,,,,,,
362,,,,21569,10,6.461837665935975,,,Feature,,,,,,,,,,Category,Subject,,,,,,,
363,,,,21564,15,9.422377792804557,,,Feature,,,,,,,,,,Category,Subject,,,,,,,
364,,,,21559,20,11.68014060767428,,,Feature,,,,,,,,,,Category,Subject,,,,,,,
365,,,,21549,30,13.833915066563586,,,Feature,,,,,,,,,,Category,Subject,,,,,,,
366,,,,21539,40,3.152453831763466,,,Feature,,,,,,,,,,Category,Subject,,,,,,,
367,,,,21529,50,0.6325232880098796,,,Feature,,,,,,,,,,Category,Subject,,,,,,,
368,,,,21519,60,0.1471192277064991,,,Feature,,,,,,,,,,Category,Subject,,,,,,,
369,,,,21509,70,0.08022938259074422,,,Feature,,,,,,,,,,Category,Subject,,,,,,,
370,,,,21578,1,0.9977976021531187,,,,Feature,,,,,,,,,Category,Subject,,,,,,,
371,,,,21574,5,4.985836546208018,,,,Feature,,,,,,,,,Category,Subject,,,,,,,
372,,,,21569,10,9.934190099634243,,,,Feature,,,,,,,,,Category,Subject,,,,,,,
373,,,,21564,15,13.791528866118906,,,,Feature,,,,,,,,,Category,Subject,,,,,,,
374,,,,21559,20,14.373088776457639,,,,Feature,,,,,,,,,Category,Subject,,,,,,,
375,,,,21549,30,14.395333300897459,,,,Feature,,,,,,,,,Category,Subject,,,,,,,
376,,,,21539,40,0.09115170341545219,,,,Feature,,,,,,,,,Category,Subject,,,,,,,
377,,,,21529,50,0.0,,,,Feature,,,,,,,,,Category,Subject,,,,,,,
378,,,,21519,60,0.0,,,,Feature,,,,,,,,,Category,Subject,,,,,,,
379,,,,21509,70,0.0,,,,Feature,,,,,,,,,Category,Subject,,,,,,,
380,,,,21578,1,0.3008092345001453,,,,,Feature,,,,,,,,Category,Subject,,,,,,,
381,,,,21574,5,1.499912990027513,,,,,Feature,,,,,,,,Category,Subject,,,,,,,
382,,,,21569,10,2.9850715378067374,,,,,Feature,,,,,,,,Category,Subject,,,,,,,
383,,,,21564,15,4.42460269474047,,,,,Feature,,,,,,,,Category,Subject,,,,,,,
384,,,,21559,20,5.780954710535097,,,,,Feature,,,,,,,,Category,Subject,,,,,,,
385,,,,21549,30,8.150988177504043,,,,,Feature,,,,,,,,Category,Subject,,,,,,,
386,,,,21539,40,5.94742824532465,,,,,Feature,,,,,,,,Category,Subject,,,,,,,
387,,,,21529,50,4.010836229358873,,,,,Feature,,,,,,,,Category,Subject,,,,,,,
388,,,,21519,60,2.679529221344968,,,,,Feature,,,,,,,,Category,Subject,,,,,,,
389,,,,21509,70,2.285347246807395,,,,,Feature,,,,,,,,Category,Subject,,,,,,,
390,,,,21578,1,0.7368170208426319,,,,,,Feature,,,,,,,Category,Subject,,,,,,,
391,,,,21574,5,3.6832925414218955,,,,,,Feature,,,,,,,Category,Subject,,,,,,,
392,,,,21569,10,7.336387654558975,,,,,,Feature,,,,,,,Category,Subject,,,,,,,
393,,,,21564,15,10.627014663378768,,,,,,Feature,,,,,,,Category,Subject,,,,,,,
394,,,,21559,20,12.841141775792956,,,,,,Feature,,,,,,,Category,Subject,,,,,,,
395,,,,21549,30,14.277406903684996,,,,,,Feature,,,,,,,Category,Subject,,,,,,,
396,,,,21539,40,0.0,,,,,,Feature,,,,,,,Category,Subject,,,,,,,
397,,,,21529,50,0.0,,,,,,Feature,,,,,,,Category,Subject,,,,,,,
398,,,,21519,60,0.0,,,,,,Feature,,,,,,,Category,Subject,,,,,,,
399,,,,21509,70,0.005889657182910226,,,,,,Feature,,,,,,,Category,Subject,,,,,,,
400,,,,21578,1,0.4455281359408906,,,,,,,Feature,,,,,,Category,Subject,,,,,,,
401,,,,21574,5,2.2230954869454935,,,,,,,Feature,,,,,,Category,Subject,,,,,,,
402,,,,21569,10,4.425601208404959,,,,,,,Feature,,,,,,Category,Subject,,,,,,,
403,,,,21564,15,6.519021917520446,,,,,,,Feature,,,,,,Category,Subject,,,,,,,
404,,,,21559,20,8.384467385004621,,,,,,,Feature,,,,,,Category,Subject,,,,,,,
405,,,,21549,30,11.16435230712155,,,,,,,Feature,,,,,,Category,Subject,,,,,,,
406,,,,21539,40,5.648985214652881,,,,,,,Feature,,,,,,Category,Subject,,,,,,,
407,,,,21529,50,2.7086935774078547,,,,,,,Feature,,,,,,Category,Subject,,,,,,,
408,,,,21519,60,1.3875693654500687,,,,,,,Feature,,,,,,Category,Subject,,,,,,,
409,,,,21509,70,1.0846537926019664,,,,,,,Feature,,,,,,Category,Subject,,,,,,,
410,,,,21578,1,0.5803515495969471,,,,,,,,Feature,,,,,Category,Subject,,,,,,,
411,,,,21574,5,2.9000902826588444,,,,,,,,Feature,,,,,Category,Subject,,,,,,,
412,,,,21569,10,5.768948746497444,,,,,,,,Feature,,,,,Category,Subject,,,,,,,
413,,,,21564,15,8.428164213939995,,,,,,,,Feature,,,,,Category,Subject,,,,,,,
414,,,,21559,20,10.592163861564766,,,,,,,,Feature,,,,,Category,Subject,,,,,,,
415,,,,21549,30,13.120469412393467,,,,,,,,Feature,,,,,Category,Subject,,,,,,,
416,,,,21539,40,4.163301643312365,,,,,,,,Feature,,,,,Category,Subject,,,,,,,
417,,,,21529,50,1.2581487818003907,,,,,,,,Feature,,,,,Category,Subject,,,,,,,
418,,,,21519,60,0.36572351992986396,,,,,,,,Feature,,,,,Category,Subject,,,,,,,
419,,,,21509,70,0.2144070774449436,,,,,,,,Feature,,,,,Category,Subject,,,,,,,
420,,,,21578,1,0.4614880620659364,,,,,,,,,Feature,,,,Category,Subject,,,,,,,
421,,,,21574,5,2.30255345187203,,,,,,,,,Feature,,,,Category,Subject,,,,,,,
422,,,,21569,10,4.573786151995147,,,,,,,,,Feature,,,,Category,Subject,,,,,,,
423,,,,21564,15,6.710477980316735,,,,,,,,,Feature,,,,Category,Subject,,,,,,,
424,,,,21559,20,8.591369051420282,,,,,,,,,Feature,,,,Category,Subject,,,,,,,
425,,,,21549,30,11.36494001181261,,,,,,,,,Feature,,,,Category,Subject,,,,,,,
426,,,,21539,40,5.497385189897236,,,,,,,,,Feature,,,,Category,Subject,,,,,,,
427,,,,21529,50,2.5464391514429865,,,,,,,,,Feature,,,,Category,Subject,,,,,,,
428,,,,21519,60,1.3430980795414762,,,,,,,,,Feature,,,,Category,Subject,,,,,,,
429,,,,21509,70,1.0626506898403,,,,,,,,,Feature,,,,Category,Subject,,,,,,,
430,,,,21578,1,0.4296235189783745,,,,,,,,,,Feature,,,Category,Subject,,,,,,,
431,,,,21574,5,2.146649117987829,,,,,,,,,,Feature,,,Category,Subject,,,,,,,
432,,,,21569,10,4.278591671005858,,,,,,,,,,Feature,,,Category,Subject,,,,,,,
433,,,,21564,15,6.3323593972894425,,,,,,,,,,Feature,,,Category,Subject,,,,,,,
434,,,,21559,20,8.220773254566756,,,,,,,,,,Feature,,,Category,Subject,,,,,,,
435,,,,21549,30,11.169209178596992,,,,,,,,,,Feature,,,Category,Subject,,,,,,,
436,,,,21539,40,5.762070768103653,,,,,,,,,,Feature,,,Category,Subject,,,,,,,
437,,,,21529,50,2.5664417925989778,,,,,,,,,,Feature,,,Category,Subject,,,,,,,
438,,,,21519,60,1.1264371015158627,,,,,,,,,,Feature,,,Category,Subject,,,,,,,
439,,,,21509,70,0.7986243560066982,,,,,,,,,,Feature,,,Category,Subject,,,,,,,
440,,,,21578,1,0.6736440159548401,,,,,,,,,,,Feature,,Category,Subject,,,,,,,
441,,,,21574,5,3.3677036089269046,,,,,,,,,,,Feature,,Category,Subject,,,,,,,
442,,,,21569,10,6.703262397464937,,,,,,,,,,,Feature,,Category,Subject,,,,,,,
443,,,,21564,15,9.744735292110128,,,,,,,,,,,Feature,,Category,Subject,,,,,,,
444,,,,21559,20,12.040448044642877,,,,,,,,,,,Feature,,Category,Subject,,,,,,,
445,,,,21549,30,14.02226319314986,,,,,,,,,,,Feature,,Category,Subject,,,,,,,
446,,,,21539,40,2.792828453542729,,,,,,,,,,,Feature,,Category,Subject,,,,,,,
447,,,,21529,50,0.4752737750166491,,,,,,,,,,,Feature,,Category,Subject,,,,,,,
448,,,,21519,60,0.09490624252593854,,,,,,,,,,,Feature,,Category,Subject,,,,,,,
449,,,,21509,70,0.05079172265136847,,,,,,,,,,,Feature,,Category,Subject,,,,,,,
450,,,,21578,1,0.41874093515412675,,,,,,,,,,,,Feature,Category,Subject,,,,,,,
451,,,,21574,5,2.0914975695641624,,,,,,,,,,,,Feature,Category,Subject,,,,,,,
452,,,,21569,10,4.161273353111013,,,,,,,,,,,,Feature,Category,Subject,,,,,,,
453,,,,21564,15,6.149767793297416,,,,,,,,,,,,Feature,Category,Subject,,,,,,,
454,,,,21559,20,7.965935256304153,,,,,,,,,,,,Feature,Category,Subject,,,,,,,
455,,,,21549,30,10.78269756375659,,,,,,,,,,,,Feature,Category,Subject,,,,,,,
456,,,,21539,40,0.0,,,,,,,,,,,,Feature,Category,Subject,,,,,,,
457,,,,21529,50,0.0,,,,,,,,,,,,Feature,Category,Subject,,,,,,,
458,,,,21519,60,0.0,,,,,,,,,,,,Feature,Category,Subject,,,,,,,
459,,,,21509,70,1.0305761718513669,,,,,,,,,,,,Feature,Category,Subject,,,,,,,
460,,Category,Feature,21578,1,0.649232708804356,,,,,,,,,,,,,,,Subject,,,,,,
461,,Category,Feature,21574,5,3.2455842714852325,,,,,,,,,,,,,,,Subject,,,,,,
462,,Category,Feature,21569,10,6.461837665935975,,,,,,,,,,,,,,,Subject,,,,,,
463,,Category,Feature,21564,15,9.422377792804557,,,,,,,,,,,,,,,Subject,,,,,,
464,,Category,Feature,21559,20,11.68014060767428,,,,,,,,,,,,,,,Subject,,,,,,
465,,Category,Feature,21549,30,13.833915066563586,,,,,,,,,,,,,,,Subject,,,,,,
466,,Category,Feature,21539,40,3.152453831763466,,,,,,,,,,,,,,,Subject,,,,,,
467,,Category,Feature,21529,50,0.6325232880098796,,,,,,,,,,,,,,,Subject,,,,,,
468,,Category,Feature,21519,60,0.1471192277064991,,,,,,,,,,,,,,,Subject,,,,,,
469,,Category,Feature,21509,70,0.08022938259074422,,,,,,,,,,,,,,,Subject,,,,,,
470,,,,21578,1,0.006815055059825979,Category,Feature,,,,,,,,,,,,,Subject,,,,,,
471,,,,21574,5,0.03296342716429707,Category,Feature,,,,,,,,,,,,,Subject,,,,,,
472,,,,21569,10,0.06414771462906065,Category,Feature,,,,,,,,,,,,,Subject,,,,,,
473,,,,21564,15,0.09365527103194501,Category,Feature,,,,,,,,,,,,,Subject,,,,,,
474,,,,21559,20,0.122152584923725,Category,Feature,,,,,,,,,,,,,Subject,,,,,,
475,,,,21549,30,0.1791635951505523,Category,Feature,,,,,,,,,,,,,Subject,,,,,,
476,,,,21539,40,0.21523875875587384,Category,Feature,,,,,,,,,,,,,Subject,,,,,,
477,,,,21529,50,0.23929837191661313,Category,Feature,,,,,,,,,,,,,Subject,,,,,,
478,,,,21519,60,0.2538771736666256,Category,Feature,,,,,,,,,,,,,Subject,,,,,,
479,,,,21509,70,0.24966336669927117,Category,Feature,,,,,,,,,,,,,Subject,,,,,,
480,,,,21578,1,0.3008092345001453,Category,,Feature,,,,,,,,,,,,Subject,,,,,,
481,,,,21574,5,1.499912990027513,Category,,Feature,,,,,,,,,,,,Subject,,,,,,
482,,,,21569,10,2.9850715378067374,Category,,Feature,,,,,,,,,,,,Subject,,,,,,
483,,,,21564,15,4.42460269474047,Category,,Feature,,,,,,,,,,,,Subject,,,,,,
484,,,,21559,20,5.780954710535097,Category,,Feature,,,,,,,,,,,,Subject,,,,,,
485,,,,21549,30,8.150988177504043,Category,,Feature,,,,,,,,,,,,Subject,,,,,,
486,,,,21539,40,5.94742824532465,Category,,Feature,,,,,,,,,,,,Subject,,,,,,
487,,,,21529,50,4.010836229358873,Category,,Feature,,,,,,,,,,,,Subject,,,,,,
488,,,,21519,60,2.679529221344968,Category,,Feature,,,,,,,,,,,,Subject,,,,,,
489,,,,21509,70,2.285347246807395,Category,,Feature,,,,,,,,,,,,Subject,,,,,,
490,,,,21578,1,0.036767379249652794,Category,,,Feature,,,,,,,,,,,Subject,,,,,,
491,,,,21574,5,0.16586182516247353,Category,,,Feature,,,,,,,,,,,Subject,,,,,,
492,,,,21569,10,0.30336259697944307,Category,,,Feature,,,,,,,,,,,Subject,,,,,,
493,,,,21564,15,0.4124325023697911,Category,,,Feature,,,,,,,,,,,Subject,,,,,,
494,,,,21559,20,0.5077261121565952,Category,,,Feature,,,,,,,,,,,Subject,,,,,,
495,,,,21549,30,0.6808145855278307,Category,,,Feature,,,,,,,,,,,Subject,,,,,,
496,,,,21539,40,0.6489290320669476,Category,,,Feature,,,,,,,,,,,Subject,,,,,,
497,,,,21529,50,0.6513900027107293,Category,,,Feature,,,,,,,,,,,Subject,,,,,,
498,,,,21519,60,0.6576906573627673,Category,,,Feature,,,,,,,,,,,Subject,,,,,,
499,,,,21509,70,0.6583215553356586,Category,,,Feature,,,,,,,,,,,Subject,,,,,,
500,,,,21578,1,0.003132327675353429,Category,,,,Feature,,,,,,,,,,Subject,,,,,,
501,,,,21574,5,0.014448055455409762,Category,,,,Feature,,,,,,,,,,Subject,,,,,,
502,,,,21569,10,0.028033985989422777,Category,,,,Feature,,,,,,,,,,Subject,,,,,,
503,,,,21564,15,0.04162435193772429,Category,,,,Feature,,,,,,,,,,Subject,,,,,,
504,,,,21559,20,0.05521915414536971,Category,,,,Feature,,,,,,,,,,Subject,,,,,,
505,,,,21549,30,0.08242207069655064,Category,,,,Feature,,,,,,,,,,Subject,,,,,,
506,,,,21539,40,0.10267226861495463,Category,,,,Feature,,,,,,,,,,Subject,,,,,,
507,,,,21529,50,0.11860683468078115,Category,,,,Feature,,,,,,,,,,Subject,,,,,,
508,,,,21519,60,0.13193703168499152,Category,,,,Feature,,,,,,,,,,Subject,,,,,,
509,,,,21509,70,0.13506586309177457,Category,,,,Feature,,,,,,,,,,Subject,,,,,,
510,,,,21578,1,0.41874093515412675,Category,,,,,Feature,,,,,,,,,Subject,,,,,,
511,,,,21574,5,2.0914975695641624,Category,,,,,Feature,,,,,,,,,Subject,,,,,,
512,,,,21569,10,4.161273353111013,Category,,,,,Feature,,,,,,,,,Subject,,,,,,
513,,,,21564,15,6.149767793297416,Category,,,,,Feature,,,,,,,,,Subject,,,,,,
514,,,,21559,20,7.965935256304153,Category,,,,,Feature,,,,,,,,,Subject,,,,,,
515,,,,21549,30,10.78269756375659,Category,,,,,Feature,,,,,,,,,Subject,,,,,,
516,,,,21539,40,0.0,Category,,,,,Feature,,,,,,,,,Subject,,,,,,
517,,,,21529,50,0.0,Category,,,,,Feature,,,,,,,,,Subject,,,,,,
518,,,,21519,60,0.0,Category,,,,,Feature,,,,,,,,,Subject,,,,,,
519,,,,21509,70,1.0305761718513669,Category,,,,,Feature,,,,,,,,,Subject,,,,,,
520,,,,21578,1,0.005801142890062376,Category,,,,,,Feature,,,,,,,,Subject,,,,,,
521,,,,21574,5,0.02778792992342002,Category,,,,,,Feature,,,,,,,,Subject,,,,,,
522,,,,21569,10,0.053609920265004184,Category,,,,,,Feature,,,,,,,,Subject,,,,,,
523,,,,21564,15,0.07764636512735584,Category,,,,,,Feature,,,,,,,,Subject,,,,,,
524,,,,21559,20,0.10066810640627012,Category,,,,,,Feature,,,,,,,,Subject,,,,,,
525,,,,21549,30,0.1460291028420934,Category,,,,,,Feature,,,,,,,,Subject,,,,,,
526,,,,21539,40,0.16879876249296222,Category,,,,,,Feature,,,,,,,,Subject,,,,,,
527,,,,21529,50,0.18121897916396643,Category,,,,,,Feature,,,,,,,,Subject,,,,,,
528,,,,21519,60,0.18731975087247565,Category,,,,,,Feature,,,,,,,,Subject,,,,,,
529,,,,21509,70,0.18938847422247956,Category,,,,,,Feature,,,,,,,,Subject,,,,,,
530,,,,21578,1,0.007313385130209421,Category,,,,,,,Feature,,,,,,,Subject,,,,,,
531,,,,21574,5,0.0355009220168059,Category,,,,,,,Feature,,,,,,,Subject,,,,,,
532,,,,21569,10,0.07073131447548721,Category,,,,,,,Feature,,,,,,,Subject,,,,,,
533,,,,21564,15,0.10512041288483376,Category,,,,,,,Feature,,,,,,,Subject,,,,,,
534,,,,21559,20,0.13893042776402195,Category,,,,,,,Feature,,,,,,,Subject,,,,,,
535,,,,21549,30,0.20074337636977443,Category,,,,,,,Feature,,,,,,,Subject,,,,,,
536,,,,21539,40,0.23637611005921655,Category,,,,,,,Feature,,,,,,,Subject,,,,,,
537,,,,21529,50,0.2554939592459383,Category,,,,,,,Feature,,,,,,,Subject,,,,,,
538,,,,21519,60,0.27516324984701435,Category,,,,,,,Feature,,,,,,,Subject,,,,,,
539,,,,21509,70,0.2807189044746993,Category,,,,,,,Feature,,,,,,,Subject,,,,,,
540,,,,21578,1,0.005284441743944623,Category,,,,,,,,Feature,,,,,,Subject,,,,,,
541,,,,21574,5,0.026109858982865133,Category,,,,,,,,Feature,,,,,,Subject,,,,,,
542,,,,21569,10,0.05095125175113764,Category,,,,,,,,Feature,,,,,,Subject,,,,,,
543,,,,21564,15,0.07511114683607993,Category,,,,,,,,Feature,,,,,,Subject,,,,,,
544,,,,21559,20,0.09822669686732761,Category,,,,,,,,Feature,,,,,,Subject,,,,,,
545,,,,21549,30,0.14435356797597151,Category,,,,,,,,Feature,,,,,,Subject,,,,,,
546,,,,21539,40,0.17564033810917745,Category,,,,,,,,Feature,,,,,,Subject,,,,,,
547,,,,21529,50,0.1940583021803888,Category,,,,,,,,Feature,,,,,,Subject,,,,,,
548,,,,21519,60,0.20142131240367037,Category,,,,,,,,Feature,,,,,,Subject,,,,,,
549,,,,21509,70,0.20231354880038804,Category,,,,,,,,Feature,,,,,,Subject,,,,,,
550,,,,21578,1,0.004760293299173383,Category,,,,,,,,,Feature,,,,,Subject,,,,,,
551,,,,21574,5,0.023803398245107146,Category,,,,,,,,,Feature,,,,,Subject,,,,,,
552,,,,21569,10,0.047611620009304315,Category,,,,,,,,,Feature,,,,,Subject,,,,,,
553,,,,21564,15,0.07142465549105931,Category,,,,,,,,,Feature,,,,,Subject,,,,,,
554,,,,21559,20,0.09524249482444797,Category,,,,,,,,,Feature,,,,,Subject,,,,,,
555,,,,21549,30,0.14289254525792794,Category,,,,,,,,,Feature,,,,,Subject,,,,,,
556,,,,21539,40,0.17623850961739537,Category,,,,,,,,,Feature,,,,,Subject,,,,,,
557,,,,21529,50,0.1992079157424943,Category,,,,,,,,,Feature,,,,,Subject,,,,,,
558,,,,21519,60,0.21758240887445102,Category,,,,,,,,,Feature,,,,,Subject,,,,,,
559,,,,21509,70,0.22067676608049128,Category,,,,,,,,,Feature,,,,,Subject,,,,,,
560,,,,21578,1,0.010675105825835371,Category,,,,,,,,,,Feature,,,,Subject,,,,,,
561,,,,21574,5,0.05254962023634885,Category,,,,,,,,,,Feature,,,,Subject,,,,,,
562,,,,21569,10,0.10211147575860953,Category,,,,,,,,,,Feature,,,,Subject,,,,,,
563,,,,21564,15,0.14909332534798583,Category,,,,,,,,,,Feature,,,,Subject,,,,,,
564,,,,21559,20,0.19227908624189255,Category,,,,,,,,,,Feature,,,,Subject,,,,,,
565,,,,21549,30,0.2772233682221217,Category,,,,,,,,,,Feature,,,,Subject,,,,,,
566,,,,21539,40,0.3179124394184695,Category,,,,,,,,,,Feature,,,,Subject,,,,,,
567,,,,21529,50,0.33142838933445146,Category,,,,,,,,,,Feature,,,,Subject,,,,,,
568,,,,21519,60,0.331683344169813,Category,,,,,,,,,,Feature,,,,Subject,,,,,,
569,,,,21509,70,0.3254120163713245,Category,,,,,,,,,,Feature,,,,Subject,,,,,,
570,,,,21578,1,0.059825681876269646,Category,,,,,,,,,,,Feature,,,Subject,,,,,,
