,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,colonel brandon,edward,elinor,lucy,mrs. dashwood,mrs. jennings,sir john
55,Subject,,,21549,30,3.634755413797287,Category,,,,,Feature,,,,,,,,,,,,,,,
56,Subject,,,21539,40,2.6344520881620963,Category,,,,,Feature,,,,,,,,,,,,,,,
57,Subject,,,21529,50,2.367351183990939,Category,,,,,Feature,,,,,,,,,,,,,,,
58,Subject,,,21519,60,2.2673906520025064,Category,,,,,Feature,,,,,,,,,,,,,,,
59,Subject,,,21509,70,2.2562796928707245,Category,,,,,Feature,,,,,,,,,,,,,,,
60,Subject,,,21578,1,0.025633621103102182,Category,,,,,,Feature,,,,,,,,,,,,,,
61,Subject,,,21574,5,0.12769374879791826,Category,,,,,,Feature,,,,,,,,,,,,,,
62,Subject,,,21569,10,0.2511408378664419,Category,,,,,,Feature,,,,,,,,,,,,,,
63,Subject,,,21564,15,0.3696027034159524,Category,,,,,,Feature,,,,,,,,,,,,,,
64,Subject,,,21559,20,0.48475423815399615,Category,,,,,,Feature,,,,,,,,,,,,,,
65,Subject,,,21549,30,0.6978180368808092,Category,,,,,,Feature,,,,,,,,,,,,,,
66,Subject,,,21539,40,0.747568956022848,Category,,,,,,Feature,,,,,,,,,,,,,,
67,Subject,,,21529,50,0.7412901991207853,Category,,,,,,Feature,,,,,,,,,,,,,,
68,Subject,,,21519,60,0.7302907462942084,Category,,,,,,Feature,,,,,,,,,,,,,,
69,Subject,,,21509,70,0.7321599111807959,Category,,,,,,Feature,,,,,,,,,,,,,,
70,Subject,,,21578,1,0.034903603107502124,Category,,,,,,,Feature,,,,,,,,,,,,,
71,Subject,,,21574,5,0.17154228475685435,Category,,,,,,,Feature,,,,,,,,,,,,,
72,Subject,,,21569,10,0.33560802887310526,Category,,,,,,,Feature,,,,,,,,,,,,,
73,Subject,,,21564,15,0.4933594289804619,Category,,,,,,,Feature,,,,,,,,,,,,,
74,Subject,,,21559,20,0.6450397050536124,Category,,,,,,,Feature,,,,,,,,,,,,,
75,Subject,,,21549,30,0.934307622193876,Category,,,,,,,Feature,,,,,,,,,,,,,
76,Subject,,,21539,40,1.0050102956724294,Category,,,,,,,Feature,,,,,,,,,,,,,
77,Subject,,,21529,50,1.0287205223384739,Category,,,,,,,Feature,,,,,,,,,,,,,
78,Subject,,,21519,60,1.0483678542600783,Category,,,,,,,Feature,,,,,,,,,,,,,
79,Subject,,,21509,70,1.0607074394830693,Category,,,,,,,Feature,,,,,,,,,,,,,
80,Subject,,,21578,1,0.026825596480163826,Category,,,,,,,,Feature,,,,,,,,,,,,
81,Subject,,,21574,5,0.1335302816978043,Category,,,,,,,,Feature,,,,,,,,,,,,
82,Subject,,,21569,10,0.26274065195070717,Category,,,,,,,,Feature,,,,,,,,,,,,
83,Subject,,,21564,15,0.3881718959976315,Category,,,,,,,,Feature,,,,,,,,,,,,
84,Subject,,,21559,20,0.5094371804620154,Category,,,,,,,,Feature,,,,,,,,,,,,
85,Subject,,,21549,30,0.7423749504653123,Category,,,,,,,,Feature,,,,,,,,,,,,
86,Subject,,,21539,40,0.821114354079685,Category,,,,,,,,Feature,,,,,,,,,,,,
87,Subject,,,21529,50,0.8434702409153286,Category,,,,,,,,Feature,,,,,,,,,,,,
88,Subject,,,21519,60,0.8624767136005543,Category,,,,,,,,Feature,,,,,,,,,,,,
89,Subject,,,21509,70,0.8720941426739899,Category,,,,,,,,Feature,,,,,,,,,,,,
