,Subject,Category,Feature,k,$H(k)$
115,NARRATOR,Stimulus,Anger,26,10.09085891153951
116,NARRATOR,Stimulus,Anger,31,11.322850208898899
117,NARRATOR,Stimulus,Anticipation,1,0.5977518787867251
118,NARRATOR,Stimulus,Anticipation,3,1.792497273013754
119,NARRATOR,Stimulus,Anticipation,5,2.9864819927002735
120,NARRATOR,Stimulus,Anticipation,7,4.1788720665593075
121,NARRATOR,Stimulus,Anticipation,9,5.366478161381313
122,NARRATOR,Stimulus,Anticipation,16,9.301729747778909
123,NARRATOR,Stimulus,Anticipation,21,11.574614669131483
124,NARRATOR,Stimulus,Anticipation,26,13.158746738365622
125,NARRATOR,Stimulus,Anticipation,31,14.126746393211013
126,NARRATOR,Stimulus,Arousal,1,0.9969977660364282
127,NARRATOR,Stimulus,Arousal,3,2.98985324868402
128,NARRATOR,Stimulus,Arousal,5,4.980913670185991
129,NARRATOR,Stimulus,Arousal,7,6.969968382011878
130,NARRATOR,Stimulus,Arousal,9,8.952968878321828
131,NARRATOR,Stimulus,Arousal,16,14.660389722850953
132,NARRATOR,Stimulus,Arousal,21,15.211524467741675
133,NARRATOR,Stimulus,Arousal,26,15.23234218000961
134,NARRATOR,Stimulus,Arousal,31,15.233141326933643
135,NARRATOR,Stimulus,Disgust,1,0.3397934528217212
136,NARRATOR,Stimulus,Disgust,3,1.018232198732749
137,NARRATOR,Stimulus,Disgust,5,1.6949217452317242
138,NARRATOR,Stimulus,Disgust,7,2.3695933131401676
139,NARRATOR,Stimulus,Disgust,9,3.0410931931870944
140,NARRATOR,Stimulus,Disgust,16,5.317759965073264
141,NARRATOR,Stimulus,Disgust,21,6.827942163878727
142,NARRATOR,Stimulus,Disgust,26,8.20674404217156
143,NARRATOR,Stimulus,Disgust,31,9.430799157420786
144,NARRATOR,Stimulus,Dominance,1,0.7980675968062895
145,NARRATOR,Stimulus,Dominance,3,2.393722934105699
146,NARRATOR,Stimulus,Dominance,5,3.9883971156104314
147,NARRATOR,Stimulus,Dominance,7,5.581296838532216
148,NARRATOR,Stimulus,Dominance,9,7.168658351071592
149,NARRATOR,Stimulus,Dominance,16,12.176959527189705
150,NARRATOR,Stimulus,Dominance,21,14.19923105764477
151,NARRATOR,Stimulus,Dominance,26,14.958066076614633
152,NARRATOR,Stimulus,Dominance,31,15.16820081549004
153,NARRATOR,Stimulus,Fear,1,0.4753934406359146
154,NARRATOR,Stimulus,Fear,3,1.423838237103427
155,NARRATOR,Stimulus,Fear,5,2.3704767869837284
156,NARRATOR,Stimulus,Fear,7,3.314834162229979
157,NARRATOR,Stimulus,Fear,9,4.25405071801761
158,NARRATOR,Stimulus,Fear,16,7.375192067977145
159,NARRATOR,Stimulus,Fear,21,9.304375044235105
160,NARRATOR,Stimulus,Fear,26,10.882247594397372
161,NARRATOR,Stimulus,Fear,31,12.088449765867521
162,NARRATOR,Stimulus,Joy,1,0.5330956230111353
163,NARRATOR,Stimulus,Joy,3,1.5974200351444712
164,NARRATOR,Stimulus,Joy,5,2.6595082927971454
165,NARRATOR,Stimulus,Joy,7,3.718509720889901
166,NARRATOR,Stimulus,Joy,9,4.772727071553869
167,NARRATOR,Stimulus,Joy,16,8.262869823316754
168,NARRATOR,Stimulus,Joy,21,10.335090887388743
169,NARRATOR,Stimulus,Joy,26,11.936700022259402
170,NARRATOR,Stimulus,Joy,31,13.091241007672169
171,NARRATOR,Stimulus,Sadness,1,0.47245625961342286
172,NARRATOR,Stimulus,Sadness,3,1.415133078871873
173,NARRATOR,Stimulus,Sadness,5,2.3548180103922114
174,NARRATOR,Stimulus,Sadness,7,3.291586966728871
175,NARRATOR,Stimulus,Sadness,9,4.223310936742721
176,NARRATOR,Stimulus,Sadness,16,7.328089152683915
177,NARRATOR,Stimulus,Sadness,21,9.253968456088502
178,NARRATOR,Stimulus,Sadness,26,10.846144490864607
179,NARRATOR,Stimulus,Sadness,31,12.080044532700532
180,NARRATOR,Stimulus,Surprise,1,0.40883148464661645
181,NARRATOR,Stimulus,Surprise,3,1.2261246675572264
182,NARRATOR,Stimulus,Surprise,5,2.042598080406023
183,NARRATOR,Stimulus,Surprise,7,2.857434515143894
184,NARRATOR,Stimulus,Surprise,9,3.6690950763659274
185,NARRATOR,Stimulus,Surprise,16,6.428194742754126
186,NARRATOR,Stimulus,Surprise,21,8.234863780254551
187,NARRATOR,Stimulus,Surprise,26,9.819456660780789
188,NARRATOR,Stimulus,Surprise,31,11.14537146709156
189,NARRATOR,Stimulus,Trust,1,0.6263264241270822
190,NARRATOR,Stimulus,Trust,3,1.8778550238395217
191,NARRATOR,Stimulus,Trust,5,3.1277984732906994
192,NARRATOR,Stimulus,Trust,7,4.375166818854694
193,NARRATOR,Stimulus,Trust,9,5.616330341427061
194,NARRATOR,Stimulus,Trust,16,9.666997547988268
195,NARRATOR,Stimulus,Trust,21,11.875189390831292
196,NARRATOR,Stimulus,Trust,26,13.364869614829695
197,NARRATOR,Stimulus,Trust,31,14.251889596137904
198,NARRATOR,Stimulus,Valence,1,0.42552424601215816
199,NARRATOR,Stimulus,Valence,3,1.276009017088716
200,NARRATOR,Stimulus,Valence,5,2.1250666996797998
201,NARRATOR,Stimulus,Valence,7,2.9727238370342217
202,NARRATOR,Stimulus,Valence,9,3.8168686891303074
203,NARRATOR,Stimulus,Valence,16,6.6751129851668045
204,NARRATOR,Stimulus,Valence,21,8.539800823650639
205,NARRATOR,Stimulus,Valence,26,10.155315532005648
206,NARRATOR,Stimulus,Valence,31,11.488253703673255
207,READER,Other,Unknown,1,0.12812886031320064
208,READER,Other,Unknown,3,0.35882537875993037
209,READER,Other,Unknown,5,0.5814872516673908
210,READER,Other,Unknown,7,0.8008311570051682
211,READER,Other,Unknown,9,1.0160800323727788
212,READER,Other,Unknown,16,1.7351568976200369
213,READER,Other,Unknown,21,2.224763328684915
214,READER,Other,Unknown,26,2.698844189147538
215,READER,Other,Unknown,31,3.1543411684603817
216,READER,Response,Anger,1,0.018202620480746647
217,READER,Response,Anger,3,0.05216263378609124
218,READER,Response,Anger,5,0.08542973136900175
219,READER,Response,Anger,7,0.11847442834356421
220,READER,Response,Anger,9,0.15053947697665004
221,READER,Response,Anger,16,0.26010557622530345
222,READER,Response,Anger,21,0.3371622000816233
223,READER,Response,Anger,26,0.4131633197889548
224,READER,Response,Anger,31,0.4886448336335535
225,READER,Response,Anticipation,1,0.022178556233169895
226,READER,Response,Anticipation,3,0.06539123940286566
227,READER,Response,Anticipation,5,0.10787397420596596
228,READER,Response,Anticipation,7,0.14994525830964575
229,READER,Response,Anticipation,9,0.19146144013473132
230,READER,Response,Anticipation,16,0.33566760689182834
231,READER,Response,Anticipation,21,0.43624058998654547
232,READER,Response,Anticipation,26,0.5347073036646255
233,READER,Response,Anticipation,31,0.6304391943144771
234,READER,Response,Arousal,1,0.07055914933913394
235,READER,Response,Arousal,3,0.20242083083412726
236,READER,Response,Arousal,5,0.3309356705609974
237,READER,Response,Arousal,7,0.4551854092560711
238,READER,Response,Arousal,9,0.5757873739792838
239,READER,Response,Arousal,16,0.9743699310663767
240,READER,Response,Arousal,21,1.236157650194796
