,Subject,Category,Feature,k,$H(k)$
114,NARRATOR,Stimulus,Anger,21,4.600445260232959
115,NARRATOR,Stimulus,Anger,26,5.610674991869112
116,NARRATOR,Stimulus,Anger,31,6.5640994028029285
117,NARRATOR,Stimulus,Anticipation,1,0.38617604531209715
118,NARRATOR,Stimulus,Anticipation,3,1.1576355509061655
119,NARRATOR,Stimulus,Anticipation,5,1.9288891336151524
120,NARRATOR,Stimulus,Anticipation,7,2.6987485629851333
121,NARRATOR,Stimulus,Anticipation,9,3.464827378550756
122,NARRATOR,Stimulus,Anticipation,16,6.0791327211034245
123,NARRATOR,Stimulus,Anticipation,21,7.809685422867269
124,NARRATOR,Stimulus,Anticipation,26,9.348451490251577
125,NARRATOR,Stimulus,Anticipation,31,10.663340075908526
126,NARRATOR,Stimulus,Arousal,1,0.8117186307472063
127,NARRATOR,Stimulus,Arousal,3,2.429858670960874
128,NARRATOR,Stimulus,Arousal,5,4.045671204850858
129,NARRATOR,Stimulus,Arousal,7,5.659278026583993
130,NARRATOR,Stimulus,Arousal,9,7.2671176534983015
131,NARRATOR,Stimulus,Arousal,16,12.272510653924456
132,NARRATOR,Stimulus,Arousal,21,14.16532985951124
133,NARRATOR,Stimulus,Arousal,26,14.868252891551816
134,NARRATOR,Stimulus,Arousal,31,15.096143579532821
135,NARRATOR,Stimulus,Disgust,1,0.17865613484411427
136,NARRATOR,Stimulus,Disgust,3,0.535437633886405
137,NARRATOR,Stimulus,Disgust,5,0.8917981470987074
138,NARRATOR,Stimulus,Disgust,7,1.2475121851609225
139,NARRATOR,Stimulus,Disgust,9,1.6025310493070581
140,NARRATOR,Stimulus,Disgust,16,2.8321573085073273
141,NARRATOR,Stimulus,Disgust,21,3.692711796620958
142,NARRATOR,Stimulus,Disgust,26,4.5291020022783774
143,NARRATOR,Stimulus,Disgust,31,5.336396981618403
144,NARRATOR,Stimulus,Dominance,1,0.9476358983913632
145,NARRATOR,Stimulus,Dominance,3,2.8356881072085462
146,NARRATOR,Stimulus,Dominance,5,4.716033686010448
147,NARRATOR,Stimulus,Dominance,7,6.591044220320452
148,NARRATOR,Stimulus,Dominance,9,8.459154208508176
149,NARRATOR,Stimulus,Dominance,16,13.933096124735815
150,NARRATOR,Stimulus,Dominance,21,14.952638019723352
151,NARRATOR,Stimulus,Dominance,26,15.14225292050839
152,NARRATOR,Stimulus,Dominance,31,15.188553373025625
153,NARRATOR,Stimulus,Fear,1,0.255476059569882
154,NARRATOR,Stimulus,Fear,3,0.7655177788939237
155,NARRATOR,Stimulus,Fear,5,1.2746425630544367
156,NARRATOR,Stimulus,Fear,7,1.7823569000206667
157,NARRATOR,Stimulus,Fear,9,2.2877616866807258
158,NARRATOR,Stimulus,Fear,16,4.019261175493909
159,NARRATOR,Stimulus,Fear,21,5.2049783715433255
160,NARRATOR,Stimulus,Fear,26,6.330759393601466
161,NARRATOR,Stimulus,Fear,31,7.381133712919169
162,NARRATOR,Stimulus,Joy,1,0.3967126878792576
163,NARRATOR,Stimulus,Joy,3,1.1881617388919343
164,NARRATOR,Stimulus,Joy,5,1.97897975608084
165,NARRATOR,Stimulus,Joy,7,2.7684163463299707
166,NARRATOR,Stimulus,Joy,9,3.554565472953207
167,NARRATOR,Stimulus,Joy,16,6.222235256989897
168,NARRATOR,Stimulus,Joy,21,7.972456029979721
169,NARRATOR,Stimulus,Joy,26,9.516294532461997
170,NARRATOR,Stimulus,Joy,31,10.809292036838434
171,NARRATOR,Stimulus,Sadness,1,0.28564262138250474
172,NARRATOR,Stimulus,Sadness,3,0.8561193375871015
173,NARRATOR,Stimulus,Sadness,5,1.4260991205947262
174,NARRATOR,Stimulus,Sadness,7,1.9946567392969143
175,NARRATOR,Stimulus,Sadness,9,2.5613481812235497
176,NARRATOR,Stimulus,Sadness,16,4.50379736811444
177,NARRATOR,Stimulus,Sadness,21,5.825572603845561
178,NARRATOR,Stimulus,Sadness,26,7.059772005668521
179,NARRATOR,Stimulus,Sadness,31,8.199097231762165
180,NARRATOR,Stimulus,Surprise,1,0.2787302317378003
181,NARRATOR,Stimulus,Surprise,3,0.8360884858632853
182,NARRATOR,Stimulus,Surprise,5,1.3931803116427068
183,NARRATOR,Stimulus,Surprise,7,1.949214495655432
184,NARRATOR,Stimulus,Surprise,9,2.5039402297917666
185,NARRATOR,Stimulus,Surprise,16,4.414467360741815
186,NARRATOR,Stimulus,Surprise,21,5.720030495793405
187,NARRATOR,Stimulus,Surprise,26,6.957420578267177
188,NARRATOR,Stimulus,Surprise,31,8.112569861704664
189,NARRATOR,Stimulus,Trust,1,0.4036409088628572
190,NARRATOR,Stimulus,Trust,3,1.2093414391958959
191,NARRATOR,Stimulus,Trust,5,2.014125613276114
192,NARRATOR,Stimulus,Trust,7,2.8176235899047524
193,NARRATOR,Stimulus,Trust,9,3.617115068071861
194,NARRATOR,Stimulus,Trust,16,6.322859387472405
195,NARRATOR,Stimulus,Trust,21,8.095947846935449
196,NARRATOR,Stimulus,Trust,26,9.663124541212444
197,NARRATOR,Stimulus,Trust,31,10.990386699515692
198,NARRATOR,Stimulus,Valence,1,0.9898915765822986
199,NARRATOR,Stimulus,Valence,3,2.951261045471547
200,NARRATOR,Stimulus,Valence,5,4.901130048844604
201,NARRATOR,Stimulus,Valence,7,6.8446804298370205
202,NARRATOR,Stimulus,Valence,9,8.78016344810902
203,NARRATOR,Stimulus,Valence,16,14.346990239352838
204,NARRATOR,Stimulus,Valence,21,15.078766730547585
205,NARRATOR,Stimulus,Valence,26,15.177263528764936
206,NARRATOR,Stimulus,Valence,31,15.197224500063061
207,READER,Other,Unknown,1,0.13392652263528926
208,READER,Other,Unknown,3,0.38376403165434086
209,READER,Other,Unknown,5,0.6240206570365346
210,READER,Other,Unknown,7,0.8616356138039359
211,READER,Other,Unknown,9,1.0943920168624885
212,READER,Other,Unknown,16,1.8740111101920227
213,READER,Other,Unknown,21,2.40641991238286
214,READER,Other,Unknown,26,2.920175669543458
215,READER,Other,Unknown,31,3.413024804771829
216,READER,Response,Anger,1,0.014063027289388396
217,READER,Response,Anger,3,0.04116426679148894
218,READER,Response,Anger,5,0.06805515872141168
219,READER,Response,Anger,7,0.09455993431609502
220,READER,Response,Anger,9,0.1203982982119119
221,READER,Response,Anger,16,0.2093932077305179
222,READER,Response,Anger,21,0.271650937609913
223,READER,Response,Anger,26,0.3316185671452375
224,READER,Response,Anger,31,0.3907535700270869
225,READER,Response,Anticipation,1,0.031170974687572416
226,READER,Response,Anticipation,3,0.09209169354446897
227,READER,Response,Anticipation,5,0.1516701958991639
228,READER,Response,Anticipation,7,0.2095472062723749
229,READER,Response,Anticipation,9,0.2661984514852666
230,READER,Response,Anticipation,16,0.45828780266453306
231,READER,Response,Anticipation,21,0.5888359361216434
232,READER,Response,Anticipation,26,0.7140910328938422
233,READER,Response,Anticipation,31,0.8356740573206848
234,READER,Response,Arousal,1,0.10569508987691462
235,READER,Response,Arousal,3,0.2980107757045525
236,READER,Response,Arousal,5,0.4791525134736339
237,READER,Response,Arousal,7,0.6512105358235898
238,READER,Response,Arousal,9,0.8155015762288068
239,READER,Response,Arousal,16,1.3229986377210963
240,READER,Response,Arousal,21,1.6229374603269284
241,READER,Response,Arousal,26,1.8817692333741445
242,READER,Response,Arousal,31,2.117553368119823
243,READER,Response,Disgust,1,0.012519587399848894
244,READER,Response,Disgust,3,0.0367754998833572
245,READER,Response,Disgust,5,0.06094892460030075
246,READER,Response,Disgust,7,0.08482113616960878
247,READER,Response,Disgust,9,0.10845689907523878
248,READER,Response,Disgust,16,0.19115276623302635
249,READER,Response,Disgust,21,0.24978382943296665
250,READER,Response,Disgust,26,0.30696491646571034
251,READER,Response,Disgust,31,0.36362842071338214
252,READER,Response,Dominance,1,0.1528769272648367
253,READER,Response,Dominance,3,0.4225373852052735
254,READER,Response,Dominance,5,0.6665762607343136
255,READER,Response,Dominance,7,0.9000863251582422
256,READER,Response,Dominance,9,1.1222813684591975
257,READER,Response,Dominance,16,1.775782097244138
258,READER,Response,Dominance,21,2.145499658556959
259,READER,Response,Dominance,26,2.474276268679696
260,READER,Response,Dominance,31,2.7780178895471006
261,READER,Response,Fear,1,0.01829005458696002
262,READER,Response,Fear,3,0.05456555855563146
263,READER,Response,Fear,5,0.09082581323052731
264,READER,Response,Fear,7,0.12666166705851675
265,READER,Response,Fear,9,0.1619458753622108
266,READER,Response,Fear,16,0.2835986386351026
267,READER,Response,Fear,21,0.3686478504992628
268,READER,Response,Fear,26,0.45162048025933993
269,READER,Response,Fear,31,0.5327167682940737
270,READER,Response,Joy,1,0.0324813852596987
271,READER,Response,Joy,3,0.0950936706599808
272,READER,Response,Joy,5,0.15687519792795795
273,READER,Response,Joy,7,0.21772983139820387
274,READER,Response,Joy,9,0.2777031539377467
275,READER,Response,Joy,16,0.4832290769563858
276,READER,Response,Joy,21,0.6254507612585879
277,READER,Response,Joy,26,0.7632429755132331
278,READER,Response,Joy,31,0.8985367280572565
279,READER,Response,Sadness,1,0.019498572170204252
280,READER,Response,Sadness,3,0.0579788514426869
281,READER,Response,Sadness,5,0.09610456465437194
282,READER,Response,Sadness,7,0.13400655000007342
283,READER,Response,Sadness,9,0.1712977122898103
284,READER,Response,Sadness,16,0.29872229878113543
285,READER,Response,Sadness,21,0.38600685218885894
286,READER,Response,Sadness,26,0.47090618679801555
287,READER,Response,Sadness,31,0.5546822231805184
288,READER,Response,Surprise,1,0.019738602526954075
289,READER,Response,Surprise,3,0.058444529131211294
290,READER,Response,Surprise,5,0.09654597445271172
291,READER,Response,Surprise,7,0.13419273497707893
292,READER,Response,Surprise,9,0.17142378245338089
293,READER,Response,Surprise,16,0.3002120747666329
294,READER,Response,Surprise,21,0.3872593989164536
295,READER,Response,Surprise,26,0.47172715624988515
296,READER,Response,Surprise,31,0.5558684497778018
297,READER,Response,Trust,1,0.03442676951116805
298,READER,Response,Trust,3,0.1012138644939041
299,READER,Response,Trust,5,0.16672607396100128
300,READER,Response,Trust,7,0.23032423697513543
301,READER,Response,Trust,9,0.2930079530083742
302,READER,Response,Trust,16,0.5051203319240998
303,READER,Response,Trust,21,0.6496807882355653
304,READER,Response,Trust,26,0.7887520560167411
305,READER,Response,Trust,31,0.9236825833116563
306,READER,Response,Valence,1,0.171055788898809
307,READER,Response,Valence,3,0.46076171767739404
308,READER,Response,Valence,5,0.7220555854765064
309,READER,Response,Valence,7,0.9718492809206795
310,READER,Response,Valence,9,1.2105093188297222
311,READER,Response,Valence,16,1.8958626398577596
312,READER,Response,Valence,21,2.2785840907970867
313,READER,Response,Valence,26,2.618466531624999
314,READER,Response,Valence,31,2.9350501950148544
315,READER,Stimulus,Anger,1,0.2289990671288823
316,READER,Stimulus,Anger,3,0.6861105676080591
317,READER,Stimulus,Anger,5,1.1425984250974797
318,READER,Stimulus,Anger,7,1.5979792395917465
319,READER,Stimulus,Anger,9,2.051797909514341
320,READER,Stimulus,Anger,16,3.614407227451122
321,READER,Stimulus,Anger,21,4.687219579585955
322,READER,Stimulus,Anger,26,5.7125894803713555
323,READER,Stimulus,Anger,31,6.677529260355717
324,READER,Stimulus,Anticipation,1,0.39359846240925017
325,READER,Stimulus,Anticipation,3,1.1798544507817346
326,READER,Stimulus,Anticipation,5,1.9659086404605115
327,READER,Stimulus,Anticipation,7,2.750407274105716
328,READER,Stimulus,Anticipation,9,3.5314132502148015
329,READER,Stimulus,Anticipation,16,6.191255843873146
330,READER,Stimulus,Anticipation,21,7.93934868000203
331,READER,Stimulus,Anticipation,26,9.490353572951214
332,READER,Stimulus,Anticipation,31,10.808902692469523
333,READER,Stimulus,Arousal,1,0.8245384656334602
334,READER,Stimulus,Arousal,3,2.469719799234409
335,READER,Stimulus,Arousal,5,4.113208485321725
336,READER,Stimulus,Arousal,7,5.754362478266377
337,READER,Stimulus,Arousal,9,7.389244066020771
338,READER,Stimulus,Arousal,16,12.471915265198302
339,READER,Stimulus,Arousal,21,14.329933059915676
340,READER,Stimulus,Arousal,26,14.959592299578505
341,READER,Stimulus,Arousal,31,15.128581424433772
342,READER,Stimulus,Disgust,1,0.18125421459173058
343,READER,Stimulus,Disgust,3,0.5432567702200525
344,READER,Stimulus,Disgust,5,0.9047880466361212
345,READER,Stimulus,Disgust,7,1.2654773716837964
346,READER,Stimulus,Disgust,9,1.6254506572528842
347,READER,Stimulus,Disgust,16,2.872690899394607
348,READER,Stimulus,Disgust,21,3.7448582925343286
349,READER,Stimulus,Disgust,26,4.593765437643603
350,READER,Stimulus,Disgust,31,5.411594282494536
351,READER,Stimulus,Dominance,1,0.9582191727420353
352,READER,Stimulus,Dominance,3,2.8695494640007047
353,READER,Stimulus,Dominance,5,4.775161705590118
354,READER,Stimulus,Dominance,7,6.676059627110692
355,READER,Stimulus,Dominance,9,8.569995122027105
356,READER,Stimulus,Dominance,16,14.105031371673853
357,READER,Stimulus,Dominance,21,15.032495076147772
358,READER,Stimulus,Dominance,26,15.167228366745505
359,READER,Stimulus,Dominance,31,15.193798373533399
360,READER,Stimulus,Fear,1,0.25831645441145823
361,READER,Stimulus,Fear,3,0.7739441115162196
362,READER,Stimulus,Fear,5,1.2885577951822318
363,READER,Stimulus,Fear,7,1.801743373524463
364,READER,Stimulus,Fear,9,2.312584827497369
365,READER,Stimulus,Fear,16,4.062903217532494
366,READER,Stimulus,Fear,21,5.263726764874256
367,READER,Stimulus,Fear,26,6.404706280533991
368,READER,Stimulus,Fear,31,7.4677597836698215
369,READER,Stimulus,Joy,1,0.40177587838076184
370,READER,Stimulus,Joy,3,1.2038296685170724
371,READER,Stimulus,Joy,5,2.005205747117566
372,READER,Stimulus,Joy,7,2.805007338132791
373,READER,Stimulus,Joy,9,3.60141900652974
