,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,ann,henry,mary
41,Subject,,,4589,5,0.0923979355923257,Category,,,,Feature,,,,,,,,,,,
42,Subject,,,4584,10,0.18166328009012,Category,,,,Feature,,,,,,,,,,,
43,Subject,,,4579,15,0.26882951697347796,Category,,,,Feature,,,,,,,,,,,
44,Subject,,,4574,20,0.3558942147346154,Category,,,,Feature,,,,,,,,,,,
45,Subject,,,4564,30,0.5279587011340358,Category,,,,Feature,,,,,,,,,,,
46,Subject,,,4554,40,0.6253654829381002,Category,,,,Feature,,,,,,,,,,,
47,Subject,,,4544,50,0.6880496902903528,Category,,,,Feature,,,,,,,,,,,
48,Subject,,,4534,60,0.725200956532852,Category,,,,Feature,,,,,,,,,,,
49,Subject,,,4524,70,0.7402198688027057,Category,,,,Feature,,,,,,,,,,,
50,Subject,,,4593,1,0.20004897733104537,Category,,,,,Feature,,,,,,,,,,
51,Subject,,,4589,5,0.8346633845855222,Category,,,,,Feature,,,,,,,,,,
52,Subject,,,4584,10,1.434126591708567,Category,,,,,Feature,,,,,,,,,,
53,Subject,,,4579,15,1.8218145141151831,Category,,,,,Feature,,,,,,,,,,
54,Subject,,,4574,20,2.1099729642560927,Category,,,,,Feature,,,,,,,,,,
55,Subject,,,4564,30,2.573226272892968,Category,,,,,Feature,,,,,,,,,,
56,Subject,,,4554,40,1.9077671533818599,Category,,,,,Feature,,,,,,,,,,
57,Subject,,,4544,50,1.8287014484094875,Category,,,,,Feature,,,,,,,,,,
58,Subject,,,4534,60,1.7900730414501345,Category,,,,,Feature,,,,,,,,,,
59,Subject,,,4524,70,1.7880373582814353,Category,,,,,Feature,,,,,,,,,,
60,Subject,,,4593,1,0.03697646155975932,Category,,,,,,Feature,,,,,,,,,
61,Subject,,,4589,5,0.1768812248906659,Category,,,,,,Feature,,,,,,,,,
62,Subject,,,4584,10,0.3460198235959669,Category,,,,,,Feature,,,,,,,,,
63,Subject,,,4579,15,0.5142573506920282,Category,,,,,,Feature,,,,,,,,,
64,Subject,,,4574,20,0.6765195387462232,Category,,,,,,Feature,,,,,,,,,
65,Subject,,,4564,30,0.9915032746564441,Category,,,,,,Feature,,,,,,,,,
66,Subject,,,4554,40,1.1365952370328438,Category,,,,,,Feature,,,,,,,,,
67,Subject,,,4544,50,1.1826889815061588,Category,,,,,,Feature,,,,,,,,,
68,Subject,,,4534,60,1.1906972223503927,Category,,,,,,Feature,,,,,,,,,
69,Subject,,,4524,70,1.1839678882991533,Category,,,,,,Feature,,,,,,,,,
70,Subject,,,4593,1,0.058374492591080386,Category,,,,,,,Feature,,,,,,,,
71,Subject,,,4589,5,0.281240334119072,Category,,,,,,,Feature,,,,,,,,
