,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,annette,bertrand,blanche,dorothee,ludovico,madame cheron,madame montoni,signor,st. aubert,ugo
135,Subject,,,50890,30,14.498106853160968,,,Feature,,,,,,,,,,Category,,,,,,,,,,,
136,Subject,,,50880,40,3.8217733909380494,,,Feature,,,,,,,,,,Category,,,,,,,,,,,
137,Subject,,,50870,50,0.8796184401107705,,,Feature,,,,,,,,,,Category,,,,,,,,,,,
138,Subject,,,50860,60,0.2584048483405221,,,Feature,,,,,,,,,,Category,,,,,,,,,,,
139,Subject,,,50850,70,0.16197734807819775,,,Feature,,,,,,,,,,Category,,,,,,,,,,,
140,Subject,,,50919,1,0.9999583312068053,,,,Feature,,,,,,,,,Category,,,,,,,,,,,
141,Subject,,,50915,5,4.9961535112743976,,,,Feature,,,,,,,,,Category,,,,,,,,,,,
142,Subject,,,50910,10,9.97554430392152,,,,Feature,,,,,,,,,Category,,,,,,,,,,,
143,Subject,,,50905,15,14.44537164889762,,,,Feature,,,,,,,,,Category,,,,,,,,,,,
144,Subject,,,50900,20,15.58584532365964,,,,Feature,,,,,,,,,Category,,,,,,,,,,,
145,Subject,,,50890,30,15.635094570857227,,,,Feature,,,,,,,,,Category,,,,,,,,,,,
146,Subject,,,50880,40,0.05805785683543971,,,,Feature,,,,,,,,,Category,,,,,,,,,,,
147,Subject,,,50870,50,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,,,,
148,Subject,,,50860,60,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,,,,
149,Subject,,,50850,70,0.0,,,,Feature,,,,,,,,,Category,,,,,,,,,,,
150,Subject,,,50919,1,0.33201663452013447,,,,,Feature,,,,,,,,Category,,,,,,,,,,,
151,Subject,,,50915,5,1.6557383341678305,,,,,Feature,,,,,,,,Category,,,,,,,,,,,
152,Subject,,,50910,10,3.2987116655614157,,,,,Feature,,,,,,,,Category,,,,,,,,,,,
153,Subject,,,50905,15,4.89947187935832,,,,,Feature,,,,,,,,Category,,,,,,,,,,,
154,Subject,,,50900,20,6.420507817642522,,,,,Feature,,,,,,,,Category,,,,,,,,,,,
155,Subject,,,50890,30,9.07615551168005,,,,,Feature,,,,,,,,Category,,,,,,,,,,,
156,Subject,,,50880,40,6.152198473529956,,,,,Feature,,,,,,,,Category,,,,,,,,,,,
157,Subject,,,50870,50,3.89115447285799,,,,,Feature,,,,,,,,Category,,,,,,,,,,,
158,Subject,,,50860,60,2.4911690395709862,,,,,Feature,,,,,,,,Category,,,,,,,,,,,
159,Subject,,,50850,70,2.092966492475179,,,,,Feature,,,,,,,,Category,,,,,,,,,,,
160,Subject,,,50919,1,0.7819828408436413,,,,,,Feature,,,,,,,Category,,,,,,,,,,,
161,Subject,,,50915,5,3.909249701398995,,,,,,Feature,,,,,,,Category,,,,,,,,,,,
162,Subject,,,50910,10,7.802572621494549,,,,,,Feature,,,,,,,Category,,,,,,,,,,,
163,Subject,,,50905,15,11.436125864126176,,,,,,Feature,,,,,,,Category,,,,,,,,,,,
164,Subject,,,50900,20,13.955036710055687,,,,,,Feature,,,,,,,Category,,,,,,,,,,,
165,Subject,,,50890,30,15.496726374932154,,,,,,Feature,,,,,,,Category,,,,,,,,,,,
166,Subject,,,50880,40,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,,,,
167,Subject,,,50870,50,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,,,,
168,Subject,,,50860,60,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,,,,
