,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,annette,bertrand,blanche,dorothee,ludovico,madame cheron,madame montoni,signor,st. aubert,ugo
700,,,,50919,1,0.6473479287354367,Category,Feature,,,,,,,,,,,,,,Subject,,,,,,,,
701,,,,50915,5,3.233599366849294,Category,Feature,,,,,,,,,,,,,,Subject,,,,,,,,
702,,,,50910,10,6.447170488947796,Category,Feature,,,,,,,,,,,,,,Subject,,,,,,,,
703,,,,50905,15,9.483314945214904,Category,Feature,,,,,,,,,,,,,,Subject,,,,,,,,
704,,,,50900,20,11.927941841741033,Category,Feature,,,,,,,,,,,,,,Subject,,,,,,,,
705,,,,50890,30,14.568210575707946,Category,Feature,,,,,,,,,,,,,,Subject,,,,,,,,
706,,,,50880,40,3.6323864569012008,Category,Feature,,,,,,,,,,,,,,Subject,,,,,,,,
707,,,,50870,50,0.9470721541030572,Category,Feature,,,,,,,,,,,,,,Subject,,,,,,,,
708,,,,50860,60,0.24673334761086757,Category,Feature,,,,,,,,,,,,,,Subject,,,,,,,,
709,,,,50850,70,0.14662643875036407,Category,Feature,,,,,,,,,,,,,,Subject,,,,,,,,
710,,,,50919,1,0.4519003757318133,Category,,Feature,,,,,,,,,,,,,Subject,,,,,,,,
711,,,,50915,5,2.258688883982346,Category,,Feature,,,,,,,,,,,,,Subject,,,,,,,,
712,,,,50910,10,4.507641757611526,Category,,Feature,,,,,,,,,,,,,Subject,,,,,,,,
713,,,,50905,15,6.701251170505348,Category,,Feature,,,,,,,,,,,,,Subject,,,,,,,,
714,,,,50900,20,8.743521684283932,Category,,Feature,,,,,,,,,,,,,Subject,,,,,,,,
715,,,,50890,30,12.010835602600075,Category,,Feature,,,,,,,,,,,,,Subject,,,,,,,,
716,,,,50880,40,5.782702070686058,Category,,Feature,,,,,,,,,,,,,Subject,,,,,,,,
717,,,,50870,50,2.407368367887981,Category,,Feature,,,,,,,,,,,,,Subject,,,,,,,,
718,,,,50860,60,1.014427965661952,Category,,Feature,,,,,,,,,,,,,Subject,,,,,,,,
719,,,,50850,70,0.7249360849911856,Category,,Feature,,,,,,,,,,,,,Subject,,,,,,,,
720,,,,50919,1,0.6473479287354367,Category,,,Feature,,,,,,,,,,,,Subject,,,,,,,,
721,,,,50915,5,3.233599366849294,Category,,,Feature,,,,,,,,,,,,Subject,,,,,,,,
722,,,,50910,10,6.447170488947796,Category,,,Feature,,,,,,,,,,,,Subject,,,,,,,,
723,,,,50905,15,9.483314945214904,Category,,,Feature,,,,,,,,,,,,Subject,,,,,,,,
724,,,,50900,20,11.927941841741033,Category,,,Feature,,,,,,,,,,,,Subject,,,,,,,,
725,,,,50890,30,14.568210575707946,Category,,,Feature,,,,,,,,,,,,Subject,,,,,,,,
726,,,,50880,40,3.6323864569012008,Category,,,Feature,,,,,,,,,,,,Subject,,,,,,,,
727,,,,50870,50,0.9470721541030572,Category,,,Feature,,,,,,,,,,,,Subject,,,,,,,,
728,,,,50860,60,0.24673334761086757,Category,,,Feature,,,,,,,,,,,,Subject,,,,,,,,
729,,,,50850,70,0.14662643875036407,Category,,,Feature,,,,,,,,,,,,Subject,,,,,,,,
730,,,,50919,1,0.0017078376248565823,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,
731,,,,50915,5,0.008539591803085382,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,
732,,,,50910,10,0.017080192700938295,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,
733,,,,50905,15,0.02562180252266192,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,
734,,,,50900,20,0.03416442109664521,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,
735,,,,50890,30,0.05125268381136726,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,
736,,,,50880,40,0.06498067226294824,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,
737,,,,50870,50,0.07592167352294996,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,
738,,,,50860,60,0.08592175255244222,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,
739,,,,50850,70,0.08975266260044483,Category,,,,Feature,,,,,,,,,,,Subject,,,,,,,,
740,,,,50919,1,0.01835028301806194,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,
741,,,,50915,5,0.07167495229850147,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,
742,,,,50910,10,0.12314975746862537,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,
743,,,,50905,15,0.16435071426077322,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,
744,,,,50900,20,0.1983121060026644,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,
745,,,,50890,30,0.25659410123370907,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,
746,,,,50880,40,0.24212262148597624,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,
747,,,,50870,50,0.24291869986609924,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,
748,,,,50860,60,0.24475244166238996,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,
749,,,,50850,70,0.2463699667451613,Category,,,,,Feature,,,,,,,,,,Subject,,,,,,,,
750,,,,50919,1,0.003648830795668425,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,
751,,,,50915,5,0.018244340054318495,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,
752,,,,50910,10,0.035824359798789035,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,
753,,,,50905,15,0.05159614190321324,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,
754,,,,50900,20,0.06626034399030771,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,
755,,,,50890,30,0.09405895032232335,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,
756,,,,50880,40,0.10726179657706096,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,
757,,,,50870,50,0.11790323856857216,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,
758,,,,50860,60,0.1267527601534976,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,
759,,,,50850,70,0.1300826242339133,Category,,,,,,Feature,,,,,,,,,Subject,,,,,,,,
760,,,,50919,1,0.002211904894963607,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,
761,,,,50915,5,0.010389379839867742,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,
762,,,,50910,10,0.020252241742256847,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,
763,,,,50905,15,0.029560146910735483,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,
764,,,,50900,20,0.03884638265015197,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,
765,,,,50890,30,0.05741090115157182,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,
766,,,,50880,40,0.06852743612254954,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,
767,,,,50870,50,0.0765712770016845,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,
768,,,,50860,60,0.08374956323300642,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,
769,,,,50850,70,0.08657676040437098,Category,,,,,,,Feature,,,,,,,,Subject,,,,,,,,
770,,,,50919,1,0.002701651983928812,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,
771,,,,50915,5,0.01289447663632375,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,
772,,,,50910,10,0.024306775049355415,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,
773,,,,50905,15,0.035081077349198055,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,
774,,,,50900,20,0.045684386170769836,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,
775,,,,50890,30,0.06542381013230666,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,
776,,,,50880,40,0.07721681209554596,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,
777,,,,50870,50,0.08672819607857557,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,
778,,,,50860,60,0.09524763577624332,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,
779,,,,50850,70,0.09790380447617252,Category,,,,,,,,Feature,,,,,,,Subject,,,,,,,,
780,,,,50919,1,0.0029421093205228795,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,
781,,,,50915,5,0.014120396882517901,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,
782,,,,50910,10,0.02698757151289182,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,
783,,,,50905,15,0.038891815764121845,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,
784,,,,50900,20,0.0507891562219024,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,
785,,,,50890,30,0.07458749632790096,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,
786,,,,50880,40,0.09126525790530282,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,
787,,,,50870,50,0.10491860878958992,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,
788,,,,50860,60,0.1174323618084107,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,
789,,,,50850,70,0.12222713172723967,Category,,,,,,,,,Feature,,,,,,Subject,,,,,,,,
790,,,,50919,1,0.0029421093205228795,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,
791,,,,50915,5,0.012103750236710608,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,
792,,,,50910,10,0.021859964388376996,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,
793,,,,50905,15,0.031139435958550385,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,
794,,,,50900,20,0.04042006108260263,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,
795,,,,50890,30,0.05898477147215289,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,
796,,,,50880,40,0.07163090200763703,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,
797,,,,50870,50,0.08233641732222224,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,
798,,,,50860,60,0.09219919006113116,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,
799,,,,50850,70,0.09546495756357808,Category,,,,,,,,,,Feature,,,,,Subject,,,,,,,,
800,,,,50919,1,0.022241720344262063,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,
801,,,,50915,5,0.08269735445491189,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,
802,,,,50910,10,0.1409918155892065,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,
803,,,,50905,15,0.18673089094072823,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,
804,,,,50900,20,0.2258403225116577,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,
805,,,,50890,30,0.29142095448645333,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,
806,,,,50880,40,0.2701133976484953,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,
807,,,,50870,50,0.2648763371940442,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,
808,,,,50860,60,0.2575532340859784,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,
809,,,,50850,70,0.2558750731254531,Category,,,,,,,,,,,Feature,,,,Subject,,,,,,,,
810,,,,50919,1,0.0859327332892477,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,
811,,,,50915,5,0.3441925284577415,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,
812,,,,50910,10,0.5943783734466828,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,
813,,,,50905,15,0.7759128158955585,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,
814,,,,50900,20,0.9053666104357989,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,
815,,,,50890,30,1.0881082242691098,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,
816,,,,50880,40,0.797672043077647,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,
817,,,,50870,50,0.7428583614947334,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,
818,,,,50860,60,0.7371278257439214,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,
819,,,,50850,70,0.7356661555503183,,Feature,,,,,,,,,,,Category,,,Subject,,,,,,,,
820,,,,50919,1,0.6207477697106032,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,
821,,,,50915,5,3.102416745449759,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,
822,,,,50910,10,6.188848244722429,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,
823,,,,50905,15,9.135977775860104,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,
824,,,,50900,20,11.620696890414486,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,
825,,,,50890,30,14.498106853160968,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,
826,,,,50880,40,3.8217733909380494,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,
827,,,,50870,50,0.8796184401107705,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,
828,,,,50860,60,0.2584048483405221,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,
829,,,,50850,70,0.16197734807819775,,,Feature,,,,,,,,,,Category,,,Subject,,,,,,,,
830,,,,50919,1,0.9999570291223396,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,
831,,,,50915,5,4.996174911149922,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,
832,,,,50910,10,9.975680806742615,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,
833,,,,50905,15,14.445649769354961,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,
834,,,,50900,20,15.585884616390485,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,
835,,,,50890,30,15.635094570857227,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,
836,,,,50880,40,0.0573867632507776,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,
837,,,,50870,50,0.0,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,
838,,,,50860,60,0.0,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,
839,,,,50850,70,0.0,,,,Feature,,,,,,,,,Category,,,Subject,,,,,,,,
840,,,,50919,1,0.33201663452013447,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,
841,,,,50915,5,1.6557383341678305,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,
842,,,,50910,10,3.2987116655614157,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,
843,,,,50905,15,4.89947187935832,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,
844,,,,50900,20,6.420507817642522,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,
845,,,,50890,30,9.07615551168005,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,
846,,,,50880,40,6.152198473529956,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,
847,,,,50870,50,3.89115447285799,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,
848,,,,50860,60,2.4911690395709862,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,
849,,,,50850,70,2.092966492475179,,,,,Feature,,,,,,,,Category,,,Subject,,,,,,,,
850,,,,50919,1,0.7818134514625688,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,
851,,,,50915,5,3.908415617303432,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,
852,,,,50910,10,7.800933303138678,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,
853,,,,50905,15,11.433648860865151,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,
854,,,,50900,20,13.952865865814625,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,
855,,,,50890,30,15.496563972446271,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,
856,,,,50880,40,0.0,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,
857,,,,50870,50,0.0,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,
858,,,,50860,60,0.0,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,
859,,,,50850,70,0.0083954279702993,,,,,,Feature,,,,,,,Category,,,Subject,,,,,,,,
860,,,,50919,1,0.5927812974034158,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,
861,,,,50915,5,2.9578870669446244,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,
862,,,,50910,10,5.898300004519057,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,
863,,,,50905,15,8.696469828899847,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,
864,,,,50900,20,11.06130944908813,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,
865,,,,50890,30,13.985036753476873,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,
866,,,,50880,40,4.429332847630018,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,
867,,,,50870,50,1.3901967480701112,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,
868,,,,50860,60,0.4763334499554046,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,
869,,,,50850,70,0.321675062924678,,,,,,,Feature,,,,,,Category,,,Subject,,,,,,,,
870,,,,50919,1,0.5147760462728886,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,
871,,,,50915,5,2.56520306722158,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,
872,,,,50910,10,5.1029905142418555,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,
873,,,,50905,15,7.509754933866527,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,
874,,,,50900,20,9.577285021624999,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,
875,,,,50890,30,12.486489844784554,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,
876,,,,50880,40,5.279216076631367,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,
877,,,,50870,50,2.278524067263607,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,
878,,,,50860,60,1.0561704175120663,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,
879,,,,50850,70,0.7726551521051318,,,,,,,,Feature,,,,,Category,,,Subject,,,,,,,,
880,,,,50919,1,0.5888664635470652,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,
881,,,,50915,5,2.9391641941297215,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,
882,,,,50910,10,5.8591772456392395,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,
883,,,,50905,15,8.635200080715821,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,
884,,,,50900,20,10.99104172459978,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,
885,,,,50890,30,13.945837027600053,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,
886,,,,50880,40,4.456001670841873,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,
887,,,,50870,50,1.3278940032888322,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,
888,,,,50860,60,0.44557248415196044,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,
889,,,,50850,70,0.2945503600255296,,,,,,,,,Feature,,,,Category,,,Subject,,,,,,,,
890,,,,50919,1,0.4519003757318133,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,
891,,,,50915,5,2.258688883982346,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,
892,,,,50910,10,4.507641757611526,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,
893,,,,50905,15,6.701251170505348,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,
894,,,,50900,20,8.743521684283932,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,
895,,,,50890,30,12.010835602600075,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,
896,,,,50880,40,5.782702070686058,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,
897,,,,50870,50,2.407368367887981,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,
898,,,,50860,60,1.014427965661952,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,
899,,,,50850,70,0.7249360849911856,,,,,,,,,,Feature,,,Category,,,Subject,,,,,,,,
900,,,,50919,1,0.6473479287354367,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,
901,,,,50915,5,3.233599366849294,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,
902,,,,50910,10,6.447170488947796,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,
903,,,,50905,15,9.483314945214904,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,
904,,,,50900,20,11.927941841741033,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,
905,,,,50890,30,14.568210575707946,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,
906,,,,50880,40,3.6323864569012008,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,
907,,,,50870,50,0.9470721541030572,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,
908,,,,50860,60,0.24673334761086757,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,
909,,,,50850,70,0.14662643875036407,,,,,,,,,,,Feature,,Category,,,Subject,,,,,,,,
910,,,,50919,1,0.5068613536968853,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,
911,,,,50915,5,2.5324537883864258,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,
912,,,,50910,10,5.052197263047802,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,
913,,,,50905,15,7.488434467357961,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,
914,,,,50900,20,9.693128061907199,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,
915,,,,50890,30,12.866049282628794,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,
916,,,,50880,40,0.0,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,
917,,,,50870,50,0.0,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,
918,,,,50860,60,0.0,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,
919,,,,50850,70,0.620376151081115,,,,,,,,,,,,Feature,Category,,,Subject,,,,,,,,
920,,Category,Feature,50919,1,0.9999570291223396,,,,,,,,,,,,,,,,,Subject,,,,,,,
921,,Category,Feature,50915,5,4.996174911149922,,,,,,,,,,,,,,,,,Subject,,,,,,,
922,,Category,Feature,50910,10,9.975680806742615,,,,,,,,,,,,,,,,,Subject,,,,,,,
923,,Category,Feature,50905,15,14.445649769354961,,,,,,,,,,,,,,,,,Subject,,,,,,,
924,,Category,Feature,50900,20,15.585884616390485,,,,,,,,,,,,,,,,,Subject,,,,,,,
925,,Category,Feature,50890,30,15.635094570857227,,,,,,,,,,,,,,,,,Subject,,,,,,,
926,,Category,Feature,50880,40,0.0573867632507776,,,,,,,,,,,,,,,,,Subject,,,,,,,
927,,Category,Feature,50870,50,0.0,,,,,,,,,,,,,,,,,Subject,,,,,,,
928,,Category,Feature,50860,60,0.0,,,,,,,,,,,,,,,,,Subject,,,,,,,
929,,Category,Feature,50850,70,0.0,,,,,,,,,,,,,,,,,Subject,,,,,,,
930,,,,50919,1,0.5888664635470652,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,
931,,,,50915,5,2.9391641941297215,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,
932,,,,50910,10,5.8591772456392395,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,
933,,,,50905,15,8.635200080715821,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,
934,,,,50900,20,10.99104172459978,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,
935,,,,50890,30,13.945837027600053,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,
936,,,,50880,40,4.456001670841873,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,
937,,,,50870,50,1.3278940032888322,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,
938,,,,50860,60,0.44557248415196044,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,
939,,,,50850,70,0.2945503600255296,Category,Feature,,,,,,,,,,,,,,,Subject,,,,,,,
940,,,,50919,1,0.010438191909588342,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,
941,,,,50915,5,0.05089376666583779,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,
942,,,,50910,10,0.09780494008590661,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,
943,,,,50905,15,0.14134467761537545,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,
944,,,,50900,20,0.1817623707645984,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,
945,,,,50890,30,0.2566869053886693,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,
946,,,,50880,40,0.2806175986707219,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,
947,,,,50870,50,0.2917077472092481,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,
948,,,,50860,60,0.2966691635863157,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,
949,,,,50850,70,0.29765369846237777,Category,,Feature,,,,,,,,,,,,,,Subject,,,,,,,
950,,,,50919,1,0.6473479287354367,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,
951,,,,50915,5,3.233599366849294,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,
952,,,,50910,10,6.447170488947796,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,
953,,,,50905,15,9.483314945214904,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,
954,,,,50900,20,11.927941841741033,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,
955,,,,50890,30,14.568210575707946,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,
956,,,,50880,40,3.6323864569012008,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,
957,,,,50870,50,0.9470721541030572,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,
958,,,,50860,60,0.24673334761086757,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,
959,,,,50850,70,0.14662643875036407,Category,,,Feature,,,,,,,,,,,,,Subject,,,,,,,
960,,,,50919,1,0.002701651983928812,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,
961,,,,50915,5,0.01350865310698024,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,
962,,,,50910,10,0.025790051017909137,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,
963,,,,50905,15,0.03664149365437136,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,
964,,,,50900,20,0.047103918155859285,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,
965,,,,50890,30,0.06622748289396048,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,
966,,,,50880,40,0.07698721306941274,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,
967,,,,50870,50,0.08630398920723052,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,
968,,,,50860,60,0.09587312806184267,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,
969,,,,50850,70,0.09956941467056742,Category,,,,Feature,,,,,,,,,,,,Subject,,,,,,,
970,,,,50919,1,0.040925167025333824,Category,,,,,Feature,,,,,,,,,,,Subject,,,,,,,
971,,,,50915,5,0.158804573009657,Category,,,,,Feature,,,,,,,,,,,Subject,,,,,,,
972,,,,50910,10,0.27320620741449486,Category,,,,,Feature,,,,,,,,,,,Subject,,,,,,,
973,,,,50905,15,0.35887744444851805,Category,,,,,Feature,,,,,,,,,,,Subject,,,,,,,
