,L_NRCw_Em_anger,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_joy,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,R_possessive,i,lemma,neg,t,text
67,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,571,sting,False,546,stung
68,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,573,nettle,False,546,nettles
69,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,576,tear,False,546,torn
70,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,581,limp,False,546,limped
71,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,man,head,,584,shiver,False,546,shivered
72,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,587,glare,False,546,glared
73,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,590,growl,False,546,growled
74,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,,601,seize,False,546,seized
75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,617,sir,False,611,sir
76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,623,terror,False,611,terror
77,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,626,Pray,False,626,pray
78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,632,sir,False,626,sir
79,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,655,sir,False,650,sir
80,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,668,stare,False,659,staring
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,675,mouth,False,673,mouth
82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,684,sir,False,682,sir
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,us,,689,show,False,688,show
84,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,church,,714,lie,False,706,lay
85,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,726,tree,False,706,trees
86,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,735,church,False,706,church
87,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,772,church,False,770,church
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,779,sudden,False,770,sudden
89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,sir,,789,heel,False,770,heels
90,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,802,church,False,770,church
91,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"itself,—for",piece,,818,tremble,False,806,trembling
92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"itself,—for",piece,,821,eat,False,806,ate
93,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,829,young,False,827,young
94,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"itself,—for",,,837,lick,False,827,licking
95,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,843,fat,False,827,fat
96,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,856,fat,False,852,fat
97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,863,time,False,852,time
98,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,864,undersize,False,852,undersized
99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,em,,880,eat,True,874,eat
100,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,890,threatening,False,874,threatening
101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,909,earnestly,False,908,earnestly
102,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,em,,,912,hope,False,908,hope
103,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,945,cry,False,908,crying
104,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,962,mother,False,959,mother
105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,969,sir,False,967,sir
106,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sir,,,975,start,False,967,started
107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sir,,,988,shoulder,False,967,shoulder
108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,994,sir,False,992,sir
109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,sir,,999,explain,False,992,explained
110,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,1008,mother,False,1005,mother
111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1019,come,False,1012,coming
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,1027,father,False,1023,father
113,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,1030,mother,False,1023,mother
114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,1037,sir,False,1035,sir
115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,1047,late,False,1043,late
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,1050,parish,False,1043,parish
117,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sir,,,1059,mutter,False,1058,muttered
118,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,1101,sir,False,1094,sir
119,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1131,time,False,1122,times
120,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1164,powerfully,False,1122,powerfully
121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1190,question,False,1180,question
122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,1213,sir,False,1211,sir
123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,1230,sir,False,1228,sir
124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sir,,,1236,question,False,1234,question
125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1251,great,False,1234,greater
126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1252,sense,False,1234,sense
127,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,1254,helplessness,False,1234,helplessness
128,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,1256,danger,False,1234,danger
129,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,1319,dreadfully,False,1317,dreadfully
130,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,1320,frightened,False,1317,frightened
131,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,1347,upright,False,1317,upright
132,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,1349,sir,False,1317,sir
133,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,1356,sick,False,1317,sick
134,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,1380,church,False,1367,church
135,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,church,,,1381,jump,False,1367,jumped
136,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,1398,upright,False,1387,upright
137,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,1402,top,False,1387,top
138,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1405,stone,False,1387,stone
139,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,1412,fearful,False,1387,fearful
140,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1422,morrow,False,1416,morrow
141,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1442,Battery,False,1432,battery
142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,me,,1453,dare,True,1446,dare
143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,1457,word,False,1446,word
144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,me,,1459,dare,False,1446,dare
