,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,i,lemma,neg,t,text
45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,,4763,think,True,4760,thought
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,fire,,4818,glow,False,4809,glow
47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,,4823,think,False,4809,thought
48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,,4871,think,False,4866,thought
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,his,,4908,accredit,False,4866,accredited
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,I,,5035,conscience,False,5024,conscience
51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Mrs. Joe,,5148,mouth,False,5134,mouth
52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Joe,,5167,mouth,False,5164,mouth
53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,him,,5289,think,False,5278,thought
54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,him,,5326,curiosity,False,5319,curiosity
55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Joe,,5335,mouth,False,5319,mouth
56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,him,,5369,mouth,False,5358,mouth
57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Joe,,5395,mouth,False,5380,mouth
58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sister,,5551,needle,False,5542,needle
59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,People,,5694,murder,False,5686,murder
60,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,People,,5699,rob,False,5686,rob
61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,,5798,begin,False,5796,begun
62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,,5826,think,False,5812,thought
63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,I,,5938,terror,False,5854,terror
64,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,I,,6030,rob,False,6004,rob
65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,,6169,think,False,6135,thought
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,I,,6333,find,False,6292,found
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,I,,6403,find,False,6395,found
68,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,damp,,6446,lie,False,6441,lying
69,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,damp,,6481,lie,False,6475,lying
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,me,,6578,conscience,False,6561,conscience
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,me,,6709,conscience,False,6693,conscience
72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,he,,6780,nose,False,6765,nose
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,me,,6913,find,False,6903,found
74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,me,,7019,think,False,7018,thought
75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,,7032,breakfast,False,7018,breakfast
76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,7178,stumble,False,7129,stumble
77,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,me,,7196,lose,False,7129,lost
78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,me,,7209,think,False,7208,thought
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,me,,7220,dare,False,7219,dare
80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,me,,7294,expect,False,7292,expected
81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,you,,7528,lie,False,7525,lying
82,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,boy,,7547,eat,False,7544,eat
83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,boy,,7549,breakfast,False,7544,breakfast
84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sir,,7744,time,False,7731,time
85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,his,,7806,desolation,False,7804,desolation
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,his,,7830,enjoy,False,7804,enjoy
87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,his,,7858,boy,False,7854,boy
88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,man,,7941,think,False,7911,thought
89,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,man,,7991,jaw,False,7958,jaws
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,8089,friend,False,8082,friend
91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,friend,,8107,speak,False,8105,spoke
92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,friend,,8151,think,False,8149,thought
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,friend,,8213,find,False,8198,found
94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,'em,,8481,tramp,False,8463,tramp
95,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,man,,8526,forget,False,8503,forgotten
96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,I,,8624,pull,False,8622,pull
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,8685,iron,False,8672,iron
98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,,8780,think,False,8765,thought
99,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,,8808,work,False,8791,working
100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,,8850,expect,False,8846,expected
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,I,,8963,conscience,False,8953,conscience
102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,,9003,think,False,8997,thought
103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,I,,9065,hear,True,9046,hearing
104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,his,,9096,nose,False,9070,nose
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,I,,9276,promise,False,9229,promise
106,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Mrs. Joe,,9436,cleanliness,False,9421,cleanliness
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,people,,9459,religion,False,9445,religion
108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,me,,9603,birthday,False,9575,birthday
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,me,,9779,secret,False,9773,secret
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Joe,,9952,find,False,9944,found
111,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Roman,,10090,despair,True,10021,despair
112,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Roman,,10120,punish,False,10118,punished
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,I,,10157,friend,False,10118,friend
114,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,man,,10444,change,False,10413,change
115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mrs. Hubble,,10570,come,False,10524,coming
116,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,they,,10707,leave,True,10703,leave
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,sister,,10816,fix,False,10812,fixed
118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,,11326,think,False,11324,thought
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,sir,,11539,elder,False,11531,elders
120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,your,,11577,destination,False,11571,destination
121,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sir,,11656,shed,False,11586,shed
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,11750,commit,False,11716,committed
123,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,man,,11791,grave,False,11782,grave
124,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,man,,11797,refuse,False,11782,refused
125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Romans,,11809,aggravate,False,11803,aggravated
126,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mr. Wopsle,,11837,nose,False,11832,nose
127,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nose,,11839,aggravate,False,11832,aggravated
128,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,12015,fate,False,11995,fate
129,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,12034,brandy,False,12018,brandy
130,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,man,,12065,misery,False,12042,misery
131,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mr. Pumblechook,,12485,begin,False,12478,begun
132,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,sister,,12547,youth,False,12522,youth
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,present,,12613,hope,True,12610,hope
134,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sister,,12629,rise,False,12619,rising
135,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Mr. Pumblechook,,12709,balance,False,12706,balance
136,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,My,,12797,bear,False,12792,bear
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,me,,13003,shoulder,False,12966,shoulder
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,sergeant,,13277,Majesty,False,13263,Majesty
139,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,men,,13286,bear,False,13281,bear
140,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,men,,13374,stock,False,13325,stocks
141,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,I,,13445,wit,False,13404,wits
142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nobody,,13661,think,False,13660,thought
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Nobody,,13685,expect,False,13666,expect
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,they,,13690,count,False,13666,count
145,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sister,,13796,liberal,False,13778,liberal
146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Mr. Pumblechook,,13932,suspect,False,13919,suspect
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,you,,13938,providing,False,13919,providing
148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Mr. Pumblechook,,14001,laugh,False,13989,laugh
149,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Mr. Pumblechook,,14108,hospitality,False,14102,hospitality
150,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sergeant,,14201,think,False,14182,thought
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,sergeant,,14211,friend,False,14182,friend
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,them,,14340,account,False,14237,account
153,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,,14351,job,False,14346,job
154,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,us,,14438,leave,True,14433,leave
155,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Mrs. Joe,,14450,curiosity,False,14433,curiosity
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,14520,doubt,False,14499,doubt
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,I,,14602,hope,False,14577,hope
158,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,men,,14810,hide,False,14787,hiding
159,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,me,,14833,convict,False,14787,convict
160,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,me,,14869,join,False,14846,joined
161,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,man,,14939,nose,False,14906,nose
162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,me,,14976,begin,False,14969,begun
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,15058,shoulder,False,15047,shoulder
164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,me,,15124,think,False,15116,thought
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,man,,15339,agree,False,15325,agreed
166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,15439,speak,False,15422,spoke
167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,it,,15515,break,False,15513,broke
168,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,my,,15729,convict,False,15687,convict
169,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,men,,15737,bleed,False,15735,bleeding
170,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,my,,15761,convict,False,15758,convict
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,my,,15839,expect,True,15835,expect
172,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,my,,15865,convict,False,15847,convict
173,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,convict,,15968,word,False,15952,words
174,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,convict,,15980,convict,False,15971,convict
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Hulks,,16051,gentleman,False,16044,gentleman
176,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lookee,,16106,convict,False,16099,convict
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Lookee,,16180,find,False,16172,found
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,he,,16264,companion,False,16252,companion
179,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,he,,16297,convict,False,16291,convict
180,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,he,,16313,die,False,16304,die
