,L_NRCw_Em_anger,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_joy,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,R_possessive,i,lemma,neg,t,text
0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,25,found,False,18,founded
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,40,writer,False,18,writers
2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,47,impossible,False,18,impossible
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,56,accord,False,50,according
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,59,degree,False,50,degree
5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,62,faith,False,50,faith
6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,80,fancy,False,50,fancy
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,91,series,False,50,series
8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,94,terror,False,50,terrors
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,101,interest,False,96,interest
10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,105,depend,False,96,depends
11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,114,tale,False,96,tale
12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,it,,,122,recommend,False,120,recommended
13,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,it,,,131,develop,False,120,developes
14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,136,impossible,False,120,impossible
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,140,fact,False,120,fact
16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,142,afford,False,120,affords
17,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,155,passion,False,120,passions
18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,157,comprehensive,False,120,comprehensive
19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,159,command,False,120,commanding
20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,178,preserve,False,173,preserve
21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,180,truth,False,173,truth
22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,195,innovate,False,173,innovate
23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,204,tragic,False,200,tragic
24,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,211,Tempest,False,200,tempest
25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,226,rule,False,200,rule
26,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,231,humble,False,200,humble
27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,235,seek,False,200,seeks
28,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,240,amusement,False,200,amusement
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,248,presumption,False,200,presumption
30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,260,rule,False,200,rule
31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,269,exquisite,False,200,exquisite
32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,273,feeling,False,200,feeling
33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,275,result,False,200,resulted
34,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,278,high,False,200,highest
35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,story,,,290,rest,False,284,rests
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,story,,,292,suggest,False,284,suggested
37,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,305,amusement,False,297,amusement
38,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,311,expedient,False,297,expedient
39,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,316,resource,False,297,resources
40,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,344,moral,False,332,moral
41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,357,reader,False,354,reader
42,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,365,respect,False,354,respect
43,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,368,limit,False,354,limited
44,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,371,avoid,False,354,avoiding
45,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,390,affection,False,354,affection
46,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,394,excellence,False,354,excellence
