,L_NRCw_Em_anger,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_joy,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,i,lemma,neg,t,text
53,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,em,873,eat,True,867,eat
54,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,man,,905,hope,False,901,hope
55,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,man,,905,hope,False,901,hope
56,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,man,,905,hope,False,901,hope
57,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,man,,905,hope,False,901,hope
58,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,man,,905,hope,False,901,hope
59,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,955,mother,False,952,mother
60,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,955,mother,False,952,mother
61,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,955,mother,False,952,mother
62,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,955,mother,False,952,mother
63,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,955,mother,False,952,mother
64,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,955,mother,False,952,mother
65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sir,,968,start,False,960,started
66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sir,,981,shoulder,False,960,shoulder
67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sir,,981,shoulder,False,960,shoulder
68,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,man,,992,explain,False,985,explained
69,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,man,,992,explain,False,985,explained
70,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,1001,mother,False,998,mother
71,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,1001,mother,False,998,mother
72,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,1001,mother,False,998,mother
73,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,1001,mother,False,998,mother
74,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,1001,mother,False,998,mother
