,L_NRCw_Em_anticipation,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,i,lemma,neg,t,text
41,0.0,0.0,0.0,0.0,0.0,1.0,you,you,1448,dare,True,1441,dare
42,0.0,0.0,0.0,0.0,1.0,0.0,man,,1534,young,False,1531,young
43,0.0,0.0,0.0,0.0,1.0,0.0,man,,1552,young,False,1551,young
44,0.0,1.0,0.0,0.0,0.0,0.0,man,,1556,word,False,1551,words
45,0.0,0.0,0.0,0.0,1.0,0.0,man,,1561,young,False,1560,young
46,0.0,0.0,0.0,0.0,0.0,1.0,man,,1565,secret,False,1560,secret
47,0.0,0.0,0.0,0.0,1.0,0.0,man,,1601,young,False,1587,young
48,0.0,0.0,0.0,0.0,1.0,0.0,man,,1638,young,False,1604,young
49,0.0,1.0,0.0,0.0,0.0,0.0,man,,1642,creep,False,1604,creep
50,0.0,1.0,0.0,0.0,0.0,0.0,man,,1644,creep,False,1604,creep
51,0.0,1.0,0.0,0.0,0.0,0.0,man,boy,1644,creep,False,1604,creep
52,0.0,1.0,0.0,0.0,0.0,0.0,man,boy,1644,creep,False,1604,creep
53,0.0,0.0,0.0,0.0,1.0,0.0,man,,1659,young,False,1654,young
54,0.0,0.0,0.0,0.0,1.0,0.0,man,,1682,young,False,1674,young
55,0.0,0.0,0.0,0.0,1.0,0.0,man,,1779,young,False,1761,young
56,1.0,0.0,0.0,0.0,0.0,0.0,man,,1837,time,False,1834,time
57,0.0,0.0,1.0,0.0,0.0,0.0,man,,1922,pull,False,1866,pull
58,0.0,0.0,1.0,0.0,0.0,0.0,man,man,1922,pull,False,1866,pull
59,1.0,0.0,0.0,0.0,0.0,0.0,man,,2044,long,False,2039,long
60,0.0,0.0,0.0,1.0,0.0,0.0,man,,2045,black,False,2039,black
61,0.0,0.0,0.0,0.0,0.0,1.0,man,,1986,shoulder,False,1980,shoulder
62,0.0,0.0,0.0,1.0,0.0,0.0,man,,2010,sore,False,1980,sore
63,0.0,0.0,0.0,1.0,0.0,0.0,man,,2107,black,False,2094,black
64,0.0,0.0,1.0,0.0,0.0,0.0,man,,2112,prospect,False,2094,prospect
65,1.0,0.0,0.0,0.0,0.0,0.0,man,,2207,think,False,2199,thought
66,0.0,1.0,0.0,0.0,0.0,0.0,man,,2238,horrible,False,2232,horrible
67,0.0,0.0,0.0,0.0,1.0,0.0,man,,2239,young,False,2232,young
68,0.0,0.0,1.0,0.0,0.0,0.0,man,,2279,establish,False,2266,established
69,1.0,0.0,0.0,0.0,0.0,0.0,man,,2301,time,False,2298,time
70,1.0,0.0,0.0,0.0,0.0,0.0,boy,,1595,attempt,False,1587,attempt
71,0.0,0.0,0.0,0.0,0.0,1.0,boy,,1634,safe,False,1604,safe
72,0.0,0.0,0.0,0.0,0.0,1.0,boy,,1667,present,False,1654,present
73,0.0,0.0,0.0,1.0,0.0,0.0,boy,,1672,difficulty,False,1654,difficulty
74,0.0,1.0,0.0,0.0,0.0,0.0,boy,,1729,battery,False,1698,battery
75,0.0,0.0,0.0,0.0,1.0,0.0,boy,,1893,young,False,1866,young
76,0.0,0.0,0.0,0.0,1.0,0.0,you,,1779,young,False,1761,young
77,1.0,0.0,0.0,0.0,0.0,0.0,marshes,,2044,long,False,2039,long
78,0.0,0.0,0.0,1.0,0.0,0.0,marshes,,2045,black,False,2039,black
79,1.0,0.0,0.0,0.0,0.0,0.0,cattle,,2228,think,False,2199,thought
