,L_NRCw_Em_anger,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,i,lemma,neg,t,text
152,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,joe,,4127,mischief,False,4122,mischief
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,joe,,4177,recommend,False,4164,recommend
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,joe,joe,4177,recommend,False,4164,recommend
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,joe,,4188,aghast,False,4164,aghast
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,joe,,4331,confidential,False,4308,confidential
157,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joe,,4207,time,False,4205,time
158,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,joe,,4291,helpless,False,4285,helpless
159,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,joe,,4322,bite,False,4308,bite
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,joe,,4398,food,False,4394,food
161,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,joe,,4431,bite,False,4410,bite
162,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,joe,,4450,boy,False,4437,boy
163,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,joe,,4504,word,False,4483,words
164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,joe,,4503,awful,False,4483,awful
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,joe,,4645,disturbance,False,4628,disturbance
166,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,joe,,5212,gun,False,5196,gun
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,joe,,5407,word,False,5380,word
168,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,joe,,5504,cough,False,5500,cough
169,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,they,,2409,blue,False,2383,blue
170,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,they,,2408,undecided,False,2383,undecided
171,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,she,,2573,wear,False,2563,worn
172,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,she,it,2573,wear,False,2563,worn
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,she,,2584,wear,False,2563,wear
174,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mrs. joe,,2823,grab,False,2806,grab
175,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mrs. joe,,2932,coming,False,2929,coming
176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mrs. joe,,3019,fence,False,2987,fenced
177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mrs. joe,i,3019,fence,False,2987,fenced
178,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mrs. joe,,3318,restore,False,3311,restoring
179,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mrs. joe,tickler,3318,restore,False,3311,restoring
180,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mrs. joe,,4534,supply,False,4515,supply
181,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mrs. joe,mrs. joe,4534,supply,False,4515,supply
182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,tickler,,2793,cane,False,2785,cane
183,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,tickler,,2795,wear,False,2785,worn
184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tickler,,2985,investigation,False,2956,investigation
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,i,,2762,intelligence,False,2759,intelligence
186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,i,,2761,dismal,False,2759,dismal
187,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,i,,2780,depression,False,2759,depression
188,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,i,fire,2780,depression,False,2759,depression
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,i,,2886,large,False,2880,larger
190,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,i,,2889,child,False,2880,child
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,i,,2954,advice,False,2951,advice
192,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,i,,2970,obstruction,False,2956,obstruction
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,i,,3036,young,False,3030,young
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,i,,3057,wear,False,3047,wear
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,i,i,3057,wear,False,3047,wear
196,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,i,,3061,fret,False,3047,fret
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,i,,3063,fright,False,3047,fright
198,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,he,,3107,cry,False,3090,crying
199,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,he,he,3107,cry,False,3090,crying
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,he,,3245,mother,False,3226,mother
201,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,he,,3254,question,False,3249,question
202,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,i,,3646,eat,True,3633,eat
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,i,,3635,present,False,3633,present
204,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,i,,3658,reserve,False,3650,reserve
205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,i,,3661,dreadful,False,3650,dreadful
206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,i,,3697,safe,False,3674,safe
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,i,,3729,find,False,3717,found
208,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,i,,3756,plunge,False,3735,plunge
209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,i,,3760,depth,False,3735,depth
210,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,i,,3866,mug,False,3830,mug
211,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,i,,3917,advantage,False,3915,advantage
212,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,i,,3952,loss,False,3940,loss
213,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,our,,3853,competition,False,3830,competition
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,our,,3851,usual,False,3830,usual
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,our,,3852,friendly,False,3830,friendly
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,joe,,4188,aghast,False,4164,aghast
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,joe,,4331,confidential,False,4308,confidential
218,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,me,,4590,case,False,4584,case
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,me,,4607,comfort,False,4584,comfort
220,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,me,,4606,great,False,4584,greater
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,fire,,4818,glow,False,4809,glow
222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,conscience,,4693,dreadful,False,4690,dreadful
