,NRCw_Em_anger,NRCw_Em_anticipation,NRCw_Em_disgust,NRCw_Em_fear,NRCw_Em_joy,NRCw_Em_negative,NRCw_Em_positive,NRCw_Em_sadness,NRCw_Em_surprise,NRCw_Em_trust,agent,lemma,neg,patient,predicative,text
76,False,True,False,False,False,False,True,False,False,False,,public,False,,,public
77,False,True,False,False,True,False,True,False,True,True,,hope,False,,,hope
78,False,False,False,False,False,False,True,False,False,True,,agree,False,,,agreed
79,False,False,False,False,True,False,True,False,False,True,,found,False,,,founded
80,False,False,False,False,False,False,False,False,True,False,,suddenly,False,,,suddenly
81,False,False,False,False,False,True,False,False,False,True,,serene,False,,,serene
82,False,False,False,False,True,False,True,False,False,True,,friend,False,,,friends
83,False,False,False,False,False,True,False,True,True,False,,leave,False,,,left
84,False,True,False,True,True,False,True,False,False,False,,journey,False,,,journey
85,True,False,True,True,False,True,False,True,True,False,,lose,False,,,lost
86,False,True,False,False,True,False,True,False,True,True,,magnificent,False,,,magnificent
87,False,True,False,False,True,False,True,False,True,True,,present,False,,,present
88,False,False,False,True,False,True,False,False,False,False,,ghostly,False,,,ghostly
89,False,True,False,False,False,False,True,False,False,False,,vision,False,,,visions
90,False,False,False,False,False,False,True,False,False,False,,tale,False,,,tale
91,False,True,False,False,True,False,True,False,True,True,,rejoice,False,,,rejoice
92,True,False,True,True,False,True,False,True,True,False,,disaster,False,,,disaster
93,True,False,True,True,False,True,False,True,False,False,,evil,False,,,evil
94,False,True,False,True,False,True,False,False,False,False,,foreboding,False,,,forebodings
95,False,True,False,False,False,False,False,False,False,False,,arrive,False,,,arrived
96,False,False,False,False,False,False,True,False,False,False,,task,False,,,task
97,False,False,False,False,False,False,False,False,False,True,,assure,False,,,assure
98,False,False,False,False,False,False,True,False,False,False,,dear,False,,,dear
99,False,False,False,False,False,False,True,False,False,False,,increase,False,,,increasing
100,False,False,False,True,True,False,True,False,False,True,,confidence,False,,,confidence
101,False,True,False,False,True,False,True,False,False,False,,success,False,,,success
102,False,True,False,False,False,False,False,False,False,False,,undertaking,False,,,undertaking
103,False,False,False,False,False,True,False,False,False,False,,cold,False,,,cold
104,False,False,False,False,False,False,True,False,False,False,,nerve,False,,,nerves
105,False,False,False,False,False,False,False,False,False,True,,fill,False,,,fills
