,categ,entity_i,entity_pos,entity_root,entity_tag,entity_text,i,mention_pos,mention_root,mention_tag,mention_text,t0,t1
67,person,24,PROPN,saville,NNP,"Mrs. Saville, England.
",3540,PROPN,saville,NNP,"Mrs. Saville, England.
",3539,3546
68,person,24,PROPN,saville,NNP,"Mrs. Saville, England.
",3898,PROPN,saville,NNP,"Mrs. Saville, England.
",3897,3904
69,person,25,NOUN,friend,NN,"no friend, Margaret",2140,NOUN,friend,NN,"no friend, Margaret",2138,2145
70,person,25,NOUN,friend,NN,"no friend, Margaret",3772,PROPN,adieu,NNP,"Adieu, my dear Margaret",3772,3778
71,narrator,26,PRON,me,PRP,me,2216,PRON,me,PRP,me,2205,2225
72,narrator,26,PRON,me,PRP,me,2223,PRON,mine,PRP,mine,2205,2225
73,narrator,26,PRON,me,PRP,me,2250,PRON,me,PRP,me,2245,2282
74,narrator,26,PRON,me,PRP,me,2316,PRON,me,PRP,me,2308,2348
75,environment,27,PRON,it,PRP,it,2364,PRON,it,PRP,it,2348,2405
76,environment,27,PRON,it,PRP,it,2368,PRON,it,PRP,it,2348,2405
77,environment,27,PRON,it,PRP,it,2378,DET,its,PRP$,its,2348,2405
78,environment,28,NOUN,country,NN,my native country,2401,NOUN,country,NN,my native country,2348,2405
79,environment,28,NOUN,country,NN,my native country,3006,NOUN,country,NN,his country,2980,3025
80,person,29,PROPN,archangel,NNP,Archangel,2507,PROPN,archangel,NNP,Archangel,2485,2514
81,person,29,PROPN,archangel,NNP,Archangel,3590,PROPN,archangel,NNP,Archangel,3576,3610
82,person,30,NOUN,lieutenant,NN,My lieutenant,2533,NOUN,lieutenant,NN,My lieutenant,2533,2571
83,person,30,NOUN,lieutenant,NN,My lieutenant,2548,PRON,he,PRP,he,2533,2571
84,person,30,NOUN,lieutenant,NN,My lieutenant,2568,DET,his,PRP$,his,2533,2571
85,person,30,NOUN,lieutenant,NN,My lieutenant,2571,PRON,he,PRP,He,2571,2599
86,person,30,NOUN,lieutenant,NN,My lieutenant,2604,PRON,him,PRP,him,2599,2631
87,person,30,NOUN,lieutenant,NN,My lieutenant,2613,PRON,he,PRP,he,2599,2631
88,person,30,NOUN,lieutenant,NN,My lieutenant,2623,PRON,him,PRP,him,2599,2631
89,environment,31,NOUN,vessel,NN,a whale vessel,2607,NOUN,vessel,NN,a whale vessel,2599,2631
90,environment,31,NOUN,vessel,NN,a whale vessel,4317,NOUN,vessel,NN,the vessel,4289,4328
91,environment,31,NOUN,vessel,NN,a whale vessel,4382,NOUN,vessel,NN,the vessel,4360,4385
92,environment,31,NOUN,vessel,NN,a whale vessel,4516,NOUN,vessel,NN,my vessel,4486,4539
93,environment,31,NOUN,vessel,NN,a whale vessel,4524,PRON,he,PRP,he,4486,4539
94,environment,31,NOUN,vessel,NN,a whale vessel,4561,PRON,he,PRP,he,4558,4572
95,environment,31,NOUN,vessel,NN,a whale vessel,4587,DET,his,PRP$,his,4575,4597
96,environment,31,NOUN,vessel,NN,a whale vessel,4597,DET,his,PRP$,His,4597,4613
97,environment,31,NOUN,vessel,NN,a whale vessel,4604,DET,his,PRP$,his,4597,4613
98,person,32,NOUN,master,NN,The master,2631,NOUN,master,NN,The master,2631,2657
99,person,32,NOUN,master,NN,The master,2648,DET,his,PRP$,his,2631,2657
100,person,32,NOUN,master,NN,The master,2654,DET,his,PRP$,his,2631,2657
101,person,32,NOUN,master,NN,The master,2662,DET,his,PRP$,his,2657,2678
102,person,32,NOUN,master,NN,The master,2676,PRON,him,PRP,him,2657,2678
103,person,32,NOUN,master,NN,The master,4415,NOUN,master,NN,the master,4409,4438
104,person,32,NOUN,master,NN,The master,4426,PRON,he,PRP,he,4409,4438
105,person,32,NOUN,master,NN,The master,4468,PRON,he,PRP,he,4458,4484
106,person,33,NOUN,character,NN,my character,2701,NOUN,character,NN,my character,2678,2770
107,person,33,NOUN,character,NN,my character,2759,PRON,myself,PRP,myself,2678,2770
108,environment,34,NOUN,ship,NN,board ship,2718,NOUN,ship,NN,board ship,2678,2770
109,environment,34,NOUN,ship,NN,board ship,3960,NOUN,ship,NN,the ship,3945,3978
110,environment,34,NOUN,ship,NN,board ship,4245,NOUN,ship,NN,our ship,4225,4248
111,person,35,NOUN,mariner,NN,a mariner,2735,NOUN,mariner,NN,a mariner,2678,2770
112,person,35,NOUN,mariner,NN,a mariner,2740,DET,his,PRP$,his,2678,2770
113,person,35,NOUN,mariner,NN,a mariner,2752,PRON,him,PRP,him,2678,2770
114,person,35,NOUN,mariner,NN,a mariner,2754,DET,his,PRP$,his,2678,2770
115,person,35,NOUN,mariner,NN,a mariner,2767,DET,his,PRP$,his,2678,2770
116,person,35,NOUN,mariner,NN,a mariner,2773,PRON,him,PRP,him,2770,2794
117,person,35,NOUN,mariner,NN,a mariner,2787,PRON,him,PRP,him,2770,2794
118,person,35,NOUN,mariner,NN,a mariner,2799,DET,his,PRP$,his,2794,2802
119,person,35,NOUN,mariner,NN,a mariner,2804,PRON,he,PRP,he,2802,2836
120,person,35,NOUN,mariner,NN,a mariner,2836,PRON,he,PRP,He,2836,2894
121,person,35,NOUN,mariner,NN,a mariner,2838,DET,his,PRP$,his,2836,2894
122,person,35,NOUN,mariner,NN,a mariner,2858,DET,his,PRP$,his,2836,2894
123,person,35,NOUN,mariner,NN,a mariner,2862,PRON,him,PRP,him,2836,2894
124,person,35,NOUN,mariner,NN,a mariner,2879,PRON,he,PRP,he,2836,2894
125,person,35,NOUN,mariner,NN,a mariner,2914,DET,his,PRP$,his,2894,2917
126,person,35,NOUN,mariner,NN,a mariner,2917,PRON,he,PRP,He,2917,2980
127,person,35,NOUN,mariner,NN,a mariner,2924,DET,his,PRP$,his,2917,2980
128,person,35,NOUN,mariner,NN,a mariner,2929,PRON,he,PRP,he,2917,2980
129,person,35,NOUN,mariner,NN,a mariner,2937,DET,his,PRP$,his,2917,2980
130,person,35,NOUN,mariner,NN,a mariner,2941,PRON,he,PRP,he,2917,2980
131,person,35,NOUN,mariner,NN,a mariner,2946,DET,his,PRP$,his,2917,2980
132,person,35,NOUN,mariner,NN,a mariner,2954,DET,his,PRP$,his,2917,2980
133,person,35,NOUN,mariner,NN,a mariner,2964,PRON,himself,PRP,himself,2917,2980
134,person,35,NOUN,mariner,NN,a mariner,2981,NOUN,man,NN,the old man,2980,3025
135,person,35,NOUN,mariner,NN,a mariner,2988,PRON,himself,PRP,himself,2980,3025
136,person,35,NOUN,mariner,NN,a mariner,2999,PRON,he,PRP,he,2980,3025
137,person,35,NOUN,mariner,NN,a mariner,3006,DET,his,PRP$,his,2980,3025
138,person,35,NOUN,mariner,NN,a mariner,3012,PRON,he,PRP,he,2980,3025
139,person,35,NOUN,mariner,NN,a mariner,3015,DET,his,PRP$,his,2980,3025
140,person,35,NOUN,mariner,NN,a mariner,3036,PRON,he,PRP,He,3036,3088
141,person,35,NOUN,mariner,NN,a mariner,3042,PRON,he,PRP,he,3036,3088
142,person,35,NOUN,mariner,NN,a mariner,3047,PRON,he,PRP,he,3036,3088
143,person,35,NOUN,mariner,NN,a mariner,3062,PRON,him,PRP,him,3036,3088
144,person,35,NOUN,mariner,NN,a mariner,3069,DET,his,PRP$,his,3036,3088
145,person,35,NOUN,mariner,NN,a mariner,3083,PRON,he,PRP,he,3036,3088
146,person,36,NOUN,girl,NN,the girl,2791,DET,her,PRP$,her,2770,2794
147,person,36,NOUN,girl,NN,the girl,2829,NOUN,girl,NN,the girl,2802,2836
148,person,37,NOUN,father,NN,the father of the girl,2826,NOUN,father,NN,the father of the girl,2802,2836
149,person,37,NOUN,father,NN,the father of the girl,2885,NOUN,father,NN,her father,2836,2894
150,person,38,NOUN,mistress,NN,his mistress,2838,NOUN,mistress,NN,his mistress,2836,2894
151,person,38,NOUN,mistress,NN,his mistress,2847,PRON,she,PRP,she,2836,2894
152,person,38,NOUN,mistress,NN,his mistress,2856,PRON,herself,PRP,herself,2836,2894
153,person,38,NOUN,mistress,NN,his mistress,2865,PRON,her,PRP,her,2836,2894
154,person,38,NOUN,mistress,NN,his mistress,2873,PRON,she,PRP,she,2836,2894
155,person,38,NOUN,mistress,NN,his mistress,2885,DET,her,PRP$,her,2836,2894
156,person,38,NOUN,mistress,NN,his mistress,2909,DET,her,PRP$,her,2894,2917
157,person,39,NOUN,friend,NN,My generous friend,2894,NOUN,friend,NN,My generous friend,2894,2917
158,person,39,NOUN,friend,NN,My generous friend,2993,NOUN,friend,NN,my friend,2980,3025
159,person,40,NOUN,woman,NN,the young woman,2966,NOUN,woman,NN,the young woman,2917,2980
160,person,40,NOUN,woman,NN,the young woman,2974,DET,her,PRP$,her,2917,2980
161,person,40,NOUN,woman,NN,the young woman,2977,DET,her,PRP$,her,2917,2980
162,person,41,NOUN,father,NN,the young woman's father,2966,NOUN,father,NN,the young woman's father,2917,2980
163,person,41,NOUN,father,NN,the young woman's father,3001,NOUN,father,NN,the father,2980,3025
164,person,42,NOUN,mistress,NN,his former mistress,3015,NOUN,mistress,NN,his former mistress,2980,3025
165,person,42,NOUN,mistress,NN,his former mistress,3022,DET,her,PRP$,her,2980,3025
166,environment,43,NOUN,voyage,NN,my voyage,3131,NOUN,voyage,NN,my voyage,3123,3145
167,environment,43,NOUN,voyage,NN,my voyage,3573,NOUN,voyage,NN,my voyage,3546,3576
168,environment,43,NOUN,voyage,NN,my voyage,3768,NOUN,voyage,NN,our voyage,3732,3772
169,environment,44,NOUN,winter,NN,The winter,3145,NOUN,winter,NN,The winter,3145,3177
170,environment,44,NOUN,winter,NN,The winter,3158,PRON,it,PRP,it,3145,3177
171,reader,45,PRON,you,PRP,you,3212,PRON,you,PRP,you,3207,3223
172,reader,45,PRON,you,PRP,you,3229,PRON,you,PRP,you,3223,3251
173,reader,45,PRON,you,PRP,you,3291,PRON,you,PRP,you,3251,3303
174,narrator,46,PRON,me,PRP,me,3485,PRON,me,PRP,me,3478,3508
175,narrator,46,PRON,me,PRP,me,3524,PRON,me,PRP,me,3514,3528
176,environment,47,NOUN,occasions,NNS,some occasions,3496,NOUN,occasions,NNS,some occasions,3478,3508
177,environment,47,NOUN,occasions,NNS,some occasions,3501,PRON,them,PRP,them,3478,3508
178,person,48,NOUN,men,NNS,my men,3619,NOUN,men,NNS,my men,3610,3659
179,person,48,NOUN,men,NNS,my men,3657,PRON,them,PRP,them,3610,3659
180,person,49,PRON,we,PRP,we,3650,PRON,we,PRP,we,3610,3659
181,person,49,PRON,we,PRP,we,3659,PRON,we,PRP,We,3659,3717
182,person,49,PRON,we,PRP,we,3691,PRON,us,PRP,us,3659,3717
183,person,49,PRON,we,PRP,we,3722,PRON,us,PRP,us,3717,3732
184,person,49,PRON,we,PRP,we,3766,PRON,us,PRP,us,3732,3772
185,person,49,PRON,we,PRP,we,3768,DET,our,PRP$,our,3732,3772
186,environment,50,NOUN,heart,NN,My swelling heart,3871,NOUN,heart,NN,My swelling heart,3871,3880
187,environment,50,NOUN,heart,NN,My swelling heart,3876,PRON,itself,PRP,itself,3871,3880
188,environment,51,NOUN,accident,NN,an accident,3910,NOUN,accident,NN,an accident,3904,3945
189,environment,51,NOUN,accident,NN,an accident,3923,PRON,it,PRP,it,3904,3945
190,person,52,PRON,us,PRP,us,3915,PRON,us,PRP,us,3904,3945
191,person,52,PRON,us,PRP,us,3950,PRON,we,PRP,we,3945,3978
192,person,52,PRON,us,PRP,us,3978,DET,our,PRP$,Our,3978,3996
193,person,52,PRON,us,PRP,us,3986,PRON,we,PRP,we,3978,3996
194,person,52,PRON,us,PRP,us,3996,PRON,we,PRP,We,3996,4015
195,person,52,PRON,us,PRP,us,4022,PRON,we,PRP,we,4015,4045
196,person,52,PRON,us,PRP,us,4069,DET,our,PRP$,our,4045,4081
197,person,52,PRON,us,PRP,us,4074,DET,our,PRP$,our,4045,4081
198,person,52,PRON,us,PRP,us,4077,DET,our,PRP$,our,4045,4081
199,person,52,PRON,us,PRP,us,4081,PRON,we,PRP,We,4081,4134
200,person,52,PRON,us,PRP,us,4134,PRON,we,PRP,We,4134,4159
201,person,52,PRON,us,PRP,us,4143,DET,our,PRP$,our,4134,4159
202,person,52,PRON,us,PRP,us,4162,DET,our,PRP$,our,4159,4166
203,person,52,PRON,us,PRP,us,4166,PRON,we,PRP,We,4166,4199
204,person,52,PRON,us,PRP,us,4170,PRON,we,PRP,we,4166,4199
205,person,52,PRON,us,PRP,us,4195,PRON,we,PRP,we,4166,4199
206,person,52,PRON,us,PRP,us,4216,PRON,we,PRP,we,4199,4225
