,L_NRCw_Em_anger,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_joy,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,R_possessive,R_predicative,i,lemma,neg,t,text
50,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,,449,grow,False,319,growing
51,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,450,afraid,False,319,afraid
52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,457,cry,False,319,cry
53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,466,noise,False,463,noise
54,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,469,cry,False,463,cried
55,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,471,terrible,False,463,terrible
56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,477,start,False,463,started
57,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,,488,church,False,463,church
58,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,497,devil,False,492,devil
59,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,509,fearful,False,506,fearful
60,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,515,gray,False,506,gray
61,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,520,iron,False,506,iron
62,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,head,,,533,broken,False,525,broken
63,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,,551,soak,False,546,soaked
64,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,,556,smother,False,546,smothered
65,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,,558,mud,False,546,mud
66,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,,563,stone,False,546,stones
67,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,,571,sting,False,546,stung
68,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,,573,nettle,False,546,nettles
69,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,,576,tear,False,546,torn
70,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,,581,limp,False,546,limped
71,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,man,head,,,584,shiver,False,546,shivered
72,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,,587,glare,False,546,glared
73,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,,590,growl,False,546,growled
74,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,man,head,,,601,seize,False,546,seized
75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,sir,,,617,sir,False,611,sir
76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,sir,,,623,terror,False,611,terror
77,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,,sir,,,626,Pray,False,626,pray
78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,sir,,,632,sir,False,626,sir
79,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,655,sir,False,650,sir
80,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,668,stare,False,659,staring
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,name,,,675,mouth,False,673,mouth
82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,sir,,,684,sir,False,682,sir
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,sir,us,,,689,show,False,688,show
84,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,church,,,714,lie,False,706,lay
85,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,church,,,726,tree,False,706,trees
86,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,church,,,735,church,False,706,church
87,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,church,"itself,—for",,"itself,—for",772,church,False,770,church
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,"itself,—for",779,sudden,False,770,sudden
89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"itself,—for",church,,"itself,—for",789,heel,False,770,heels
90,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,"itself,—for",sir,,"itself,—for",802,church,False,770,church
91,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"itself,—for",piece,,,818,tremble,False,806,trembling
92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"itself,—for",piece,,,821,eat,False,806,ate
93,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,"itself,—for",,,,829,young,False,827,young
94,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"itself,—for",,,,837,lick,False,827,licking
95,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"itself,—for",,,,843,fat,False,827,fat
96,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,856,fat,False,852,fat
97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,863,time,False,852,time
98,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,864,undersize,False,852,undersized
99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,em,em,,,880,eat,True,874,eat
100,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,em,em,,,890,threatening,False,874,threatening
101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,em,em,,,909,earnestly,False,908,earnestly
102,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,em,em,,,912,hope,False,908,hope
103,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,em,em,,,945,cry,False,908,crying
104,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,mother,962,mother,False,959,mother
105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sir,sir,,,969,sir,False,967,sir
106,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sir,sir,,,975,start,False,967,started
107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sir,sir,,,988,shoulder,False,967,shoulder
108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,sir,,,994,sir,False,992,sir
109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,sir,,,999,explain,False,992,explained
110,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,mother,1008,mother,False,1005,mother
111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sir,,,,1019,come,False,1012,coming
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,1027,father,False,1023,father
113,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,1030,mother,False,1023,mother
114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,sir,,,1037,sir,False,1035,sir
115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,1047,late,False,1043,late
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,1050,parish,False,1043,parish
117,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sir,,,,1059,mutter,False,1058,muttered
118,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,1101,sir,False,1094,sir
119,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blacksmith,blacksmith,,,1131,time,False,1122,times
120,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,blacksmith,blacksmith,,,1164,powerfully,False,1122,powerfully
121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,blacksmith,,,,1190,question,False,1180,question
122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,sir,,,1213,sir,False,1211,sir
123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,sir,,,1230,sir,False,1228,sir
124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sir,,,,1236,question,False,1234,question
125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sir,,,,1251,great,False,1234,greater
126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sir,,,,1252,sense,False,1234,sense
127,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,sir,,,,1254,helplessness,False,1234,helplessness
128,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,sir,,,,1256,danger,False,1234,danger
129,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,,sir,1319,dreadfully,False,1317,dreadfully
130,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,sir,1320,frightened,False,1317,frightened
131,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,sir,,sir,1347,upright,False,1317,upright
132,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,sir,,sir,1349,sir,False,1317,sir
133,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,sir,,sir,1356,sick,False,1317,sick
134,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,sir,,,,1380,church,False,1367,church
135,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,sir,,,,1381,jump,False,1367,jumped
136,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sir,these,,,1398,upright,False,1387,upright
137,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sir,these,,,1402,top,False,1387,top
138,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,sir,these,,,1405,stone,False,1387,stone
139,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,sir,these,,,1412,fearful,False,1387,fearful
140,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,these,,,1422,morrow,False,1416,morrow
141,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,me,,,1442,Battery,False,1432,battery
142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,me,,,1453,dare,True,1446,dare
143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,me,,,1457,word,False,1446,word
144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,me,,,1459,dare,False,1446,dare
145,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,1495,word,False,1487,words
146,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1503,small,False,1487,small
147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,1521,eat,False,1487,ate
148,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,me,,man,1540,young,False,1537,young
149,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,me,,man,1542,hide,False,1537,hid
150,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,man,,me,1550,young,False,1537,young
151,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,me,1555,Angel,False,1537,angel
152,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,man,,,,1558,young,False,1557,young
153,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,man,,,,1562,word,False,1557,words
154,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,man,,1567,young,False,1566,young
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,man,man,,1571,secret,False,1566,secret
156,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,man,,1581,boy,False,1566,boy
157,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,boy,,boy,1599,boy,False,1593,boy
158,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,boy,boy,,boy,1601,attempt,False,1593,attempt
159,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,boy,boy,,boy,1603,hide,False,1593,hide
160,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,boy,boy,,boy,1607,young,False,1593,young
161,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,boy,,boy,1611,boy,False,1610,boy
162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,boy,boy,,boy,1631,clothe,False,1610,clothes
163,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,boy,boy,,boy,1641,safe,False,1610,safe
164,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,boy,boy,,boy,1645,young,False,1610,young
165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,boy,,boy,1649,creep,False,1610,creep
166,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,boy,,boy,1651,creep,False,1610,creep
167,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,boy,,boy,1666,young,False,1661,young
168,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,boy,,boy,1669,harm,False,1661,harming
169,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,boy,,boy,1674,present,False,1661,present
170,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,boy,,boy,1679,difficulty,False,1661,difficulty
171,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,boy,,,1689,young,False,1681,young
172,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,boy,,,1721,broken,False,1705,broken
173,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,boy,,,1724,food,False,1705,food
174,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,boy,,,1736,Battery,False,1705,battery
175,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,boy,,,,1743,Lord,False,1741,lord
176,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,,,,1744,strike,False,1741,strike
177,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,boy,boy,,,1788,young,False,1770,young
178,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,boy,,,1799,Goo,False,1770,goo
179,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,boy,boy,,,1801,good,False,1770,good
180,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,boy,boy,,,1804,sir,False,1770,sir
181,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,boy,,,1808,falter,False,1770,faltered
182,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,boy,,,1825,cold,False,1811,cold
183,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1839,eel,False,1837,eel
184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,boy,,,,1846,time,False,1843,time
185,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,boy,,,,1849,hug,False,1843,hugged
186,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,,,,1865,limp,False,1843,limped
187,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,boy,,,,1869,church,False,1843,church
188,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,people,people,,,1878,pick,False,1872,picking
189,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,people,people,,,1883,nettle,False,1872,nettles
190,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,people,people,,,1890,bind,False,1872,bound
191,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,people,people,,,1892,green,False,1872,green
192,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,people,people,,,1899,young,False,1872,young
193,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,people,people,,,1915,cautiously,False,1872,cautiously
194,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,people,people,,,1929,pull,False,1872,pull
195,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,boy,boy,,,1940,church,False,1934,church
196,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,wall,,,1954,numb,False,1934,numbed
197,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,wall,,,1956,stiff,False,1934,stiff
198,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,boy,,,,1983,good,False,1967,best
199,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,boy,marshes,,,1995,shoulder,False,1989,shoulder
200,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,boy,marshes,,,2008,hug,False,1989,hugging
201,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,boy,marshes,,,2015,pick,False,1989,picking
202,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,boy,marshes,,,2020,sore,False,1989,sore
203,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,boy,marshes,,,2025,stone,False,1989,stones
204,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,marshes,2055,long,False,2050,long
205,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,marshes,2056,black,False,2050,black
206,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,marshes,2085,black,False,2050,black
207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,marshes,2089,sky,False,2050,sky
208,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,marshes,2093,row,False,2050,row
209,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,marshes,2095,long,False,2050,long
210,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,marshes,2096,angry,False,2050,angry
211,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,marshes,2098,line,False,2050,lines
212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,marshes,2101,black,False,2050,black
213,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,marshes,2102,line,False,2050,lines
214,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,river,,pirate,2119,black,False,2105,black
215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,river,,pirate,2124,prospect,False,2105,prospect
216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,river,,pirate,2129,stand,False,2105,standing
217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,river,,pirate,2130,upright,False,2105,upright
218,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,pirate,2149,ugly,False,2105,ugly
219,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,pirate,,pirate,2166,hang,False,2105,hanging
220,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,it,,pirate,2174,pirate,False,2105,pirate
221,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,pirate,man,,man,2179,limp,False,2176,limping
