,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,belcour,montraville
82,Subject,,,6792,10,0.6109138902092591,Category,,,,,,,,Feature,,,,,,,
83,Subject,,,6787,15,0.8833201683799002,Category,,,,,,,,Feature,,,,,,,
84,Subject,,,6782,20,1.146051016623158,Category,,,,,,,,Feature,,,,,,,
85,Subject,,,6772,30,1.6126479535285192,Category,,,,,,,,Feature,,,,,,,
86,Subject,,,6762,40,1.6234889193129098,Category,,,,,,,,Feature,,,,,,,
87,Subject,,,6752,50,1.5831294157099383,Category,,,,,,,,Feature,,,,,,,
88,Subject,,,6742,60,1.595649929645529,Category,,,,,,,,Feature,,,,,,,
89,Subject,,,6732,70,1.6092723606639987,Category,,,,,,,,Feature,,,,,,,
90,Subject,,,6801,1,0.0476425732173893,Category,,,,,,,,,Feature,,,,,,
91,Subject,,,6797,5,0.23514653642542782,Category,,,,,,,,,Feature,,,,,,
92,Subject,,,6792,10,0.4536152072757919,Category,,,,,,,,,Feature,,,,,,
93,Subject,,,6787,15,0.6593458407488496,Category,,,,,,,,,Feature,,,,,,
94,Subject,,,6782,20,0.8574982143436852,Category,,,,,,,,,Feature,,,,,,
95,Subject,,,6772,30,1.2439785015365716,Category,,,,,,,,,Feature,,,,,,
96,Subject,,,6762,40,1.3770479952661878,Category,,,,,,,,,Feature,,,,,,
97,Subject,,,6752,50,1.4400348601321846,Category,,,,,,,,,Feature,,,,,,
98,Subject,,,6742,60,1.4750294767272407,Category,,,,,,,,,Feature,,,,,,
99,Subject,,,6732,70,1.491284569062187,Category,,,,,,,,,Feature,,,,,,
100,Subject,,,6801,1,0.08848460162735396,Category,,,,,,,,,,Feature,,,,,
101,Subject,,,6797,5,0.4335372810812304,Category,,,,,,,,,,Feature,,,,,
102,Subject,,,6792,10,0.8186406926178899,Category,,,,,,,,,,Feature,,,,,
103,Subject,,,6787,15,1.1703213570775381,Category,,,,,,,,,,Feature,,,,,
104,Subject,,,6782,20,1.4822427985649096,Category,,,,,,,,,,Feature,,,,,
105,Subject,,,6772,30,2.050067114969457,Category,,,,,,,,,,Feature,,,,,
106,Subject,,,6762,40,2.0389802589212946,Category,,,,,,,,,,Feature,,,,,
107,Subject,,,6752,50,2.025102951032923,Category,,,,,,,,,,Feature,,,,,
108,Subject,,,6742,60,2.032243648273001,Category,,,,,,,,,,Feature,,,,,
109,Subject,,,6732,70,2.0372699568143564,Category,,,,,,,,,,Feature,,,,,
110,Subject,,,6801,1,0.2621376400062179,Category,,,,,,,,,,,Feature,,,,
111,Subject,,,6797,5,1.1382450931159453,Category,,,,,,,,,,,Feature,,,,
112,Subject,,,6792,10,2.051110325131371,Category,,,,,,,,,,,Feature,,,,
113,Subject,,,6787,15,2.718350572242307,Category,,,,,,,,,,,Feature,,,,
114,Subject,,,6782,20,3.2099621954413218,Category,,,,,,,,,,,Feature,,,,
115,Subject,,,6772,30,4.028717290157846,Category,,,,,,,,,,,Feature,,,,
116,Subject,,,6762,40,2.9917988904857404,Category,,,,,,,,,,,Feature,,,,
117,Subject,,,6752,50,2.7577773049504914,Category,,,,,,,,,,,Feature,,,,
118,Subject,,,6742,60,2.6341491755320776,Category,,,,,,,,,,,Feature,,,,
119,Subject,,,6732,70,2.5951653383746582,Category,,,,,,,,,,,Feature,,,,
120,Subject,,,6801,1,0.3250705950104703,,Feature,,,,,,,,,,,Category,,,
121,Subject,,,6797,5,1.6174177836539423,,Feature,,,,,,,,,,,Category,,,
122,Subject,,,6792,10,3.1882265202052444,,Feature,,,,,,,,,,,Category,,,
123,Subject,,,6787,15,4.6539387745690926,,Feature,,,,,,,,,,,Category,,,
124,Subject,,,6782,20,5.968823082817771,,Feature,,,,,,,,,,,Category,,,
125,Subject,,,6772,30,8.141077691025881,,Feature,,,,,,,,,,,Category,,,
126,Subject,,,6762,40,5.679500918933582,,Feature,,,,,,,,,,,Category,,,
127,Subject,,,6752,50,3.755502976242442,,Feature,,,,,,,,,,,Category,,,
128,Subject,,,6742,60,2.5100437668705133,,Feature,,,,,,,,,,,Category,,,
129,Subject,,,6732,70,2.1763969225382707,,Feature,,,,,,,,,,,Category,,,
130,Subject,,,6801,1,0.4413149452548131,,,Feature,,,,,,,,,,Category,,,
131,Subject,,,6797,5,2.2020799172304426,,,Feature,,,,,,,,,,Category,,,
132,Subject,,,6792,10,4.359769714425033,,,Feature,,,,,,,,,,Category,,,
133,Subject,,,6787,15,6.3674777216430165,,,Feature,,,,,,,,,,Category,,,
134,Subject,,,6782,20,8.086888050461246,,,Feature,,,,,,,,,,Category,,,
135,Subject,,,6772,30,10.51320983551559,,,Feature,,,,,,,,,,Category,,,
136,Subject,,,6762,40,5.4046885519900565,,,Feature,,,,,,,,,,Category,,,
137,Subject,,,6752,50,2.400539566746278,,,Feature,,,,,,,,,,Category,,,
138,Subject,,,6742,60,1.1011839142280646,,,Feature,,,,,,,,,,Category,,,
139,Subject,,,6732,70,0.7876237161008723,,,Feature,,,,,,,,,,Category,,,
140,Subject,,,6801,1,0.8384376825292563,,,,Feature,,,,,,,,,Category,,,
141,Subject,,,6797,5,4.166634942356212,,,,Feature,,,,,,,,,Category,,,
142,Subject,,,6792,10,8.200057378417709,,,,Feature,,,,,,,,,Category,,,
143,Subject,,,6787,15,11.087916604745812,,,,Feature,,,,,,,,,Category,,,
144,Subject,,,6782,20,12.257237338928839,,,,Feature,,,,,,,,,Category,,,
145,Subject,,,6772,30,12.702204438057477,,,,Feature,,,,,,,,,Category,,,
146,Subject,,,6762,40,1.5060785170715698,,,,Feature,,,,,,,,,Category,,,
147,Subject,,,6752,50,0.25359086307913165,,,,Feature,,,,,,,,,Category,,,
148,Subject,,,6742,60,0.03570412402391339,,,,Feature,,,,,,,,,Category,,,
149,Subject,,,6732,70,0.01682549845056847,,,,Feature,,,,,,,,,Category,,,
150,Subject,,,6801,1,0.22930553764553013,,,,,Feature,,,,,,,,Category,,,
151,Subject,,,6797,5,1.1391546360107676,,,,,Feature,,,,,,,,Category,,,
152,Subject,,,6792,10,2.255574808834133,,,,,Feature,,,,,,,,Category,,,
153,Subject,,,6787,15,3.3214221174835328,,,,,Feature,,,,,,,,Category,,,
154,Subject,,,6782,20,4.334374915604358,,,,,Feature,,,,,,,,Category,,,
155,Subject,,,6772,30,6.167224328088331,,,,,Feature,,,,,,,,Category,,,
156,Subject,,,6762,40,5.245151446343462,,,,,Feature,,,,,,,,Category,,,
157,Subject,,,6752,50,3.983116193485192,,,,,Feature,,,,,,,,Category,,,
158,Subject,,,6742,60,3.0065111238182123,,,,,Feature,,,,,,,,Category,,,
159,Subject,,,6732,70,2.7025145590966893,,,,,Feature,,,,,,,,Category,,,
160,Subject,,,7939,1,0.12867421843184987,,,,,,Feature,,,,,,,Category,,,
161,Subject,,,7935,5,0.5763237286515588,,,,,,Feature,,,,,,,Category,,,
162,Subject,,,7930,10,1.0648846975759176,,,,,,Feature,,,,,,,Category,,,
163,Subject,,,7925,15,1.5162788266996796,,,,,,Feature,,,,,,,Category,,,
164,Subject,,,7920,20,1.9437598237021925,,,,,,Feature,,,,,,,Category,,,
165,Subject,,,7910,30,2.7517450889463944,,,,,,Feature,,,,,,,Category,,,
166,Subject,,,7900,40,2.8115456755008794,,,,,,Feature,,,,,,,Category,,,
167,Subject,,,7890,50,2.821164142983088,,,,,,Feature,,,,,,,Category,,,
168,Subject,,,7880,60,2.7420306565519184,,,,,,Feature,,,,,,,Category,,,
169,Subject,,,7870,70,2.6970422157694114,,,,,,Feature,,,,,,,Category,,,
170,Subject,,,6801,1,0.37243597332969197,,,,,,,Feature,,,,,,Category,,,
171,Subject,,,6797,5,1.8524023084463193,,,,,,,Feature,,,,,,Category,,,
172,Subject,,,6792,10,3.6563756144366697,,,,,,,Feature,,,,,,Category,,,
173,Subject,,,6787,15,5.321383162314801,,,,,,,Feature,,,,,,Category,,,
174,Subject,,,6782,20,6.790905305943698,,,,,,,Feature,,,,,,Category,,,
175,Subject,,,6772,30,9.088098584399336,,,,,,,Feature,,,,,,Category,,,
176,Subject,,,6762,40,5.755389667805133,,,,,,,Feature,,,,,,Category,,,
177,Subject,,,6752,50,3.4362168349155793,,,,,,,Feature,,,,,,Category,,,
178,Subject,,,6742,60,2.058212724346439,,,,,,,Feature,,,,,,Category,,,
179,Subject,,,6732,70,1.6863361154885805,,,,,,,Feature,,,,,,Category,,,
180,Subject,,,6801,1,0.4108852548770129,,,,,,,,Feature,,,,,Category,,,
181,Subject,,,6797,5,2.044841347647956,,,,,,,,Feature,,,,,Category,,,
182,Subject,,,6792,10,4.046205895533958,,,,,,,,Feature,,,,,Category,,,
183,Subject,,,6787,15,5.900350923238179,,,,,,,,Feature,,,,,Category,,,
184,Subject,,,6782,20,7.48818779886631,,,,,,,,Feature,,,,,Category,,,
185,Subject,,,6772,30,9.85457304680273,,,,,,,,Feature,,,,,Category,,,
186,Subject,,,6762,40,5.617368969816212,,,,,,,,Feature,,,,,Category,,,
187,Subject,,,6752,50,2.9618726326461946,,,,,,,,Feature,,,,,Category,,,
188,Subject,,,6742,60,1.6801013145788917,,,,,,,,Feature,,,,,Category,,,
189,Subject,,,6732,70,1.3606931159366442,,,,,,,,Feature,,,,,Category,,,
190,Subject,,,6801,1,0.39431772376397034,,,,,,,,,Feature,,,,Category,,,
191,Subject,,,6797,5,1.96403014771037,,,,,,,,,Feature,,,,Category,,,
192,Subject,,,6792,10,3.8709740610903913,,,,,,,,,Feature,,,,Category,,,
193,Subject,,,6787,15,5.623008312371545,,,,,,,,,Feature,,,,Category,,,
194,Subject,,,6782,20,7.152794474367024,,,,,,,,,Feature,,,,Category,,,
195,Subject,,,6772,30,9.469084191608419,,,,,,,,,Feature,,,,Category,,,
196,Subject,,,6762,40,5.6407765282610445,,,,,,,,,Feature,,,,Category,,,
197,Subject,,,6752,50,3.0314916144113204,,,,,,,,,Feature,,,,Category,,,
198,Subject,,,6742,60,1.7496402931851014,,,,,,,,,Feature,,,,Category,,,
199,Subject,,,6732,70,1.3931293711175836,,,,,,,,,Feature,,,,Category,,,
200,Subject,,,6801,1,0.30904238168565706,,,,,,,,,,Feature,,,Category,,,
201,Subject,,,6797,5,1.5404355319375944,,,,,,,,,,Feature,,,Category,,,
202,Subject,,,6792,10,3.055284112241132,,,,,,,,,,Feature,,,Category,,,
203,Subject,,,6787,15,4.493679724048178,,,,,,,,,,Feature,,,Category,,,
204,Subject,,,6782,20,5.821200502410701,,,,,,,,,,Feature,,,Category,,,
205,Subject,,,6772,30,8.025030029705642,,,,,,,,,,Feature,,,Category,,,
206,Subject,,,6762,40,5.706821525387224,,,,,,,,,,Feature,,,Category,,,
207,Subject,,,6752,50,3.606434551525126,,,,,,,,,,Feature,,,Category,,,
208,Subject,,,6742,60,2.186439513697081,,,,,,,,,,Feature,,,Category,,,
209,Subject,,,6732,70,1.7958249064532739,,,,,,,,,,Feature,,,Category,,,
210,Subject,,,6801,1,0.47636302644780326,,,,,,,,,,,Feature,,Category,,,
211,Subject,,,6797,5,2.376795617839593,,,,,,,,,,,Feature,,Category,,,
212,Subject,,,6792,10,4.702353169859517,,,,,,,,,,,Feature,,Category,,,
213,Subject,,,6787,15,6.83229902323209,,,,,,,,,,,Feature,,Category,,,
214,Subject,,,6782,20,8.591739303069248,,,,,,,,,,,Feature,,Category,,,
215,Subject,,,6772,30,10.868031105172298,,,,,,,,,,,Feature,,Category,,,
216,Subject,,,6762,40,5.049354195338199,,,,,,,,,,,Feature,,Category,,,
217,Subject,,,6752,50,2.133614493310801,,,,,,,,,,,Feature,,Category,,,
218,Subject,,,6742,60,0.8991262470557229,,,,,,,,,,,Feature,,Category,,,
219,Subject,,,6732,70,0.6024545395183794,,,,,,,,,,,Feature,,Category,,,
220,Subject,,,6801,1,0.987861306775704,,,,,,,,,,,,Feature,Category,,,
221,Subject,,,6797,5,4.890342590280859,,,,,,,,,,,,Feature,Category,,,
222,Subject,,,6792,10,9.6239621473668,,,,,,,,,,,,Feature,Category,,,
223,Subject,,,6787,15,12.289178366873031,,,,,,,,,,,,Feature,Category,,,
224,Subject,,,6782,20,12.655251490084963,,,,,,,,,,,,Feature,Category,,,
225,Subject,,,6772,30,12.724664118569606,,,,,,,,,,,,Feature,Category,,,
226,Subject,,,6762,40,0.5289951298540652,,,,,,,,,,,,Feature,Category,,,
227,Subject,,,6752,50,0.09646148657076375,,,,,,,,,,,,Feature,Category,,,
228,Subject,,,6742,60,0.00840179643772535,,,,,,,,,,,,Feature,Category,,,
229,Subject,,,6732,70,0.0,,,,,,,,,,,,Feature,Category,,,
230,,Category,Feature,6801,1,0.8384376825292563,,,,,,,,,,,,,,Subject,,
231,,Category,Feature,6797,5,4.166634942356212,,,,,,,,,,,,,,Subject,,
232,,Category,Feature,6792,10,8.200057378417709,,,,,,,,,,,,,,Subject,,
233,,Category,Feature,6787,15,11.087916604745812,,,,,,,,,,,,,,Subject,,
234,,Category,Feature,6782,20,12.257237338928839,,,,,,,,,,,,,,Subject,,
235,,Category,Feature,6772,30,12.702204438057477,,,,,,,,,,,,,,Subject,,
