,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,emma
74,Subject,,,10814,20,2.7928448152295755,Category,,,,,,,Feature,,,,,,,
75,Subject,,,10804,30,3.975211765299456,Category,,,,,,,Feature,,,,,,,
76,Subject,,,10794,40,3.6671284939304147,Category,,,,,,,Feature,,,,,,,
77,Subject,,,10784,50,3.247027663955797,Category,,,,,,,Feature,,,,,,,
78,Subject,,,10774,60,2.8775425647697213,Category,,,,,,,Feature,,,,,,,
79,Subject,,,10764,70,2.7606265255598395,Category,,,,,,,Feature,,,,,,,
80,Subject,,,10833,1,0.16186671900422114,Category,,,,,,,,Feature,,,,,,
81,Subject,,,10829,5,0.7961395736203198,Category,,,,,,,,Feature,,,,,,
82,Subject,,,10824,10,1.567486662403737,Category,,,,,,,,Feature,,,,,,
83,Subject,,,10819,15,2.303296758183021,Category,,,,,,,,Feature,,,,,,
84,Subject,,,10814,20,2.985099528268008,Category,,,,,,,,Feature,,,,,,
85,Subject,,,10804,30,4.217455257014636,Category,,,,,,,,Feature,,,,,,
86,Subject,,,10794,40,3.7972437748319754,Category,,,,,,,,Feature,,,,,,
87,Subject,,,10784,50,3.3087091665116946,Category,,,,,,,,Feature,,,,,,
88,Subject,,,10774,60,2.9692656702334155,Category,,,,,,,,Feature,,,,,,
89,Subject,,,10764,70,2.830335296350058,Category,,,,,,,,Feature,,,,,,
90,Subject,,,10833,1,0.09844697298394026,Category,,,,,,,,,Feature,,,,,
91,Subject,,,10829,5,0.48770881192780674,Category,,,,,,,,,Feature,,,,,
92,Subject,,,10824,10,0.9638609036412575,Category,,,,,,,,,Feature,,,,,
93,Subject,,,10819,15,1.4273559245928493,Category,,,,,,,,,Feature,,,,,
94,Subject,,,10814,20,1.876465259362414,Category,,,,,,,,,Feature,,,,,
95,Subject,,,10804,30,2.724682181432121,Category,,,,,,,,,Feature,,,,,
96,Subject,,,10794,40,2.771532133837769,Category,,,,,,,,,Feature,,,,,
97,Subject,,,10784,50,2.6270798706947702,Category,,,,,,,,,Feature,,,,,
98,Subject,,,10774,60,2.533827832469637,Category,,,,,,,,,Feature,,,,,
99,Subject,,,10764,70,2.496244446006305,Category,,,,,,,,,Feature,,,,,
100,Subject,,,10833,1,0.207648678580609,Category,,,,,,,,,,Feature,,,,
101,Subject,,,10829,5,1.0239062778749797,Category,,,,,,,,,,Feature,,,,
102,Subject,,,10824,10,2.0201584920635716,Category,,,,,,,,,,Feature,,,,
103,Subject,,,10819,15,2.955063230645452,Category,,,,,,,,,,Feature,,,,
104,Subject,,,10814,20,3.810150425258974,Category,,,,,,,,,,Feature,,,,
105,Subject,,,10804,30,5.2894816510711005,Category,,,,,,,,,,Feature,,,,
106,Subject,,,10794,40,4.249800509650879,Category,,,,,,,,,,Feature,,,,
107,Subject,,,10784,50,3.3290665395351704,Category,,,,,,,,,,Feature,,,,
108,Subject,,,10774,60,2.7226355316080766,Category,,,,,,,,,,Feature,,,,
109,Subject,,,10764,70,2.563744334805178,Category,,,,,,,,,,Feature,,,,
110,Subject,,,10833,1,0.5879449299085195,Category,,,,,,,,,,,Feature,,,
111,Subject,,,10829,5,2.7378669018577924,Category,,,,,,,,,,,Feature,,,
112,Subject,,,10824,10,5.203239914688748,Category,,,,,,,,,,,Feature,,,
113,Subject,,,10819,15,7.014897068036261,Category,,,,,,,,,,,Feature,,,
114,Subject,,,10814,20,8.026714364827578,Category,,,,,,,,,,,Feature,,,
115,Subject,,,10804,30,8.986579182652212,Category,,,,,,,,,,,Feature,,,
116,Subject,,,10794,40,3.463368646193956,Category,,,,,,,,,,,Feature,,,
117,Subject,,,10784,50,2.439842751738611,Category,,,,,,,,,,,Feature,,,
118,Subject,,,10774,60,2.1019530771944215,Category,,,,,,,,,,,Feature,,,
119,Subject,,,10764,70,2.0107774292437126,Category,,,,,,,,,,,Feature,,,
120,Subject,,,10833,1,0.23491302202486047,,Feature,,,,,,,,,,,Category,,
121,Subject,,,10829,5,1.1714254383586566,,Feature,,,,,,,,,,,Category,,
122,Subject,,,10824,10,2.3220643985635916,,Feature,,,,,,,,,,,Category,,
123,Subject,,,10819,15,3.437872156771447,,Feature,,,,,,,,,,,Category,,
124,Subject,,,10814,20,4.510522190352874,,Feature,,,,,,,,,,,Category,,
125,Subject,,,10804,30,6.459950393824782,,Feature,,,,,,,,,,,Category,,
126,Subject,,,10794,40,5.374920917061219,,Feature,,,,,,,,,,,Category,,
127,Subject,,,10784,50,3.9857857811187527,,Feature,,,,,,,,,,,Category,,
128,Subject,,,10774,60,2.990396254218004,,Feature,,,,,,,,,,,Category,,
129,Subject,,,10764,70,2.7150073903779783,,Feature,,,,,,,,,,,Category,,
130,Subject,,,10833,1,0.30353964661295185,,,Feature,,,,,,,,,,Category,,
131,Subject,,,10829,5,1.512766601256823,,,Feature,,,,,,,,,,Category,,
132,Subject,,,10824,10,2.99368157079479,,,Feature,,,,,,,,,,Category,,
133,Subject,,,10819,15,4.410484961064546,,,Feature,,,,,,,,,,Category,,
134,Subject,,,10814,20,5.725429819062111,,,Feature,,,,,,,,,,Category,,
135,Subject,,,10804,30,7.9537759641779004,,,Feature,,,,,,,,,,Category,,
136,Subject,,,10794,40,5.681820679916868,,,Feature,,,,,,,,,,Category,,
137,Subject,,,10784,50,3.7633026503989937,,,Feature,,,,,,,,,,Category,,
138,Subject,,,10774,60,2.6161461674302218,,,Feature,,,,,,,,,,Category,,
139,Subject,,,10764,70,2.2961612442886707,,,Feature,,,,,,,,,,Category,,
140,Subject,,,10833,1,0.6916624284877356,,,,Feature,,,,,,,,,Category,,
141,Subject,,,10829,5,3.4311011418955024,,,,Feature,,,,,,,,,Category,,
142,Subject,,,10824,10,6.775062407793956,,,,Feature,,,,,,,,,Category,,
143,Subject,,,10819,15,9.542672436262716,,,,Feature,,,,,,,,,Category,,
144,Subject,,,10814,20,11.296013981591248,,,,Feature,,,,,,,,,Category,,
145,Subject,,,10804,30,12.776385851809195,,,,Feature,,,,,,,,,Category,,
146,Subject,,,10794,40,3.16925687843306,,,,Feature,,,,,,,,,Category,,
147,Subject,,,10784,50,0.9619268427906914,,,,Feature,,,,,,,,,Category,,
